process.b1.capacity,process.b2.capacity,process.b3.capacity,process.b4.capacity,property.price,property.product,property.winner,verification.time,verification.result
0,0,2,1,59,1,0,163.3166667,FALSE
0,0,2,1,59,2,0,200.86,FALSE
0,0,2,1,59,4,0,154.8888889,FALSE
0,0,2,1,59,6,0,108.64,FALSE
0,0,2,1,60,1,0,85.46666667,TRUE
0,0,2,1,60,1,3,82,TRUE
0,0,2,1,60,1,4,154.25,FALSE
0,0,2,1,60,2,0,80.95,TRUE
0,0,2,1,60,2,3,78,TRUE
0,0,2,1,60,2,4,197.01,FALSE
0,0,2,1,60,4,0,80.25,TRUE
0,0,2,1,60,4,3,77.91666667,TRUE
0,0,2,1,60,4,4,144.6944444,FALSE
0,0,2,1,60,6,0,88.12,TRUE
0,0,2,1,60,6,3,78.84,TRUE
0,0,2,1,60,6,4,78.15,TRUE
0,0,2,1,69,3,0,112.05,FALSE
0,0,2,1,69,5,0,322.0555556,FALSE
0,0,2,1,70,3,0,87.1,TRUE
0,0,2,1,70,3,3,97.11,TRUE
0,0,2,1,70,3,4,80.86,TRUE
0,0,2,1,70,5,0,194.4388889,TRUE
0,0,2,1,70,5,3,378.8222222,FALSE
0,0,2,1,70,5,4,207.7722222,TRUE
0,1,1,1,59,1,0,646.675,FALSE
0,1,1,1,59,4,0,564.6346154,FALSE
0,1,1,1,59,6,0,248.2166667,FALSE
0,1,1,1,60,1,0,578.625,FALSE
0,1,1,1,60,4,0,523.9615385,FALSE
0,1,1,1,60,6,0,90,TRUE
0,1,1,1,60,6,2,94.58333333,TRUE
0,1,1,1,60,6,3,243.5166667,FALSE
0,1,1,1,60,6,4,225.05,FALSE
0,1,1,1,61,1,0,608.2,FALSE
0,1,1,1,61,4,0,546.3461538,FALSE
0,1,1,1,62,1,0,596.475,FALSE
0,1,1,1,62,4,0,554.1153846,FALSE
0,1,1,1,63,1,0,603.65,FALSE
0,1,1,1,63,4,0,553.7692308,FALSE
0,1,1,1,64,1,0,532.8,FALSE
0,1,1,1,64,4,0,483.4615385,FALSE
0,1,1,1,65,1,0,567.975,FALSE
0,1,1,1,65,4,0,505.9615385,FALSE
0,1,1,1,66,1,0,564.3,FALSE
0,1,1,1,66,4,0,496.1730769,FALSE
0,1,1,1,67,1,0,588.9,FALSE
0,1,1,1,67,4,0,522.6346154,FALSE
0,1,1,1,68,1,0,537.075,FALSE
0,1,1,1,68,4,0,481.6538462,FALSE
0,1,1,1,69,1,0,544.05,FALSE
0,1,1,1,69,3,0,178.4,FALSE
0,1,1,1,69,4,0,512.3461538,FALSE
0,1,1,1,69,5,0,751.1875,FALSE
0,1,1,1,70,1,0,518.2,TRUE
0,1,1,1,70,1,2,547.725,TRUE
0,1,1,1,70,1,3,602.125,FALSE
0,1,1,1,70,1,4,588.2,FALSE
0,1,1,1,70,3,0,153.5166667,TRUE
0,1,1,1,70,3,2,151.1333333,TRUE
0,1,1,1,70,3,3,165.4166667,FALSE
0,1,1,1,70,3,4,176.7166667,FALSE
0,1,1,1,70,4,0,418.0576923,TRUE
0,1,1,1,70,4,2,451.1538462,TRUE
0,1,1,1,70,4,3,529.0769231,FALSE
0,1,1,1,70,4,4,518.3653846,FALSE
0,1,1,1,70,5,0,739.475,FALSE
0,1,1,1,71,5,0,751.9875,FALSE
0,1,1,1,72,5,0,740.4125,FALSE
0,1,1,1,73,5,0,719.45,FALSE
0,1,1,1,74,5,0,745.5375,FALSE
0,1,1,1,75,5,0,734.5625,FALSE
0,1,1,1,76,5,0,752.3,FALSE
0,1,1,1,77,5,0,725.55,FALSE
0,1,1,1,78,5,0,742.825,FALSE
0,1,1,1,79,5,0,723.8125,FALSE
0,1,1,1,80,5,0,101.7375,TRUE
0,1,1,1,80,5,2,770.2375,FALSE
0,1,1,1,80,5,3,770.75,FALSE
0,1,1,1,80,5,4,106.3375,TRUE
0,1,2,0,59,1,0,513.2333333,FALSE
0,1,2,0,59,2,0,1527.53,FALSE
0,1,2,0,59,4,0,476.3222222,FALSE
0,1,2,0,59,6,0,145.4,FALSE
0,1,2,0,60,1,0,443.0166667,FALSE
0,1,2,0,60,2,0,1137.465,FALSE
0,1,2,0,60,4,0,419.8555556,FALSE
0,1,2,0,60,6,0,91.805,TRUE
0,1,2,0,60,6,2,85.25,TRUE
0,1,2,0,60,6,3,134.325,FALSE
0,1,2,0,61,1,0,462.0583333,FALSE
0,1,2,0,61,2,0,1293.665,FALSE
0,1,2,0,61,4,0,441.8388889,FALSE
0,1,2,0,62,1,0,463.7083333,FALSE
0,1,2,0,62,2,0,1245.215,FALSE
0,1,2,0,62,4,0,434.75,FALSE
0,1,2,0,63,1,0,463.075,FALSE
0,1,2,0,63,2,0,1290.88,FALSE
0,1,2,0,63,4,0,455.2666667,FALSE
0,1,2,0,64,1,0,389.3,FALSE
0,1,2,0,64,2,0,991.07,FALSE
0,1,2,0,64,4,0,362.8111111,FALSE
0,1,2,0,65,1,0,411.825,FALSE
0,1,2,0,65,2,0,1106.455,FALSE
0,1,2,0,65,4,0,384.3388889,FALSE
0,1,2,0,66,1,0,398.4833333,FALSE
0,1,2,0,66,2,0,1098.255,FALSE
0,1,2,0,66,4,0,377.3944444,FALSE
0,1,2,0,67,1,0,428.8333333,FALSE
0,1,2,0,67,2,0,1236.05,FALSE
0,1,2,0,67,4,0,417.1388889,FALSE
0,1,2,0,68,1,0,395.4583333,FALSE
0,1,2,0,68,2,0,917.335,FALSE
0,1,2,0,68,4,0,363.2555556,FALSE
0,1,2,0,69,1,0,412.6666667,FALSE
0,1,2,0,69,2,0,1020.25,FALSE
0,1,2,0,69,3,0,109.71,FALSE
0,1,2,0,69,4,0,399.2777778,FALSE
0,1,2,0,70,1,0,383.1916667,TRUE
0,1,2,0,70,1,2,412.525,TRUE
0,1,2,0,70,1,3,455.6166667,FALSE
0,1,2,0,70,2,0,1013.485,FALSE
0,1,2,0,70,3,0,101.765,TRUE
0,1,2,0,70,3,2,94.635,TRUE
0,1,2,0,70,3,3,99.945,FALSE
0,1,2,0,70,4,0,348.1555556,TRUE
0,1,2,0,70,4,2,375.7333333,TRUE
0,1,2,0,70,4,3,429.9388889,FALSE
0,1,2,0,71,2,0,1123.56,FALSE
0,1,2,0,72,2,0,1087.23,FALSE
0,1,2,0,73,2,0,1260.775,FALSE
0,1,2,0,74,2,0,1203.43,FALSE
0,1,2,0,75,2,0,1345.56,FALSE
0,1,2,0,76,2,0,979.395,FALSE
0,1,2,0,77,2,0,1127.495,FALSE
0,1,2,0,78,2,0,1113.075,FALSE
0,1,2,0,79,2,0,1276.795,FALSE
0,1,2,0,80,2,0,119.28,TRUE
0,1,2,0,80,2,2,312.645,TRUE
0,1,2,0,80,2,3,120.82,TRUE
0,1,2,1,59,1,0,665.2261905,FALSE
0,1,2,1,59,2,0,1716.807143,FALSE
0,1,2,1,59,4,0,585.787037,FALSE
0,1,2,1,59,6,0,256.5428571,FALSE
0,1,2,1,60,1,0,616.9166667,FALSE
0,1,2,1,60,2,0,1300.964286,FALSE
0,1,2,1,60,4,0,552.8611111,FALSE
0,1,2,1,60,6,0,92.24285714,TRUE
0,1,2,1,60,6,2,94.55714286,TRUE
0,1,2,1,60,6,3,249.0785714,FALSE
0,1,2,1,60,6,4,228.8428571,FALSE
0,1,2,1,61,1,0,640.5119048,FALSE
0,1,2,1,61,2,0,1411.164286,FALSE
0,1,2,1,61,4,0,565.7037037,FALSE
0,1,2,1,62,1,0,628.7261905,FALSE
0,1,2,1,62,2,0,1390.742857,FALSE
0,1,2,1,62,4,0,572.4351852,FALSE
0,1,2,1,63,1,0,628.702381,FALSE
0,1,2,1,63,2,0,1417.628571,FALSE
0,1,2,1,63,4,0,571.8055556,FALSE
0,1,2,1,64,1,0,560.1428571,FALSE
0,1,2,1,64,2,0,1187.635714,FALSE
0,1,2,1,64,4,0,497.4074074,FALSE
0,1,2,1,65,1,0,586.3333333,FALSE
0,1,2,1,65,2,0,1317.15,FALSE
0,1,2,1,65,4,0,519.2037037,FALSE
0,1,2,1,66,1,0,576.3928571,FALSE
0,1,2,1,66,2,0,1299.528571,FALSE
0,1,2,1,66,4,0,516.6759259,FALSE
0,1,2,1,67,1,0,598.5357143,FALSE
0,1,2,1,67,2,0,1455.378571,FALSE
0,1,2,1,67,4,0,542.0740741,FALSE
0,1,2,1,68,1,0,557.4285714,FALSE
0,1,2,1,68,2,0,1113.721429,FALSE
0,1,2,1,68,4,0,492.25,FALSE
0,1,2,1,69,1,0,573.9642857,FALSE
0,1,2,1,69,2,0,1208.778571,FALSE
0,1,2,1,69,3,0,184.7214286,FALSE
