C_api,C_man,E_NEds,E_Bpag,firstDay,lastDay,NEds,NDays,NActDays,NPages,NPcreated,pagesWomen,wikiprojWomen,ns_user,ns_wikipedia,ns_talk,ns_userTalk,ns_content,weightIJ,NIJ,gender
male,1,2,2,2.01705E+13,2.01707E+13,543,56,43,204,4,0,0,91,28,6,76,324,0.915024129,978,1
unknown,3,3,1,2.01103E+13,2.01707E+13,2764,2345,514,722,7,0,0,100,249,183,646,1526,0.66167318,477,0
male,1,0,2,2.00609E+13,2.01409E+13,57,2927,25,25,0,0,0,3,0,1,3,49,0.800528377,664,1
male,1,1,2,2.0121E+13,2.01212E+13,104,67,5,66,2,0,0,20,1,2,2,78,1.027717097,841,1
unknown,3,1,1,2.00703E+13,2.01411E+13,184,2798,27,125,0,0,0,26,10,5,24,112,0.997535302,994,0
male,3,3,1,2.00605E+13,2.01709E+13,1887,4130,197,510,62,0,0,7,2,31,10,1660,0.66167318,477,1
unknown,3,0,1,2.01307E+13,2.01307E+13,57,10,7,13,1,0,0,10,0,4,6,37,1.057149316,1074,0
unknown,1,3,3,2.00811E+13,2.01708E+13,5833,3209,566,376,108,0,0,161,10,9,184,4744,1.481654138,1596,1
unknown,1,2,1,2.01601E+13,2.01604E+13,230,98,38,31,3,0,0,147,0,8,0,75,0.982449109,752,1
male,3,3,1,2.00708E+13,2.0171E+13,2917,3686,602,779,153,0,0,29,47,98,55,1984,0.66167318,477,1
unknown,3,1,3,2.01105E+13,2.01609E+13,160,1962,40,42,0,0,0,36,0,34,28,60,0.594368208,493,0
male,3,3,1,2.00706E+13,2.01605E+13,8128,3273,1137,1313,10,1,0,382,1515,106,194,3376,0.66167318,477,1
male,1,2,3,2.00806E+13,2.01709E+13,714,3375,131,276,11,0,0,75,25,49,11,450,0.831953525,917,1
unknown,1,1,3,2.0121E+13,2.01304E+13,113,178,19,29,3,0,0,22,0,2,2,83,0.594368208,493,1
unknown,3,0,2,2.0101E+13,2.01507E+13,81,1749,38,34,0,0,0,33,0,0,0,30,0.800528377,664,0
unknown,3,0,2,2.00909E+13,2.01212E+13,85,1163,23,54,0,0,0,18,0,12,4,49,0.800528377,664,0
male,3,1,2,2.01402E+13,2.01706E+13,143,1210,50,107,1,2,0,21,1,0,5,108,1.027717097,841,1
male,3,3,1,2.01207E+13,2.01709E+13,7241,1885,354,4189,8,3,0,91,138,63,2735,4142,0.66167318,477,1
male,3,3,3,2.00703E+13,2.01601E+13,19178,3233,1107,6584,173,1,0,1236,3849,340,1945,11325,1.481654138,1596,1
unknown,1,2,2,2.00705E+13,2.01309E+13,258,2317,42,37,0,0,0,11,18,69,33,101,0.915024129,978,1
unknown,3,2,0,2.01608E+13,2.01709E+13,346,397,92,228,2,0,0,2,1,7,14,321,1.204403165,647,0
male,3,2,1,2.01402E+13,2.01609E+13,423,957,110,77,4,0,0,10,5,2,11,395,0.982449109,752,1
male,3,3,0,2.01109E+13,2.0171E+13,12232,2206,1258,2637,25,2,0,2621,1128,433,1394,6152,0.865617488,412,1
unknown,1,1,3,2.00609E+13,2.01604E+13,117,3486,21,37,17,0,0,26,0,0,1,83,0.594368208,493,1
unknown,3,1,1,2.01402E+13,2.01402E+13,138,2,2,92,0,0,0,4,4,0,1,114,0.997535302,994,0
unknown,3,2,0,2.01003E+13,2.01508E+13,339,1963,158,290,2,0,0,1,0,5,0,219,1.204403165,647,0
male,1,0,3,2.01105E+13,2.01305E+13,59,710,9,6,0,0,0,21,0,6,21,11,0.411985187,297,1
unknown,3,0,1,2.0161E+13,2.01705E+13,72,213,13,9,0,0,0,54,0,3,7,8,1.057149316,1074,0
unknown,1,0,3,2.00609E+13,2.01409E+13,64,2928,19,16,1,0,0,6,0,5,2,50,0.411985187,297,1
unknown,3,1,0,2.0161E+13,2.01709E+13,141,322,43,67,12,0,0,1,1,0,3,136,1.29126263,974,0
unknown,3,2,2,2.01006E+13,2.01205E+13,364,696,45,58,7,0,0,25,24,3,50,181,0.915024129,978,0
unknown,3,0,2,2.01211E+13,2.01212E+13,73,34,15,37,4,0,0,13,12,3,3,28,0.800528377,664,0
unknown,1,1,3,2.00902E+13,2.01505E+13,144,2300,76,87,0,0,0,2,0,0,1,139,0.594368208,493,1
unknown,3,2,2,2.01405E+13,2.01407E+13,230,52,13,31,3,0,0,112,0,5,4,107,0.915024129,978,0
unknown,3,1,2,2.01605E+13,2.01608E+13,159,67,21,34,3,0,0,109,2,8,2,38,1.027717097,841,0
male,1,0,3,2.01304E+13,2.01506E+13,80,795,16,40,1,0,0,24,0,0,0,56,0.411985187,297,1
unknown,3,3,1,2.01204E+13,2.01701E+13,1543,1732,72,189,35,0,0,17,3,0,14,1477,0.66167318,477,0
female,2,2,1,2.01012E+13,2.01401E+13,233,1133,30,169,1,0,0,5,0,0,1,227,0.982449109,752,2
male,1,1,2,2.01003E+13,2.01501E+13,105,1775,8,18,0,0,0,32,0,4,0,59,1.027717097,841,1
female,3,0,1,2.01408E+13,2.01409E+13,87,21,6,4,1,0,0,7,1,0,1,78,1.057149316,1074,2
unknown,1,1,1,2.00307E+13,2.01603E+13,101,4622,22,29,12,0,0,2,0,2,0,97,0.997535302,994,1
unknown,1,0,3,2.00707E+13,2.01708E+13,69,3679,18,6,1,0,0,32,0,0,2,34,0.411985187,297,1
unknown,1,0,0,2.01111E+13,2.01304E+13,80,514,19,22,0,0,0,3,0,0,0,73,1.865008032,1277,1
unknown,3,1,0,2.00607E+13,2.01212E+13,216,2372,14,87,1,0,0,2,23,6,4,163,1.29126263,974,0
unknown,3,3,0,2.01501E+13,2.01601E+13,1697,357,162,358,11,0,0,143,7,6,34,1329,0.865617488,412,0
unknown,2,2,1,2.01006E+13,2.01201E+13,244,589,70,47,2,0,0,10,1,80,11,140,0.982449109,752,2
unknown,1,0,0,2.00702E+13,2.0151E+13,67,3164,17,35,0,0,0,3,0,2,4,58,1.865008032,1277,1
unknown,3,0,1,2.00809E+13,2.01508E+13,58,2527,29,26,0,0,0,2,0,19,3,34,1.057149316,1074,0
unknown,3,2,2,2.0071E+13,2.01208E+13,666,1765,209,68,5,0,0,10,0,12,30,349,0.915024129,978,0
male,3,1,1,2.00712E+13,2.01607E+13,146,3142,55,55,1,0,0,40,0,11,1,94,0.997535302,994,1
male,3,3,0,2.00603E+13,2.01512E+13,1594,3571,253,1234,8,1,0,2,137,51,39,1329,0.865617488,412,1
male,1,0,3,2.00806E+13,2.01701E+13,88,3127,9,8,4,0,0,34,0,0,1,53,0.411985187,297,1
unknown,3,1,1,2.00707E+13,2.01606E+13,177,3266,72,100,1,0,0,15,2,21,7,121,0.997535302,994,0
male,3,3,2,2.01102E+13,2.01709E+13,12937,2394,1045,5384,126,6,0,104,2073,204,1815,4852,1.005226945,817,1
male,3,1,1,2.00903E+13,2.01609E+13,201,2739,46,50,6,10,0,14,0,3,0,182,0.997535302,994,1
unknown,3,1,0,2.01312E+13,2.01707E+13,211,1329,26,23,5,0,0,28,0,0,0,183,1.29126263,974,0
unknown,3,3,2,2.01012E+13,2.01709E+13,3589,2482,667,481,15,0,0,21,3,60,10,2921,1.005226945,817,0
unknown,3,1,1,2.00804E+13,2.01205E+13,204,1493,18,84,0,0,0,28,0,0,0,28,0.997535302,994,0
male,3,1,0,2.01202E+13,2.01709E+13,154,2044,34,25,0,0,0,1,0,10,3,140,1.29126263,974,1
unknown,3,1,2,2.00902E+13,2.01708E+13,145,3102,39,44,0,0,0,19,0,5,12,88,1.027717097,841,0
male,1,0,3,2.00909E+13,2.01506E+13,91,2102,15,21,1,0,0,25,4,0,7,40,0.411985187,297,1
female,2,1,2,2.0131E+13,2.01312E+13,157,53,12,71,0,0,0,7,0,0,26,120,1.027717097,841,2
male,1,2,3,2.00704E+13,2.0151E+13,260,3093,110,146,2,0,0,6,0,1,7,220,0.831953525,917,1
male,1,0,3,2.01107E+13,2.01202E+13,70,227,14,23,2,0,0,15,2,0,3,36,0.411985187,297,1
unknown,1,1,1,2.00402E+13,2.01207E+13,211,3066,42,96,17,0,0,13,3,12,4,178,0.997535302,994,1
unknown,3,3,2,2.01105E+13,2.01709E+13,6125,2307,611,3086,255,0,0,20,115,319,57,5196,1.005226945,817,0
unknown,3,0,1,2.00805E+13,2.01606E+13,58,2947,47,48,0,0,0,8,1,0,0,48,1.057149316,1074,0
unknown,3,2,0,2.00709E+13,2.01609E+13,784,3285,106,135,72,0,0,1,0,0,0,748,1.204403165,647,0
unknown,1,1,0,2.00903E+13,2.01709E+13,171,3126,45,32,1,0,0,2,22,17,10,118,1.29126263,974,1
unknown,3,0,0,2.01109E+13,2.01707E+13,58,2132,15,12,2,0,0,1,0,3,0,54,1.865008032,1277,0
unknown,3,2,3,2.00507E+13,2.01607E+13,376,4028,59,195,11,0,0,47,7,2,13,288,0.831953525,917,0
unknown,1,1,3,2.01704E+13,2.01709E+13,108,165,39,23,6,0,0,5,1,0,2,98,0.594368208,493,1
unknown,1,1,0,2.01108E+13,2.01305E+13,158,641,40,36,0,0,0,116,0,0,5,36,1.29126263,974,1
unknown,3,0,1,2.00805E+13,2.01609E+13,75,3038,49,17,0,0,0,1,4,0,4,64,1.057149316,1074,0
unknown,3,3,3,2.01503E+13,2.01707E+13,1816,863,112,240,14,0,0,96,16,44,26,1473,1.481654138,1596,0
unknown,2,2,0,2.00712E+13,2.01507E+13,283,2779,97,152,0,0,0,3,9,7,12,247,1.204403165,647,2
unknown,3,3,0,2.00804E+13,2.01709E+13,1366,3460,606,786,58,0,0,2,27,11,21,1264,0.865617488,412,0
unknown,3,0,1,2.00506E+13,2.01307E+13,85,2968,32,45,7,0,0,3,2,10,0,70,1.057149316,1074,0
male,1,2,3,2.00408E+13,2.01307E+13,228,3253,36,203,13,0,0,5,1,2,0,218,0.831953525,917,1
unknown,3,0,0,2.01507E+13,2.01507E+13,56,3,2,15,0,0,0,7,4,18,10,17,1.865008032,1277,0
male,1,1,3,2.00911E+13,2.01207E+13,200,964,45,88,5,0,0,48,1,1,43,89,0.594368208,493,1
male,1,1,3,2.01102E+13,2.01709E+13,139,2383,21,35,2,0,0,1,5,6,30,97,0.594368208,493,1
unknown,1,1,3,2.01302E+13,2.01509E+13,128,957,22,59,1,0,0,45,0,2,48,27,0.594368208,493,1
male,3,3,1,2.01102E+13,2.01709E+13,1864,2401,401,323,8,0,0,3,1,1,0,695,0.66167318,477,1
unknown,3,3,2,2.00909E+13,2.01703E+13,2720,2756,467,478,28,0,0,160,142,135,60,1979,1.005226945,817,0
unknown,3,2,0,2.01304E+13,2.01305E+13,244,11,7,9,3,0,0,2,0,5,4,233,1.204403165,647,0
unknown,3,2,2,2.01009E+13,2.01512E+13,326,1934,48,154,1,0,0,1,0,3,0,279,0.915024129,978,0
unknown,3,3,2,2.01307E+13,2.01709E+13,2182,1536,293,774,50,0,0,41,26,0,128,1835,1.005226945,817,0
