Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
2009-09-10,Albury,2.6,NA,0,NA,NA,NA,NA,E,WNW,6,13,71,55,1017.8,1017.6,NA,6,9.7,14.3,No,NA
2010-02-09,Albury,22.1,35.1,0,NA,NA,NA,NA,ENE,SW,6,11,58,37,1020.9,1017.8,NA,1,26.9,33.5,No,NA
2010-02-11,Albury,21.5,35,0,NA,NA,NA,NA,SSE,E,9,7,76,35,1015.8,1010.3,NA,8,24.2,33.1,No,NA
2010-02-17,Albury,15.5,30.6,0,NA,NA,NA,NA,SE,SSW,6,11,66,30,1015.9,1013.8,NA,NA,19.4,30,No,NA
2010-02-26,Albury,17.2,NA,0,NA,NA,NA,NA,NE,E,13,9,54,28,1024.6,1020.7,NA,NA,20.6,29.2,No,NA
2010-03-01,Albury,14.4,NA,0,NA,NA,NA,NA,SE,SSE,19,20,50,35,1018.5,1016.2,6,NA,17.1,25.5,No,NA
2010-03-10,Albury,8.8,NA,0,NA,NA,NA,NA,SSE,SSE,9,11,69,35,1023.7,1023,NA,1,12.5,21.8,No,NA
2010-08-04,Albury,1.2,9.6,0,NA,NA,NA,NA,NA,N,0,7,94,71,1019.8,1017,8,8,5.5,9.2,No,NA
2011-09-10,Albury,4,NA,0.2,NA,NA,NA,NA,W,WSW,20,30,79,47,1015.9,1013.8,NA,NA,9.3,15.6,No,NA
2011-09-11,Albury,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-09-12,Albury,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-09-13,Albury,NA,15.8,NA,NA,NA,NA,NA,NA,NNW,NA,9,NA,47,NA,1023.9,NA,5,NA,15.1,NA,NA
2011-10-10,Albury,3.2,14.4,2,NA,NA,NA,NA,NNW,W,4,24,64,48,1010.6,1010,NA,NA,10.2,13.5,Yes,NA
2012-10-05,Albury,7.5,24.3,0,NA,NA,NA,NA,ENE,WNW,4,22,50,34,1015.5,1014.7,NA,1,19.5,23.6,No,NA
