major,minor,minor_train_accuracy,minor_test_accuracy
0,0,0.9719626168224299,0.7222222222222222
0,2,0.9579439252336449,0.7083333333333334
0,4,0.9392523364485982,0.6666666666666666
0,6,0.9112149532710281,0.6666666666666666
0,8,0.897196261682243,0.6944444444444444
0,10,0.8785046728971962,0.6388888888888888
0,12,0.8504672897196262,0.6944444444444444
0,14,0.8551401869158879,0.6666666666666666
0,16,0.8084112149532711,0.5416666666666666
0,18,0.8037383177570093,0.75
0,20,0.7897196261682243,0.6527777777777778
2,0,0.9532710280373832,0.6666666666666666
2,2,0.9392523364485982,0.7361111111111112
2,4,0.9158878504672897,0.7083333333333334
2,6,0.9018691588785047,0.6805555555555556
2,8,0.883177570093458,0.7361111111111112
2,10,0.8504672897196262,0.5972222222222222
2,12,0.8504672897196262,0.6805555555555556
2,14,0.8317757009345794,0.6805555555555556
2,16,0.8037383177570093,0.625
2,18,0.7850467289719626,0.6388888888888888
2,20,0.7616822429906542,0.5694444444444444
4,0,0.9345794392523364,0.6805555555555556
4,2,0.9252336448598131,0.6805555555555556
4,4,0.8925233644859814,0.6666666666666666
4,6,0.8785046728971962,0.6944444444444444
4,8,0.8691588785046729,0.6944444444444444
4,10,0.8644859813084113,0.6527777777777778
4,12,0.8504672897196262,0.6805555555555556
4,14,0.8271028037383178,0.5555555555555556
4,16,0.8084112149532711,0.6388888888888888
4,18,0.7990654205607477,0.6388888888888888
4,20,0.7663551401869159,0.5833333333333334
6,0,0.9299065420560748,0.6944444444444444
6,2,0.9112149532710281,0.7083333333333334
6,4,0.8925233644859814,0.75
6,6,0.8738317757009346,0.7222222222222222
6,8,0.8738317757009346,0.7083333333333334
6,10,0.8271028037383178,0.6666666666666666
6,12,0.8364485981308412,0.75
6,14,0.7897196261682243,0.5694444444444444
6,16,0.7757009345794392,0.6805555555555556
6,18,0.7757009345794392,0.625
6,20,0.7523364485981309,0.7083333333333334
8,0,0.9018691588785047,0.6805555555555556
8,2,0.8925233644859814,0.6527777777777778
8,4,0.8644859813084113,0.6805555555555556
8,6,0.8691588785046729,0.6666666666666666
8,8,0.8317757009345794,0.625
8,10,0.7990654205607477,0.5277777777777778
8,12,0.822429906542056,0.6388888888888888
8,14,0.7850467289719626,0.625
8,16,0.7990654205607477,0.6944444444444444
8,18,0.7570093457943925,0.5416666666666666
8,20,0.7149532710280374,0.6666666666666666
10,0,0.8785046728971962,0.6388888888888888
10,2,0.8785046728971962,0.6805555555555556
10,4,0.8411214953271028,0.6666666666666666
10,6,0.8644859813084113,0.5972222222222222
10,8,0.822429906542056,0.6111111111111112
10,10,0.794392523364486,0.7222222222222222
10,12,0.7990654205607477,0.6666666666666666
10,14,0.7897196261682243,0.6388888888888888
10,16,0.7710280373831776,0.6388888888888888
10,18,0.7289719626168224,0.625
10,20,0.7383177570093458,0.5833333333333334
12,0,0.8504672897196262,0.7361111111111112
12,2,0.8457943925233645,0.7222222222222222
12,4,0.8271028037383178,0.7222222222222222
12,6,0.8037383177570093,0.6388888888888888
12,8,0.822429906542056,0.7638888888888888
12,10,0.8037383177570093,0.7222222222222222
12,12,0.7663551401869159,0.6805555555555556
12,14,0.7570093457943925,0.75
12,16,0.719626168224299,0.6944444444444444
12,18,0.7289719626168224,0.6388888888888888
12,20,0.7429906542056075,0.5277777777777778
14,0,0.8551401869158879,0.6805555555555556
14,2,0.8411214953271028,0.6944444444444444
14,4,0.822429906542056,0.7083333333333334
14,6,0.822429906542056,0.6805555555555556
14,8,0.8084112149532711,0.5972222222222222
14,10,0.794392523364486,0.6527777777777778
14,12,0.794392523364486,0.625
14,14,0.7336448598130841,0.6111111111111112
14,16,0.7476635514018691,0.5694444444444444
14,18,0.7149532710280374,0.6527777777777778
14,20,0.6915887850467289,0.5
16,0,0.8130841121495327,0.6527777777777778
16,2,0.794392523364486,0.6805555555555556
16,4,0.7850467289719626,0.6388888888888888
16,6,0.780373831775701,0.6527777777777778
16,8,0.7616822429906542,0.7361111111111112
16,10,0.7663551401869159,0.6666666666666666
16,12,0.7570093457943925,0.6388888888888888
16,14,0.7523364485981309,0.5694444444444444
16,16,0.705607476635514,0.5694444444444444
16,18,0.7289719626168224,0.6666666666666666
16,20,0.6822429906542056,0.5138888888888888
18,0,0.7990654205607477,0.6666666666666666
18,2,0.7897196261682243,0.6111111111111112
18,4,0.780373831775701,0.6527777777777778
18,6,0.7616822429906542,0.7222222222222222
18,8,0.7616822429906542,0.6805555555555556
18,10,0.7242990654205608,0.5694444444444444
18,12,0.719626168224299,0.5694444444444444
18,14,0.7523364485981309,0.6805555555555556
18,16,0.7289719626168224,0.6944444444444444
18,18,0.6962616822429907,0.5
18,20,0.6682242990654206,0.5833333333333334
20,0,0.8037383177570093,0.6527777777777778
20,2,0.7850467289719626,0.625
20,4,0.7850467289719626,0.6666666666666666
20,6,0.7850467289719626,0.5555555555555556
20,8,0.7570093457943925,0.6111111111111112
20,10,0.7429906542056075,0.5972222222222222
20,12,0.7336448598130841,0.6944444444444444
20,14,0.7289719626168224,0.625
20,16,0.6682242990654206,0.4583333333333333
20,18,0.6915887850467289,0.625
20,20,0.677570093457944,0.6111111111111112
22,0,0.7476635514018691,0.6388888888888888
22,2,0.7850467289719626,0.6388888888888888
22,4,0.7429906542056075,0.5972222222222222
22,6,0.7336448598130841,0.6111111111111112
22,8,0.7102803738317757,0.625
22,10,0.705607476635514,0.5416666666666666
22,12,0.7009345794392523,0.6111111111111112
22,14,0.7102803738317757,0.5833333333333334
22,16,0.6869158878504673,0.6388888888888888
22,18,0.6728971962616822,0.5555555555555556
22,20,0.6728971962616822,0.7083333333333334
24,0,0.7523364485981309,0.625
