major,minor,minor_train_accuracy,minor_test_accuracy
0,0,1.0,0.6052631578947368
0,2,0.9823008849557522,0.5526315789473685
0,4,0.9601769911504425,0.5921052631578947
0,6,0.9424778761061947,0.5789473684210527
0,8,0.9203539823008849,0.5921052631578947
0,10,0.9026548672566371,0.618421052631579
0,12,0.8805309734513275,0.6052631578947368
0,14,0.8628318584070797,0.6052631578947368
0,16,0.8407079646017699,0.5921052631578947
0,18,0.8230088495575221,0.618421052631579
0,20,0.8008849557522124,0.631578947368421
2,0,0.9823008849557522,0.5921052631578947
2,2,0.9646017699115044,0.5921052631578947
2,4,0.9424778761061947,0.5921052631578947
2,6,0.9247787610619469,0.5789473684210527
2,8,0.9026548672566371,0.5526315789473685
2,10,0.8893805309734514,0.5921052631578947
2,12,0.8628318584070797,0.6052631578947368
2,14,0.8451327433628318,0.5921052631578947
2,16,0.831858407079646,0.5657894736842105
2,18,0.8141592920353983,0.631578947368421
2,20,0.7876106194690266,0.6052631578947368
4,0,0.9601769911504425,0.5789473684210527
4,2,0.9424778761061947,0.5921052631578947
4,4,0.9203539823008849,0.5921052631578947
4,6,0.9070796460176991,0.5657894736842105
4,8,0.8805309734513275,0.5921052631578947
4,10,0.8716814159292036,0.5789473684210527
4,12,0.8407079646017699,0.618421052631579
4,14,0.8362831858407079,0.6052631578947368
4,16,0.8008849557522124,0.6052631578947368
4,18,0.7831858407079646,0.5526315789473685
4,20,0.7610619469026548,0.6052631578947368
6,0,0.9424778761061947,0.6052631578947368
6,2,0.9247787610619469,0.6052631578947368
6,4,0.911504424778761,0.5789473684210527
6,6,0.8893805309734514,0.5921052631578947
6,8,0.8628318584070797,0.5921052631578947
6,10,0.8451327433628318,0.5657894736842105
6,12,0.831858407079646,0.6447368421052632
6,14,0.8097345132743363,0.6052631578947368
6,16,0.8230088495575221,0.5526315789473685
6,18,0.7743362831858407,0.5657894736842105
6,20,0.7477876106194691,0.6052631578947368
8,0,0.9203539823008849,0.5789473684210527
8,2,0.9026548672566371,0.6052631578947368
8,4,0.8805309734513275,0.5921052631578947
8,6,0.8672566371681416,0.5657894736842105
8,8,0.8451327433628318,0.5526315789473685
8,10,0.827433628318584,0.5921052631578947
8,12,0.8141592920353983,0.618421052631579
8,14,0.7920353982300885,0.5657894736842105
8,16,0.7831858407079646,0.5789473684210527
8,18,0.7654867256637168,0.5263157894736842
8,20,0.7256637168141593,0.5657894736842105
10,0,0.9026548672566371,0.6052631578947368
10,2,0.8849557522123894,0.5921052631578947
10,4,0.8672566371681416,0.5921052631578947
10,6,0.8584070796460177,0.631578947368421
10,8,0.8230088495575221,0.5921052631578947
10,10,0.8185840707964602,0.5526315789473685
10,12,0.8008849557522124,0.5394736842105263
10,14,0.7787610619469026,0.631578947368421
10,16,0.7610619469026548,0.618421052631579
10,18,0.7389380530973452,0.5921052631578947
10,20,0.7566371681415929,0.6052631578947368
12,0,0.8805309734513275,0.618421052631579
12,2,0.8628318584070797,0.6052631578947368
12,4,0.8407079646017699,0.618421052631579
12,6,0.8362831858407079,0.618421052631579
12,8,0.8141592920353983,0.5394736842105263
12,10,0.7964601769911505,0.5921052631578947
12,12,0.7831858407079646,0.5526315789473685
12,14,0.7566371681415929,0.5657894736842105
12,16,0.7433628318584071,0.618421052631579
12,18,0.7300884955752213,0.5263157894736842
12,20,0.7035398230088495,0.5789473684210527
14,0,0.8628318584070797,0.5657894736842105
14,2,0.8451327433628318,0.5789473684210527
14,4,0.831858407079646,0.5263157894736842
14,6,0.827433628318584,0.5657894736842105
14,8,0.7876106194690266,0.6052631578947368
14,10,0.7699115044247787,0.5394736842105263
14,12,0.7787610619469026,0.618421052631579
14,14,0.7433628318584071,0.5789473684210527
14,16,0.7389380530973452,0.5657894736842105
14,18,0.7300884955752213,0.5921052631578947
14,20,0.6946902654867256,0.618421052631579
16,0,0.8407079646017699,0.5789473684210527
16,2,0.8230088495575221,0.5526315789473685
16,4,0.8230088495575221,0.5789473684210527
16,6,0.8008849557522124,0.5526315789473685
16,8,0.7831858407079646,0.5657894736842105
16,10,0.7610619469026548,0.5657894736842105
16,12,0.7389380530973452,0.6052631578947368
16,14,0.7079646017699115,0.5921052631578947
16,16,0.7168141592920354,0.6710526315789473
16,18,0.6991150442477876,0.5394736842105263
16,20,0.6592920353982301,0.5921052631578947
18,0,0.8230088495575221,0.5657894736842105
18,2,0.8053097345132744,0.5789473684210527
18,4,0.7964601769911505,0.5789473684210527
18,6,0.7699115044247787,0.6052631578947368
18,8,0.7477876106194691,0.5921052631578947
18,10,0.7389380530973452,0.5394736842105263
18,12,0.7300884955752213,0.5789473684210527
18,14,0.7123893805309734,0.5789473684210527
18,16,0.6946902654867256,0.5921052631578947
18,18,0.672566371681416,0.5921052631578947
18,20,0.6415929203539823,0.6052631578947368
20,0,0.8008849557522124,0.5526315789473685
20,2,0.7876106194690266,0.5921052631578947
20,4,0.7876106194690266,0.5657894736842105
20,6,0.7477876106194691,0.5394736842105263
20,8,0.7256637168141593,0.5526315789473685
20,10,0.7212389380530974,0.5657894736842105
20,12,0.6991150442477876,0.6052631578947368
20,14,0.7079646017699115,0.5526315789473685
20,16,0.6858407079646017,0.5
20,18,0.672566371681416,0.6052631578947368
20,20,0.6592920353982301,0.5789473684210527
22,0,0.7831858407079646,0.5789473684210527
22,2,0.7654867256637168,0.618421052631579
22,4,0.7433628318584071,0.618421052631579
22,6,0.7477876106194691,0.5789473684210527
22,8,0.7300884955752213,0.5657894736842105
22,10,0.7035398230088495,0.5789473684210527
22,12,0.6946902654867256,0.5789473684210527
22,14,0.6858407079646017,0.5921052631578947
22,16,0.672566371681416,0.6052631578947368
22,18,0.672566371681416,0.5921052631578947
22,20,0.6592920353982301,0.5921052631578947
24,0,0.7610619469026548,0.5789473684210527
24,2,0.7433628318584071,0.5789473684210527
24,4,0.7345132743362832,0.5657894736842105
24,6,0.7123893805309734,0.618421052631579
24,8,0.7079646017699115,0.6052631578947368
24,10,0.668141592920354,0.618421052631579
24,12,0.6814159292035398,0.5921052631578947
24,14,0.668141592920354,0.5657894736842105
24,16,0.6371681415929203,0.5657894736842105
24,18,0.6371681415929203,0.5657894736842105
24,20,0.6106194690265486,0.5921052631578947
26,0,0.7433628318584071,0.5657894736842105
26,2,0.7300884955752213,0.5526315789473685
26,4,0.7123893805309734,0.5526315789473685
26,6,0.6946902654867256,0.5263157894736842
26,8,0.6858407079646017,0.5394736842105263
26,10,0.668141592920354,0.5789473684210527
26,12,0.6769911504424779,0.5526315789473685
26,14,0.6769911504424779,0.5394736842105263
26,16,0.6238938053097345,0.5526315789473685
26,18,0.6106194690265486,0.5131578947368421
26,20,0.6283185840707964,0.5
28,0,0.7212389380530974,0.5394736842105263
28,2,0.7079646017699115,0.5789473684210527
28,4,0.6946902654867256,0.5921052631578947
28,6,0.6946902654867256,0.5789473684210527
28,8,0.6504424778761062,0.5921052631578947
28,10,0.668141592920354,0.5789473684210527
28,12,0.6283185840707964,0.5263157894736842
28,14,0.6371681415929203,0.5394736842105263
28,16,0.6194690265486725,0.5526315789473685
28,18,0.5973451327433629,0.5394736842105263
28,20,0.588495575221239,0.47368421052631576
30,0,0.7035398230088495,0.5526315789473685
30,2,0.6858407079646017,0.5263157894736842
30,4,0.6814159292035398,0.5131578947368421
30,6,0.672566371681416,0.5657894736842105
30,8,0.6460176991150443,0.5131578947368421
30,10,0.6371681415929203,0.5657894736842105
30,12,0.6106194690265486,0.5394736842105263
30,14,0.588495575221239,0.5263157894736842
30,16,0.5796460176991151,0.5263157894736842
30,18,0.5929203539823009,0.5657894736842105
30,20,0.6106194690265486,0.5131578947368421
32,0,0.6814159292035398,0.6052631578947368
32,2,0.672566371681416,0.631578947368421
32,4,0.6460176991150443,0.6052631578947368
32,6,0.6283185840707964,0.631578947368421
32,8,0.6327433628318584,0.5921052631578947
32,10,0.6238938053097345,0.5789473684210527
32,12,0.6238938053097345,0.5657894736842105
32,14,0.5929203539823009,0.5526315789473685
32,16,0.6017699115044248,0.5789473684210527
32,18,0.5663716814159292,0.5789473684210527
32,20,0.5796460176991151,0.6052631578947368
34,0,0.6637168141592921,0.5789473684210527
34,2,0.6592920353982301,0.5789473684210527
34,4,0.6283185840707964,0.5657894736842105
34,6,0.6238938053097345,0.5394736842105263
34,8,0.6194690265486725,0.5131578947368421
34,10,0.5929203539823009,0.5394736842105263
34,12,0.5973451327433629,0.5921052631578947
34,14,0.6017699115044248,0.5921052631578947
34,16,0.5752212389380531,0.6052631578947368
34,18,0.5486725663716814,0.5789473684210527
34,20,0.5486725663716814,0.5526315789473685
36,0,0.6415929203539823,0.5526315789473685
36,2,0.6327433628318584,0.5131578947368421
36,4,0.6238938053097345,0.5657894736842105
36,6,0.6150442477876106,0.5394736842105263
36,8,0.6017699115044248,0.5131578947368421
36,10,0.5929203539823009,0.4868421052631579
36,12,0.5663716814159292,0.4473684210526316
36,14,0.5663716814159292,0.5657894736842105
36,16,0.5398230088495575,0.5394736842105263
36,18,0.5088495575221239,0.5263157894736842
36,20,0.5619469026548672,0.5131578947368421
38,0,0.6238938053097345,0.5789473684210527
38,2,0.6194690265486725,0.5789473684210527
38,4,0.6194690265486725,0.631578947368421
38,6,0.6061946902654868,0.6052631578947368
38,8,0.5707964601769911,0.5921052631578947
38,10,0.5663716814159292,0.5921052631578947
