major,minor,minor_train_accuracy,minor_test_accuracy
0,0,0.9999590499590499,0.8575113622405109
0,2,0.97997542997543,0.8543176513941776
0,4,0.9601146601146601,0.8525979609384596
0,6,0.94000819000819,0.8487900749293699
0,8,0.9200655200655201,0.8449821889202801
0,10,0.9,0.844490848790075
0,12,0.8802620802620803,0.8415428080088441
0,14,0.85999180999181,0.8385947672276133
0,16,0.8401310401310401,0.8326986856651517
0,18,0.8201474201474201,0.8315931703721902
0,20,0.8000819000819,0.8191868320845105
2,0,0.98001638001638,0.8556688367522417
2,2,0.9612612612612612,0.8555460017196904
2,4,0.9414414414414415,0.8527207959710109
2,6,0.9223996723996724,0.8476845596364083
2,8,0.9042588042588042,0.848421569831716
2,10,0.8830466830466831,0.8417884780739467
2,12,0.8650696150696151,0.8373664169021005
2,14,0.8459049959049959,0.8283994595258568
2,16,0.826904176904177,0.8259427588748312
2,18,0.8064701064701064,0.8217663677680874
2,20,0.7885339885339885,0.8147647709126643
4,0,0.9600737100737101,0.8567743520452032
4,2,0.9414823914823914,0.8534578061663186
4,4,0.9231777231777232,0.8514924456454981
4,6,0.9040950040950041,0.849281415059575
4,8,0.8861998361998362,0.843631003562216
4,10,0.8674447174447174,0.8416656430413954
4,12,0.8498361998361998,0.8381034270974081
4,14,0.8317362817362818,0.8312246652745363
4,16,0.8132268632268632,0.8274167792654465
4,18,0.7952088452088452,0.8218892028006387
4,20,0.7766584766584766,0.8131679154894976
6,0,0.94009009009009,0.8479302297015109
6,2,0.921908271908272,0.8470703844736519
6,4,0.9053644553644553,0.843631003562216
6,6,0.8865683865683865,0.8428939933669083
6,8,0.8701883701883701,0.8382262621299594
6,10,0.8531531531531531,0.8329443557302543
6,12,0.8353398853398853,0.8252057486795235
6,14,0.8162162162162162,0.8238545633214592
6,16,0.8012285012285012,0.8178356467264464
6,18,0.7827190827190827,0.8148876059452156
6,20,0.7647420147420148,0.8088686893502027
8,0,0.91998361998362,0.8491585800270237
8,2,0.9027027027027027,0.8442451787249724
8,4,0.8850532350532351,0.8409286328460877
8,6,0.8684275184275184,0.8408057978135364
8,8,0.8531122031122031,0.8341727060557671
8,10,0.8372645372645373,0.8324530156000491
8,12,0.8192874692874693,0.8290136346886132
8,14,0.8021294021294021,0.8218892028006387
8,16,0.7853398853398853,0.8132907505220489
8,18,0.7705569205569206,0.8127994103918438
8,20,0.7503685503685503,0.8069033288293821
10,0,0.9001228501228501,0.844490848790075
10,2,0.8839885339885339,0.8414199729762928
10,4,0.8685913185913186,0.84019162265078
10,6,0.8527846027846028,0.8344183761208697
10,8,0.835995085995086,0.8299963149490235
10,10,0.8204340704340705,0.830241985014126
10,12,0.8056101556101556,0.8170986365311387
10,14,0.7884111384111384,0.8147647709126643
10,16,0.7721130221130221,0.8069033288293821
10,18,0.756101556101556,0.8000245670065103
10,20,0.7416052416052417,0.8018670924947795
12,0,0.8801392301392301,0.8421569831716006
12,2,0.8658886158886159,0.8392089423903697
12,4,0.8485257985257986,0.8344183761208697
12,6,0.8352579852579852,0.8312246652745363
12,8,0.8196560196560196,0.8309789952094337
12,10,0.802006552006552,0.8238545633214592
12,12,0.7893939393939394,0.8156246161405233
12,14,0.7744881244881245,0.8159931212381771
12,16,0.7567977067977067,0.8070261638619334
12,18,0.7425880425880426,0.7920402898906769
12,20,0.7276412776412776,0.7879867338164844
14,0,0.8601965601965602,0.8400687876182287
