major,minor,minor_train_accuracy,minor_test_accuracy
0,0,1.0,0.9814814814814815
0,2,0.9807098765432098,0.9768518518518519
0,4,0.9606481481481481,0.9699074074074074
0,6,0.9405864197530864,0.9768518518518519
0,8,0.9205246913580247,0.9583333333333334
0,10,0.9004629629629629,0.9652777777777778
0,12,0.8804012345679012,0.9606481481481481
0,14,0.8603395061728395,0.9583333333333334
0,16,0.8402777777777778,0.9606481481481481
0,18,0.8202160493827161,0.9490740740740741
0,20,0.8001543209876543,0.9490740740740741
2,0,0.9807098765432098,0.9791666666666666
2,2,0.9614197530864198,0.9791666666666666
2,4,0.941358024691358,0.9745370370370371
2,6,0.9212962962962963,0.9745370370370371
2,8,0.904320987654321,0.9675925925925926
2,10,0.8827160493827161,0.9722222222222222
2,12,0.8626543209876543,0.9606481481481481
2,14,0.8425925925925926,0.9629629629629629
2,16,0.8217592592592593,0.9444444444444444
2,18,0.8055555555555556,0.9467592592592593
2,20,0.7870370370370371,0.9351851851851852
4,0,0.9606481481481481,0.9791666666666666
4,2,0.9436728395061729,0.9675925925925926
4,4,0.9220679012345679,0.9675925925925926
4,6,0.9035493827160493,0.9583333333333334
4,8,0.8834876543209876,0.9652777777777778
4,10,0.8680555555555556,0.9560185185185185
4,12,0.8472222222222222,0.9652777777777778
4,14,0.8248456790123457,0.9699074074074074
4,16,0.8063271604938271,0.9444444444444444
4,18,0.7939814814814815,0.9467592592592593
4,20,0.7746913580246914,0.9328703703703703
6,0,0.9405864197530864,0.9699074074074074
6,2,0.9243827160493827,0.9629629629629629
6,4,0.904320987654321,0.9675925925925926
6,6,0.8881172839506173,0.9629629629629629
6,8,0.8703703703703703,0.9560185185185185
6,10,0.8510802469135802,0.9282407407407407
6,12,0.8263888888888888,0.9606481481481481
6,14,0.8140432098765432,0.9328703703703703
6,16,0.7978395061728395,0.9606481481481481
6,18,0.7708333333333334,0.9398148148148148
6,20,0.7530864197530864,0.9560185185185185
8,0,0.9205246913580247,0.9722222222222222
8,2,0.9027777777777778,0.9699074074074074
8,4,0.8865740740740741,0.9722222222222222
8,6,0.8649691358024691,0.9722222222222222
8,8,0.8503086419753086,0.9652777777777778
8,10,0.8279320987654321,0.9583333333333334
8,12,0.8109567901234568,0.9537037037037037
8,14,0.8001543209876543,0.9444444444444444
8,16,0.7785493827160493,0.9537037037037037
8,18,0.7685185185185185,0.9305555555555556
8,20,0.7399691358024691,0.9143518518518519
10,0,0.9004629629629629,0.9722222222222222
10,2,0.8834876543209876,0.9699074074074074
10,4,0.8672839506172839,0.9606481481481481
10,6,0.8549382716049383,0.9652777777777778
10,8,0.8356481481481481,0.9513888888888888
10,10,0.8140432098765432,0.9560185185185185
10,12,0.7939814814814815,0.9560185185185185
10,14,0.7754629629629629,0.9490740740740741
10,16,0.7584876543209876,0.9398148148148148
10,18,0.7445987654320988,0.9259259259259259
10,20,0.7222222222222222,0.8958333333333334
12,0,0.8804012345679012,0.9699074074074074
