major,minor,minor_train_accuracy,minor_test_accuracy
0,0,1.0,0.9910493827160494
0,2,0.9800411522633745,0.9895061728395061
0,4,0.9600823045267489,0.987037037037037
0,6,0.9400205761316872,0.9867283950617284
0,8,0.9200617283950617,0.9814814814814815
0,10,0.9,0.9867283950617284
0,12,0.8800411522633745,0.9820987654320987
0,14,0.8600823045267489,0.9839506172839506
0,16,0.8400205761316872,0.9805555555555555
0,18,0.8200617283950618,0.9799382716049383
0,20,0.8,0.975925925925926
2,0,0.9800411522633745,0.9864197530864197
2,2,0.96059670781893,0.9858024691358025
2,4,0.9411522633744855,0.9833333333333333
2,6,0.9212962962962963,0.9861111111111112
2,8,0.901954732510288,0.9842592592592593
2,10,0.8820987654320988,0.9845679012345679
2,12,0.8629629629629629,0.980246913580247
2,14,0.8432098765432099,0.9830246913580247
2,16,0.8241769547325103,0.980246913580247
2,18,0.8044238683127573,0.9743827160493828
2,20,0.7848765432098765,0.9762345679012345
4,0,0.9600823045267489,0.9879629629629629
4,2,0.9416666666666667,0.9879629629629629
4,4,0.922119341563786,0.9839506172839506
4,6,0.9031893004115227,0.9839506172839506
4,8,0.885082304526749,0.9817901234567902
4,10,0.8645061728395061,0.983641975308642
4,12,0.8472222222222222,0.9796296296296296
4,14,0.8271604938271605,0.980246913580247
4,16,0.8075102880658436,0.9783950617283951
4,18,0.7893004115226337,0.9753086419753086
4,20,0.7709876543209877,0.9679012345679012
6,0,0.9400205761316872,0.9845679012345679
6,2,0.9209876543209876,0.9824074074074074
6,4,0.902880658436214,0.9820987654320987
6,6,0.8849794238683127,0.983641975308642
6,8,0.8669753086419754,0.9805555555555555
6,10,0.8472222222222222,0.9768518518518519
6,12,0.8270576131687243,0.975
6,14,0.8119341563786008,0.9768518518518519
6,16,0.7923868312757202,0.9734567901234568
6,18,0.7739711934156379,0.971604938271605
6,20,0.7552469135802469,0.9651234567901235
8,0,0.9200617283950617,0.9851851851851852
8,2,0.9024691358024691,0.9833333333333333
8,4,0.8833333333333333,0.9814814814814815
8,6,0.8656378600823045,0.9824074074074074
8,8,0.8476337448559671,0.9824074074074074
8,10,0.8300411522633745,0.9765432098765432
8,12,0.8116255144032922,0.9808641975308642
8,14,0.795164609053498,0.9787037037037037
8,16,0.7746913580246914,0.970679012345679
8,18,0.7597736625514403,0.9666666666666667
8,20,0.7411522633744856,0.971604938271605
10,0,0.9,0.9842592592592593
10,2,0.8818930041152263,0.979320987654321
10,4,0.8643004115226337,0.9827160493827161
10,6,0.8482510288065843,0.9796296296296296
10,8,0.8297325102880658,0.9799382716049383
10,10,0.8127572016460906,0.9740740740740741
10,12,0.7935185185185185,0.9768518518518519
10,14,0.7771604938271605,0.9734567901234568
10,16,0.7589506172839506,0.9712962962962963
10,18,0.7445473251028807,0.9651234567901235
10,20,0.7272633744855967,0.9703703703703703
12,0,0.8800411522633745,0.9820987654320987
12,2,0.8641975308641975,0.9811728395061728
12,4,0.8447530864197531,0.9805555555555555
12,6,0.8300411522633745,0.9777777777777777
12,8,0.8117283950617284,0.9799382716049383
12,10,0.7981481481481482,0.9743827160493828
12,12,0.7787037037037037,0.9722222222222222
12,14,0.7612139917695473,0.9703703703703703
12,16,0.7463991769547325,0.9697530864197531
12,18,0.7267489711934156,0.9654320987654321
12,20,0.7121399176954732,0.9623456790123457
14,0,0.8600823045267489,0.9790123456790123
14,2,0.8431069958847737,0.980246913580247
14,4,0.8274691358024692,0.9796296296296296
14,6,0.8108024691358025,0.9746913580246913
14,8,0.7948559670781893,0.9765432098765432
14,10,0.7759259259259259,0.970679012345679
14,12,0.7585390946502057,0.9669753086419753
14,14,0.7440329218106996,0.9657407407407408
14,16,0.7277777777777777,0.9614197530864198
14,18,0.7101851851851851,0.9654320987654321
14,20,0.6955761316872427,0.9623456790123457
16,0,0.8400205761316872,0.9771604938271605
16,2,0.8255144032921811,0.9762345679012345
16,4,0.808641975308642,0.9737654320987654
16,6,0.7949588477366255,0.9746913580246913
16,8,0.7753086419753087,0.9725308641975309
16,10,0.7606995884773663,0.9740740740740741
16,12,0.7437242798353909,0.9666666666666667
16,14,0.7237654320987654,0.9635802469135802
16,16,0.7097736625514404,0.9595679012345679
16,18,0.694238683127572,0.9611111111111111
16,20,0.6802469135802469,0.9530864197530864
18,0,0.8200617283950618,0.9774691358024692
18,2,0.8036008230452675,0.9777777777777777
18,4,0.790843621399177,0.9725308641975309
18,6,0.772633744855967,0.9740740740740741
18,8,0.7563786008230453,0.9731481481481481
18,10,0.7429012345679012,0.975
18,12,0.726440329218107,0.967283950617284
18,14,0.7109053497942387,0.9660493827160493
18,16,0.6961934156378601,0.957716049382716
18,18,0.678395061728395,0.9530864197530864
18,20,0.6641975308641975,0.9574074074074074
20,0,0.8,0.9790123456790123
20,2,0.7847736625514403,0.979320987654321
20,4,0.7708847736625515,0.975925925925926
20,6,0.7537037037037037,0.9737654320987654
20,8,0.7409465020576131,0.9700617283950618
20,10,0.7248971193415638,0.9734567901234568
20,12,0.7064814814814815,0.9601851851851851
20,14,0.6909465020576132,0.9564814814814815
20,16,0.6825102880658436,0.9518518518518518
20,18,0.6660493827160494,0.9558641975308642
20,20,0.6509259259259259,0.9493827160493827
22,0,0.7800411522633744,0.9709876543209877
22,2,0.766358024691358,0.9691358024691358
22,4,0.7513374485596708,0.9685185185185186
22,6,0.7362139917695473,0.9691358024691358
22,8,0.721604938271605,0.9648148148148148
22,10,0.7076131687242798,0.9561728395061728
22,12,0.6920781893004115,0.9598765432098766
22,14,0.6781893004115226,0.9527777777777777
22,16,0.662962962962963,0.9567901234567902
22,18,0.6487654320987655,0.9459876543209876
22,20,0.6323045267489712,0.937037037037037
24,0,0.760082304526749,0.967283950617284
24,2,0.7466049382716049,0.9669753086419753
24,4,0.7326131687242798,0.9629629629629629
24,6,0.7182098765432099,0.9641975308641976
24,8,0.7045267489711934,0.9549382716049383
24,10,0.6897119341563785,0.9537037037037037
24,12,0.6733539094650206,0.9527777777777777
24,14,0.6622427983539094,0.9441358024691358
24,16,0.6438271604938272,0.9388888888888889
24,18,0.6343621399176955,0.9376543209876543
24,20,0.6187242798353909,0.933641975308642
26,0,0.7400205761316873,0.9728395061728395
26,2,0.7261316872427983,0.9697530864197531
26,4,0.7122427983539095,0.9645061728395061
26,6,0.6986625514403292,0.9626543209876544
26,8,0.6860082304526749,0.9645061728395061
26,10,0.6709876543209876,0.9564814814814815
26,12,0.6593621399176954,0.950925925925926
26,14,0.6467078189300411,0.9435185185185185
26,16,0.6277777777777778,0.9398148148148148
26,18,0.6162551440329218,0.932716049382716
26,20,0.6055555555555555,0.925
28,0,0.7200617283950618,0.9595679012345679
28,2,0.7066872427983539,0.9611111111111111
28,4,0.6958847736625514,0.9580246913580247
28,6,0.6803497942386831,0.9518518518518518
28,8,0.6683127572016461,0.9549382716049383
28,10,0.656275720164609,0.946604938271605
28,12,0.641358024691358,0.9404320987654321
28,14,0.6281893004115227,0.9351851851851852
28,16,0.6160493827160494,0.9280864197530864
28,18,0.6065843621399177,0.9280864197530864
28,20,0.5914609053497942,0.9175925925925926
30,0,0.7,0.9595679012345679
30,2,0.687962962962963,0.9567901234567902
30,4,0.6774691358024691,0.9496913580246914
30,6,0.6610082304526749,0.9540123456790124
30,8,0.6501028806584362,0.9472222222222222
30,10,0.6411522633744856,0.937962962962963
30,12,0.6242798353909464,0.9308641975308642
