dataset_name,feature_name,tree_id,nodes,edges,diameter,weak_components,strong_components,node_connectivity,mean_hub_score,mean_auth_score,median_degree,mean_degree,depth,total_length_of_branches,branching_ratio
chesskingrookvsking,White King file,0,23,357,3,1,2,-1,0.04347826086956523,0.0434782608695652,32.5,27.428571428571427,27,17996,0.001500333407423872
chesskingrookvsking,White King file,1,23,277,3,1,5,-1,0.04347826086956521,0.043478260869565216,26.5,22.857142857142858,27,17844,0.0015131136516476126
chesskingrookvsking,White King file,2,23,501,1,1,1,-1,0.043478260869565216,0.04347826086956524,43.0,43.0,27,18006,0.0014995001666111296
chesskingrookvsking,White King file,3,23,467,2,1,1,-1,0.04347826086956521,0.04347826086956523,39.0,39.07692307692308,29,17888,0.0016211985688729875
chesskingrookvsking,White King file,4,23,423,2,1,2,-1,0.04347826086956521,0.04347826086956523,38.0,33.54545454545455,27,17910,0.001507537688442211
chesskingrookvsking,White King file,5,23,414,2,1,1,-1,0.043478260869565216,0.043478260869565216,36.5,34.92857142857143,28,17580,0.0015927189988623437
chesskingrookvsking,White King file,6,23,353,3,1,3,-1,0.043478260869565216,0.043478260869565216,31.0,28.142857142857142,28,17834,0.0015700347650555119
chesskingrookvsking,White King file,7,23,448,2,1,2,-1,0.043478260869565216,0.04347826086956521,39.5,35.375,28,17668,0.001584786053882726
chesskingrookvsking,White King file,8,23,384,3,1,2,-1,0.043478260869565216,0.043478260869565216,35.0,31.615384615384617,30,17710,0.0016939582156973462
chesskingrookvsking,White King file,9,23,406,2,1,2,-1,0.04347826086956523,0.043478260869565216,36.0,32.92307692307692,27,17712,0.001524390243902439
chesskingrookvsking,White King file,10,23,446,2,1,1,-1,0.043478260869565216,0.04347826086956521,40.5,34.75,27,17732,0.0015226708775095872
chesskingrookvsking,White King file,11,23,360,3,1,3,-1,0.04347826086956523,0.0434782608695652,34.5,31.75,28,17694,0.0015824573301684187
chesskingrookvsking,White King file,12,23,470,2,1,1,-1,0.043478260869565216,0.04347826086956523,40.5,40.333333333333336,27,17484,0.0015442690459849004
chesskingrookvsking,White King file,13,23,389,3,1,2,-1,0.04347826086956521,0.04347826086956523,33.0,31.857142857142858,28,17934,0.00156128024980484
chesskingrookvsking,White King file,14,23,268,3,1,6,-1,0.04347826086956523,0.043478260869565216,29.5,24.428571428571427,29,17942,0.0016163192509196299
chesskingrookvsking,White King file,15,23,379,2,1,2,-1,0.04347826086956521,0.04347826086956521,35.0,32.64705882352941,27,18178,0.0014853119155022554
chesskingrookvsking,White King file,16,23,358,3,1,2,-1,0.04347826086956523,0.043478260869565216,32.0,29.2,28,17798,0.0015732104730868638
chesskingrookvsking,White King file,17,23,349,3,1,3,-1,0.04347826086956521,0.043478260869565216,33.5,28.6875,27,17606,0.0015335681017834828
chesskingrookvsking,White King file,18,23,299,3,1,5,-1,0.043478260869565216,0.043478260869565216,28.5,25.5,28,17900,0.0015642458100558658
chesskingrookvsking,White King file,19,23,387,2,1,3,-1,0.043478260869565216,0.04347826086956521,34.5,29.916666666666668,26,17766,0.0014634695485759317
chesskingrookvsking,White King file,20,23,443,2,1,2,-1,0.04347826086956523,0.04347826086956521,38.5,34.8,27,17466,0.0015458605290278255
chesskingrookvsking,White King file,21,23,428,2,1,2,-1,0.04347826086956521,0.04347826086956524,40.0,34.63636363636363,26,18012,0.0014434821230290917
chesskingrookvsking,White King file,22,23,358,3,1,4,-1,0.04347826086956521,0.04347826086956523,34.5,28.0,28,17902,0.001564071053513574
chesskingrookvsking,White King file,23,23,322,3,1,4,-1,0.04347826086956521,0.04347826086956521,31.0,25.615384615384617,28,18174,0.0015406624848684934
chesskingrookvsking,White King file,24,23,431,2,1,2,-1,0.04347826086956521,0.043478260869565216,39.0,35.1,28,17862,0.0015675736199753667
chesskingrookvsking,White King file,25,23,417,3,1,3,-1,0.043478260869565216,0.043478260869565216,39.0,31.0,27,18080,0.001493362831858407
chesskingrookvsking,White King file,26,23,443,2,1,2,-1,0.043478260869565216,0.04347826086956521,39.0,35.90909090909091,28,18086,0.0015481587968594493
chesskingrookvsking,White King file,27,23,411,2,1,1,-1,0.043478260869565216,0.04347826086956521,37.0,33.61538461538461,26,18194,0.0014290425414971969
chesskingrookvsking,White King file,28,23,418,2,1,2,-1,0.043478260869565216,0.04347826086956521,36.5,34.42857142857143,28,18194,0.001538968890843135
chesskingrookvsking,White King file,29,23,368,3,1,2,-1,0.043478260869565216,0.043478260869565216,36.0,31.384615384615383,27,18144,0.001488095238095238
chesskingrookvsking,White King file,30,23,357,3,1,3,-1,0.043478260869565216,0.04347826086956521,32.0,29.41176470588235,28,17632,0.001588021778584392
chesskingrookvsking,White King file,31,23,311,3,1,3,-1,0.04347826086956521,0.043478260869565216,30.0,25.733333333333334,30,17738,0.0016912842485060323
chesskingrookvsking,White King file,32,23,494,2,1,1,-1,0.04347826086956521,0.04347826086956523,42.5,42.666666666666664,28,17670,0.0015846066779852859
chesskingrookvsking,White King file,33,23,358,3,1,2,-1,0.04347826086956521,0.043478260869565216,32.5,28.857142857142858,28,17970,0.0015581524763494713
chesskingrookvsking,White King file,34,23,421,2,1,2,-1,0.04347826086956521,0.043478260869565216,37.5,33.5,28,17748,0.0015776425512733828
chesskingrookvsking,White King file,35,23,445,2,1,2,-1,0.04347826086956523,0.043478260869565216,40.0,35.55555555555556,28,17744,0.0015779981965734896
chesskingrookvsking,White King file,36,23,307,3,1,4,-1,0.043478260869565216,0.04347826086956523,28.5,25.9375,28,18016,0.0015541740674955595
chesskingrookvsking,White King file,37,23,490,2,1,1,-1,0.043478260869565216,0.04347826086956523,42.0,41.55555555555556,27,17712,0.001524390243902439
chesskingrookvsking,White King file,38,23,493,1,1,1,-1,0.043478260869565216,0.0434782608695652,41.5,41.5,26,17914,0.001451378809869376
