dataset_name,feature_name,tree_id,nodes,edges,diameter,weak_components,strong_components,node_connectivity,mean_hub_score,mean_auth_score,median_degree,mean_degree,depth,total_length_of_branches,branching_ratio
mushroom,cap-shape,0,64,656,5,1,8,-1,0.015624999999999998,0.015625,25.0,26.21212121212121,18,2954,0.006093432633716994
mushroom,cap-shape,1,59,644,5,1,4,-1,0.01694915254237288,0.01694915254237288,26.0,27.242424242424242,17,3012,0.005644090305444887
mushroom,cap-shape,2,65,717,5,1,6,-1,0.015384615384615385,0.015384615384615385,25.0,26.193548387096776,21,3078,0.00682261208576998
mushroom,cap-shape,3,60,677,4,1,6,-1,0.016666666666666666,0.016666666666666666,25.0,28.424242424242426,16,3024,0.005291005291005291
mushroom,cap-shape,4,69,679,6,1,5,-1,0.014492753623188404,0.014492753623188406,23.5,25.94736842105263,18,3006,0.005988023952095809
mushroom,cap-shape,5,65,682,7,1,10,-1,0.015384615384615384,0.015384615384615385,26.5,28.08823529411765,18,2984,0.006032171581769437
mushroom,cap-shape,6,68,670,6,1,12,-1,0.01470588235294118,0.014705882352941176,26.5,28.966666666666665,23,2976,0.007728494623655914
mushroom,cap-shape,7,72,709,6,1,14,-1,0.013888888888888888,0.013888888888888888,25.0,26.34285714285714,21,3006,0.006986027944111776
mushroom,cap-shape,8,62,682,5,1,4,-1,0.016129032258064512,0.01612903225806452,24.5,26.15625,20,2954,0.006770480704129994
mushroom,cap-shape,9,60,681,5,1,5,-1,0.016666666666666666,0.016666666666666666,26.0,26.818181818181817,18,3032,0.005936675461741424
mushroom,cap-shape,10,66,722,5,1,7,-1,0.01515151515151515,0.015151515151515152,27.0,27.11111111111111,20,3078,0.00649772579597141
mushroom,cap-shape,11,73,698,7,1,8,-1,0.0136986301369863,0.0136986301369863,25.0,25.4,21,3024,0.006944444444444444
mushroom,cap-shape,12,63,610,5,1,11,-1,0.015873015873015872,0.01587301587301587,21.5,23.1,20,2954,0.006770480704129994
mushroom,cap-shape,13,64,714,5,1,15,-1,0.015625,0.015625,27.0,28.27027027027027,17,3014,0.00564034505640345
mushroom,cap-shape,14,64,644,4,1,4,-1,0.015625,0.015625,26.5,27.0625,20,2942,0.006798096532970768
mushroom,cap-shape,15,62,669,5,1,9,-1,0.016129032258064516,0.016129032258064516,27.5,27.75,17,2986,0.0056932350971198925
mushroom,cap-shape,16,72,681,4,1,6,-1,0.013888888888888888,0.013888888888888888,23.0,24.424242424242426,19,3020,0.006291390728476821
mushroom,cap-shape,17,62,696,5,1,9,-1,0.016129032258064516,0.01612903225806452,26.0,26.97142857142857,19,3078,0.006172839506172839
mushroom,cap-shape,18,66,711,4,1,6,-1,0.015151515151515148,0.01515151515151515,25.5,27.71875,19,3072,0.006184895833333333
mushroom,cap-shape,19,66,703,5,1,7,-1,0.015151515151515155,0.015151515151515155,23.0,24.314285714285713,18,2938,0.006126616746085773
mushroom,cap-shape,20,70,677,5,1,9,-1,0.014285714285714285,0.014285714285714289,25.5,26.433333333333334,20,3080,0.006493506493506494
mushroom,cap-shape,21,61,660,4,1,6,-1,0.01639344262295082,0.016393442622950824,27.0,28.161290322580644,18,2984,0.006032171581769437
mushroom,cap-shape,22,64,672,7,1,7,-1,0.015625,0.015625,26.5,27.866666666666667,20,3048,0.006561679790026247
mushroom,cap-shape,23,70,733,4,1,5,-1,0.014285714285714285,0.014285714285714285,27.0,27.27027027027027,19,3026,0.006278916060806345
mushroom,cap-shape,24,65,714,5,1,7,-1,0.015384615384615384,0.015384615384615384,28.0,28.12121212121212,18,3056,0.0058900523560209425
mushroom,cap-shape,25,66,661,5,1,6,-1,0.015151515151515152,0.01515151515151515,27.5,26.75,21,3122,0.006726457399103139
mushroom,cap-shape,26,62,648,5,1,3,-1,0.016129032258064516,0.016129032258064516,26.0,26.88235294117647,21,2954,0.0071090047393364926
mushroom,cap-shape,27,60,678,4,1,5,-1,0.016666666666666666,0.016666666666666666,27.5,28.375,20,2982,0.00670690811535882
mushroom,cap-shape,28,68,656,6,1,13,-1,0.014705882352941175,0.01470588235294118,23.5,24.09375,23,2892,0.007952973720608575
mushroom,cap-shape,29,65,676,6,1,9,-1,0.015384615384615384,0.015384615384615387,24.0,25.10810810810811,18,2932,0.006139154160982265
mushroom,cap-shape,30,61,679,5,1,4,-1,0.016393442622950824,0.01639344262295082,27.5,27.852941176470587,20,2992,0.0066844919786096255
mushroom,cap-shape,31,67,666,6,1,11,-1,0.014925373134328361,0.014925373134328358,24.0,25.542857142857144,18,3034,0.005932762030323006
mushroom,cap-shape,32,74,665,6,1,10,-1,0.013513513513513513,0.013513513513513513,24.5,26.058823529411764,19,3090,0.006148867313915857
mushroom,cap-shape,33,65,656,6,1,9,-1,0.015384615384615385,0.015384615384615387,27.0,26.75862068965517,18,3014,0.005972130059721301
mushroom,cap-shape,34,65,698,6,1,8,-1,0.015384615384615385,0.015384615384615385,27.0,28.545454545454547,17,3032,0.005606860158311346
mushroom,cap-shape,35,62,697,5,1,10,-1,0.016129032258064516,0.01612903225806452,24.5,27.0,19,3054,0.006221349050425672
mushroom,cap-shape,36,75,649,5,1,7,-1,0.013333333333333332,0.013333333333333334,25.0,26.314285714285713,18,3082,0.005840363400389357
mushroom,cap-shape,37,64,669,6,1,13,-1,0.015625,0.015625,26.0,28.29032258064516,18,3024,0.005952380952380952
mushroom,cap-shape,38,68,718,5,1,5,-1,0.014705882352941176,0.014705882352941175,24.5,25.944444444444443,19,3050,0.006229508196721312
mushroom,cap-shape,39,61,682,4,1,6,-1,0.016393442622950817,0.016393442622950817,26.5,27.4375,19,3012,0.0063081009296148734
mushroom,cap-shape,40,66,670,6,1,15,-1,0.015151515151515148,0.015151515151515155,23.5,25.066666666666666,20,3052,0.00655307994757536
mushroom,cap-shape,41,67,661,5,1,10,-1,0.014925373134328361,0.014925373134328361,26.0,26.542857142857144,18,3070,0.005863192182410423
mushroom,cap-shape,42,67,720,5,1,6,-1,0.014925373134328356,0.014925373134328358,28.5,29.47222222222222,21,3042,0.006903353057199211
mushroom,cap-shape,43,71,681,5,1,6,-1,0.014084507042253518,0.014084507042253518,24.0,26.285714285714285,18,2994,0.006012024048096192
mushroom,cap-shape,44,64,678,5,1,9,-1,0.015624999999999998,0.015625,24.5,25.733333333333334,17,3076,0.0055266579973992196
mushroom,cap-shape,45,63,661,6,1,16,-1,0.015873015873015872,0.015873015873015872,26.0,28.322580645161292,19,3034,0.006262359920896506
mushroom,cap-shape,46,64,697,5,1,6,-1,0.015625,0.015625,26.5,27.625,18,3046,0.005909389363099146
mushroom,cap-shape,47,65,667,5,1,7,-1,0.015384615384615387,0.015384615384615385,29.0,28.70967741935484,19,3032,0.006266490765171504
mushroom,cap-shape,48,74,660,6,1,7,-1,0.013513513513513516,0.013513513513513514,25.0,26.242424242424242,18,3022,0.005956320317670417
mushroom,cap-shape,49,64,685,6,1,2,-1,0.015625,0.015625,28.0,29.137931034482758,20,2946,0.006788866259334691
mushroom,cap-shape,50,67,704,6,1,7,-1,0.014925373134328356,0.014925373134328358,24.5,26.34375,21,3012,0.0069721115537848604
mushroom,cap-shape,51,69,696,7,1,9,-1,0.014492753623188404,0.014492753623188404,25.0,26.742857142857144,16,3042,0.005259697567389875
mushroom,cap-shape,52,64,655,5,1,6,-1,0.015624999999999998,0.015624999999999998,25.0,27.454545454545453,19,3068,0.006192959582790091
mushroom,cap-shape,53,65,694,6,1,10,-1,0.015384615384615385,0.015384615384615382,26.0,25.903225806451612,23,2982,0.0077129443326626424
mushroom,cap-shape,54,70,682,4,1,5,-1,0.014285714285714285,0.014285714285714285,26.5,26.794117647058822,18,3020,0.005960264900662252
mushroom,cap-shape,55,67,654,5,1,8,-1,0.014925373134328356,0.014925373134328354,25.0,25.62857142857143,21,3000,0.007
mushroom,cap-shape,56,72,672,5,1,7,-1,0.013888888888888888,0.013888888888888888,24.0,25.242424242424242,21,2978,0.007051712558764272
mushroom,cap-shape,57,67,684,5,1,11,-1,0.014925373134328358,0.014925373134328361,28.5,29.3125,18,3072,0.005859375
mushroom,cap-shape,58,68,670,5,1,12,-1,0.01470588235294118,0.014705882352941173,25.0,27.032258064516128,20,2948,0.0067842605156037995
mushroom,cap-shape,59,72,693,6,1,8,-1,0.013888888888888888,0.013888888888888892,25.0,26.057142857142857,21,3008,0.006981382978723404
mushroom,cap-shape,60,67,672,6,1,11,-1,0.014925373134328356,0.014925373134328358,24.5,26.633333333333333,18,3098,0.005810200129115558
mushroom,cap-shape,61,65,667,5,1,7,-1,0.015384615384615385,0.015384615384615385,25.0,26.12121212121212,17,3020,0.005629139072847682
mushroom,cap-shape,62,66,685,5,1,4,-1,0.015151515151515152,0.015151515151515152,26.0,27.666666666666668,17,3070,0.005537459283387622
mushroom,cap-shape,63,66,679,6,1,10,-1,0.01515151515151515,0.015151515151515152,25.0,25.515151515151516,16,2990,0.005351170568561873
mushroom,cap-shape,64,66,667,6,1,10,-1,0.015151515151515152,0.015151515151515152,22.5,25.42105263157895,18,3004,0.005992010652463382
mushroom,cap-shape,65,71,713,5,1,3,-1,0.014084507042253518,0.014084507042253513,24.5,25.970588235294116,21,2986,0.007032819825853985
mushroom,cap-shape,66,68,663,4,1,3,-1,0.014705882352941175,0.014705882352941176,23.5,26.941176470588236,21,3002,0.0069953364423717525
mushroom,cap-shape,67,64,654,5,1,11,-1,0.015624999999999998,0.015625,24.0,25.818181818181817,18,3052,0.005897771952817824
mushroom,cap-shape,68,67,711,5,1,9,-1,0.014925373134328358,0.014925373134328358,27.0,26.944444444444443,18,3014,0.005972130059721301
mushroom,cap-shape,69,63,676,6,1,7,-1,0.015873015873015872,0.015873015873015872,26.5,27.09375,18,2956,0.006089309878213802
mushroom,cap-shape,70,62,669,5,1,7,-1,0.016129032258064516,0.016129032258064516,24.0,25.72972972972973,17,2976,0.00571236559139785
mushroom,cap-shape,71,70,672,8,1,9,-1,0.014285714285714282,0.014285714285714282,22.0,25.151515151515152,20,3066,0.006523157208088715
mushroom,cap-shape,72,67,679,5,1,5,-1,0.014925373134328356,0.014925373134328356,26.5,27.2,18,2978,0.006044325050369375
mushroom,cap-shape,73,62,689,6,1,6,-1,0.016129032258064516,0.016129032258064516,26.0,28.085714285714285,18,3028,0.0059445178335535
mushroom,cap-shape,74,66,658,8,1,10,-1,0.015151515151515152,0.015151515151515152,24.5,25.529411764705884,20,2964,0.006747638326585695
mushroom,cap-shape,75,64,644,5,1,7,-1,0.015625,0.015625,26.0,27.870967741935484,22,3058,0.007194244604316547
mushroom,cap-shape,76,72,687,5,1,5,-1,0.013888888888888888,0.013888888888888888,23.0,25.6,22,3022,0.00727994705493051
mushroom,cap-shape,77,68,687,6,1,17,-1,0.014705882352941176,0.014705882352941176,24.5,26.75,19,2970,0.006397306397306397
mushroom,cap-shape,78,71,690,5,1,5,-1,0.01408450704225352,0.01408450704225352,24.5,25.57894736842105,19,3000,0.006333333333333333
mushroom,cap-shape,79,70,712,5,1,5,-1,0.014285714285714285,0.014285714285714284,25.0,27.032258064516128,22,2990,0.007357859531772575
mushroom,cap-shape,80,62,660,6,1,6,-1,0.01612903225806452,0.016129032258064516,24.0,25.914285714285715,21,2944,0.007133152173913043
mushroom,cap-shape,81,68,675,5,1,12,-1,0.014705882352941176,0.014705882352941176,26.0,26.967741935483872,22,2950,0.007457627118644068
mushroom,cap-shape,82,74,704,6,1,10,-1,0.013513513513513514,0.013513513513513513,26.0,27.484848484848484,22,3084,0.007133592736705577
mushroom,cap-shape,83,63,674,5,1,4,-1,0.015873015873015872,0.015873015873015876,23.0,25.741935483870968,19,2998,0.0063375583722481655
mushroom,cap-shape,84,67,680,5,1,7,-1,0.014925373134328358,0.014925373134328361,24.0,25.666666666666668,18,3038,0.005924950625411455
mushroom,cap-shape,85,71,687,7,1,7,-1,0.014084507042253525,0.014084507042253518,22.5,23.71875,18,3112,0.005784061696658098
mushroom,cap-shape,86,65,663,6,1,12,-1,0.015384615384615387,0.015384615384615387,26.0,27.057142857142857,21,2958,0.007099391480730223
mushroom,cap-shape,87,69,714,4,1,5,-1,0.014492753623188406,0.01449275362318841,26.0,27.09090909090909,20,3050,0.006557377049180328
mushroom,cap-shape,88,66,690,6,1,7,-1,0.015151515151515152,0.015151515151515152,23.0,25.606060606060606,21,3020,0.00695364238410596
mushroom,cap-shape,89,64,680,5,1,5,-1,0.015625,0.015625,27.0,27.228571428571428,22,2998,0.00733822548365577
mushroom,cap-shape,90,66,677,5,1,9,-1,0.01515151515151515,0.015151515151515148,25.5,28.13888888888889,17,3018,0.005632869449966865
mushroom,cap-shape,91,62,668,5,1,8,-1,0.016129032258064516,0.016129032258064516,25.5,26.470588235294116,18,2996,0.006008010680907877
mushroom,cap-shape,92,68,651,5,1,6,-1,0.014705882352941175,0.01470588235294118,24.0,24.93548387096774,22,3014,0.0072992700729927005
mushroom,cap-shape,93,63,665,5,1,7,-1,0.015873015873015872,0.015873015873015876,25.5,26.233333333333334,19,3044,0.006241787122207621
mushroom,cap-shape,94,72,701,5,1,10,-1,0.013888888888888888,0.013888888888888888,26.0,27.56756756756757,20,3010,0.006644518272425249
mushroom,cap-shape,95,68,679,6,1,5,-1,0.014705882352941176,0.014705882352941173,24.0,25.78787878787879,20,3082,0.006489292667099286
mushroom,cap-shape,96,68,646,4,1,6,-1,0.01470588235294118,0.014705882352941176,25.5,26.3,19,3038,0.006254114549045424
mushroom,cap-shape,97,64,667,5,1,9,-1,0.015625,0.015625,25.0,26.545454545454547,26,3026,0.008592200925313946
mushroom,cap-shape,98,66,659,4,1,5,-1,0.015151515151515152,0.015151515151515152,26.5,28.15625,20,3102,0.006447453255963894
mushroom,cap-shape,99,68,710,5,1,10,-1,0.014705882352941176,0.01470588235294118,26.5,27.694444444444443,23,3042,0.007560815253122946
mushroom,cap-shape,100,61,668,7,1,9,-1,0.01639344262295082,0.016393442622950824,23.0,25.12121212121212,21,2926,0.007177033492822967
mushroom,cap-shape,101,67,676,5,1,10,-1,0.014925373134328361,0.014925373134328358,25.5,25.46875,20,3060,0.006535947712418301
mushroom,cap-shape,102,71,687,7,1,12,-1,0.014084507042253521,0.014084507042253525,25.5,26.805555555555557,21,3024,0.006944444444444444
mushroom,cap-shape,103,71,674,6,1,9,-1,0.01408450704225352,0.014084507042253521,24.5,26.7,22,2966,0.007417397167902899
mushroom,cap-shape,104,65,710,5,1,4,-1,0.015384615384615387,0.015384615384615385,29.5,28.25,19,2992,0.006350267379679145
mushroom,cap-shape,105,68,659,5,1,6,-1,0.014705882352941176,0.01470588235294118,26.0,26.774193548387096,18,3086,0.005832793259883344
mushroom,cap-shape,106,69,673,6,1,8,-1,0.014492753623188406,0.014492753623188404,25.0,26.945945945945947,18,2988,0.006024096385542169
mushroom,cap-shape,107,67,683,5,1,6,-1,0.014925373134328358,0.014925373134328356,23.5,25.842105263157894,20,2970,0.006734006734006734
mushroom,cap-shape,108,61,695,5,1,14,-1,0.01639344262295082,0.016393442622950817,26.5,27.705882352941178,18,3022,0.005956320317670417
mushroom,cap-shape,109,68,675,6,1,9,-1,0.014705882352941173,0.014705882352941175,25.5,24.705882352941178,22,2942,0.007477906186267845
