,major,winequality_entropy,HeartDisease_entropy,mushroom_entropy,Abalone_entropy,CarEvaluation_entropy,GlassIdentification_entropy
0,0,2.6275380849170595,4.6949655087056605,3.4262703419351195,4.609492017564711,3.93927533780322,4.497741806426875
1,2,2.6080298159115203,4.684035667470284,3.605240565062857,4.499206343568429,4.098442265490372,4.566207082012477
2,4,2.565133190928449,4.728313570414808,3.848203990365653,4.6469962515949526,4.1658697895074415,4.575162468684747
3,6,2.56547525407132,4.708765515818766,4.0158871716766,4.5575668732110834,4.218764092959486,4.499352988857585
4,8,2.5305287454673437,4.720136952932401,4.071191473169943,4.627944070671632,4.34497418032244,4.618523859384009
5,10,2.601972006808737,4.699369780199635,4.1332026978114085,4.601895149866023,4.413906597346836,4.594555942509087
6,12,2.478104648036988,4.702470516700874,4.288510186081797,4.60479950580737,4.515786973429078,4.611479527334171
7,14,2.4961152067817656,4.712866185113435,4.319658543901364,4.54431466606303,4.557855427333677,4.673836842824554
8,16,2.5517554160698834,4.737067503603037,4.480265072726922,4.499023620773619,4.628560030386519,4.6182967722101225
9,18,2.5027033143882527,4.715345803372522,4.5261401319628,4.519739271066227,4.64304690822284,4.642316479306452
10,20,2.512635125806552,4.7191479696589385,4.563448338038271,4.597574074781908,4.630822465129359,4.674226594078639
11,22,2.458858649385512,4.714675617568713,4.573445849017084,4.580342590679254,4.692717647769303,4.682623628733277
12,24,2.481164422049619,4.743519777104895,4.63742399994589,4.48492078818778,4.698074750756337,4.68495359877774
13,26,2.4476643598399246,4.719728300257732,4.624861971565943,4.594976621678721,4.6937980032607145,4.705217570516875
14,28,2.4429401544977214,4.732076835087713,4.667461349872373,4.507325830016986,4.706751050532757,4.705488687144754
15,30,2.446000383553523,4.716552573898396,4.665940614498284,4.359775189803603,4.704009220505542,4.699372175997182
16,32,2.4764242912356305,4.712215196359925,4.706215586733762,4.597977737590105,4.719291977647986,4.698330048954238
17,34,2.451737040640624,4.7376872901825084,4.716719678504992,4.553459519516667,4.705889207930768,4.715903198573596
18,36,2.423628184977304,4.723601690059971,4.703764241093486,4.547654610826662,4.729249360687897,4.726933842687859
19,38,2.4476971208698366,4.730519662167882,4.70956525457908,4.5803517322974265,4.708726750752049,4.699040187648651
20,40,2.42364456549226,4.723818156813765,4.720998193325531,4.523727993666259,4.732095458893868,4.731221029371942
