,major,minor,validation,test
0,0,0,0.9906666666666666,0.988
1,0,1,0.9813333333333333,0.988
2,0,2,0.9693333333333335,0.988
3,0,3,0.9613333333333334,0.988
4,1,0,0.9813333333333333,0.988
5,1,1,0.9733333333333333,0.988
6,1,2,0.9626666666666669,0.988
7,1,3,0.9520000000000002,0.988
8,2,0,0.9706666666666667,0.988
9,2,1,0.9626666666666669,0.988
10,2,2,0.9533333333333334,0.988
11,2,3,0.9413333333333334,0.988
12,3,0,0.9600000000000002,0.988
13,3,1,0.9520000000000002,0.988
14,3,2,0.9400000000000001,0.988
15,3,3,0.9293333333333333,0.984
