,major,minor,validation,test
0,0,0,0.9732946298984034,0.9714285714285714
1,0,1,0.9560957910014511,0.9657142857142857
2,0,2,0.946589259796807,0.9714285714285714
3,0,3,0.9389332365747458,0.9714285714285714
4,1,0,0.9543178519593611,0.9657142857142857
5,1,1,0.9486574746008707,0.9714285714285714
6,1,2,0.9313134978229318,0.9657142857142857
7,1,3,0.9314586357039187,0.9657142857142857
8,2,0,0.9522133526850507,0.96
9,2,1,0.9406748911465893,0.9657142857142857
10,2,2,0.9351233671988389,0.96
11,2,3,0.9256168359941943,0.9657142857142857
12,3,0,0.9390058055152395,0.9657142857142857
13,3,1,0.9199201741654571,0.9657142857142857
14,3,2,0.9180333817126269,0.9657142857142857
15,3,3,0.9142235123367198,0.96
