dataset_name,feature_name,tree_id,nodes,edges,diameter,weak_components,strong_components,node_connectivity,mean_hub_score,mean_auth_score,median_degree,mean_degree,depth,total_length_of_branches,branching_ratio
adult,age,0,103,1510,4,1,5,-1,0.009708737864077669,0.009708737864077669,34.5,40.92307692307692,54,8896,0.006070143884892087
adult,age,1,99,1557,3,1,1,-1,0.0101010101010101,0.010101010101010102,38.0,42.592592592592595,55,8924,0.0061631555356342444
adult,age,2,98,1444,3,1,1,-1,0.01020408163265306,0.01020408163265306,32.0,41.06,60,8784,0.006830601092896175
adult,age,3,100,1531,4,1,4,-1,0.009999999999999998,0.01,36.5,43.40384615384615,60,8820,0.006802721088435374
adult,age,4,99,1307,4,1,3,-1,0.010101010101010102,0.010101010101010102,34.0,38.38775510204081,51,8370,0.0060931899641577065
adult,age,5,101,1506,3,1,3,-1,0.009900990099009903,0.009900990099009903,32.0,39.58181818181818,62,8668,0.007152745731425935
adult,age,6,96,1638,3,1,2,-1,0.010416666666666666,0.010416666666666666,39.0,43.285714285714285,56,8884,0.006303466906798739
adult,age,7,99,1468,4,1,2,-1,0.010101010101010104,0.010101010101010104,36.5,38.875,50,8728,0.0057286892758936754
adult,age,8,100,1482,3,1,1,-1,0.009999999999999998,0.010000000000000002,38.5,40.90384615384615,61,8490,0.0071849234393404
adult,age,9,98,1395,4,1,2,-1,0.01020408163265306,0.01020408163265306,35.0,38.255319148936174,59,8398,0.0070254822576804
adult,age,10,102,1427,4,1,2,-1,0.009803921568627453,0.00980392156862745,34.0,39.86,61,8354,0.0073018913095523105
adult,age,11,95,1540,4,1,2,-1,0.010526315789473684,0.010526315789473682,36.5,42.339285714285715,57,8900,0.006404494382022472
adult,age,12,101,1440,4,1,4,-1,0.009900990099009901,0.009900990099009903,35.5,38.92,62,8674,0.0071477980170624855
adult,age,13,97,1499,4,1,1,-1,0.010309278350515464,0.010309278350515464,36.0,41.679245283018865,57,8696,0.00655473781048758
adult,age,14,96,1408,4,1,3,-1,0.010416666666666666,0.010416666666666666,35.0,39.23529411764706,64,8286,0.007723871590634806
adult,age,15,100,1511,4,1,2,-1,0.009999999999999998,0.010000000000000002,39.0,42.10344827586207,53,8826,0.0060049852707908455
adult,age,16,101,1469,4,1,2,-1,0.009900990099009903,0.009900990099009901,32.0,40.35294117647059,59,8786,0.006715228773048031
adult,age,17,102,1491,4,1,2,-1,0.009803921568627449,0.009803921568627453,33.0,40.416666666666664,61,8672,0.007034132841328413
adult,age,18,98,1533,3,1,3,-1,0.01020408163265306,0.01020408163265306,31.0,38.79245283018868,51,8714,0.0058526509065871014
adult,age,19,103,1637,3,1,4,-1,0.009708737864077673,0.009708737864077673,39.5,44.270833333333336,55,9138,0.006018822499452834
adult,age,20,96,1449,3,1,1,-1,0.010416666666666666,0.010416666666666666,36.0,40.68,60,8602,0.006975122064636131
adult,age,21,101,1393,4,1,2,-1,0.009900990099009903,0.009900990099009901,34.0,38.1063829787234,54,8514,0.006342494714587738
adult,age,22,101,1484,4,1,2,-1,0.009900990099009901,0.0099009900990099,34.5,39.48148148148148,56,8700,0.006436781609195402
adult,age,23,101,1508,4,1,3,-1,0.0099009900990099,0.0099009900990099,38.0,40.907407407407405,52,8776,0.005925250683682771
adult,age,24,98,1521,4,1,2,-1,0.010204081632653064,0.010204081632653064,40.0,43.05882352941177,58,8860,0.00654627539503386
adult,age,25,99,1441,4,1,2,-1,0.010101010101010102,0.010101010101010102,35.5,41.22,53,8862,0.0059805912886481604
adult,age,26,99,1481,4,1,3,-1,0.010101010101010102,0.010101010101010098,34.5,39.80357142857143,61,8786,0.006942863646710676
adult,age,27,100,1557,4,1,2,-1,0.009999999999999997,0.009999999999999998,37.5,44.27777777777778,70,8998,0.00777950655701267
adult,age,28,98,1423,4,1,2,-1,0.01020408163265306,0.01020408163265306,35.0,37.83673469387755,62,8650,0.007167630057803468
adult,age,29,101,1424,4,1,2,-1,0.009900990099009903,0.0099009900990099,31.0,38.62264150943396,56,8604,0.006508600650860065
adult,age,30,99,1487,4,1,3,-1,0.010101010101010102,0.0101010101010101,38.0,41.660377358490564,58,8486,0.006834786707518265
adult,age,31,100,1526,4,1,3,-1,0.01,0.01,40.5,42.55555555555556,57,8886,0.006414584740040513
adult,age,32,102,1479,4,1,3,-1,0.009803921568627453,0.00980392156862745,31.0,39.72549019607843,54,8700,0.006206896551724138
adult,age,33,102,1437,4,1,4,-1,0.009803921568627449,0.00980392156862745,36.5,41.52,57,8624,0.006609461966604824
adult,age,34,98,1453,4,1,2,-1,0.01020408163265306,0.01020408163265306,35.5,41.34,60,8954,0.006700915791824883
adult,age,35,101,1433,4,1,3,-1,0.0099009900990099,0.0099009900990099,30.0,37.673469387755105,61,8680,0.0070276497695852536
adult,age,36,99,1384,4,1,4,-1,0.010101010101010102,0.010101010101010102,31.5,38.65384615384615,61,8524,0.007156264664476771
adult,age,37,98,1512,4,1,2,-1,0.01020408163265306,0.01020408163265306,44.0,44.431372549019606,59,8588,0.006870051234280391
adult,age,38,96,1436,4,1,4,-1,0.01041666666666667,0.010416666666666666,35.0,40.56603773584906,50,8778,0.005696058327637275
adult,age,39,99,1486,4,1,2,-1,0.010101010101010098,0.010101010101010102,36.0,40.924528301886795,51,8470,0.0060212514757969305
adult,age,40,99,1397,4,1,3,-1,0.010101010101010104,0.010101010101010102,31.0,39.60377358490566,57,8642,0.006595695440870169
adult,age,41,98,1475,4,1,2,-1,0.01020408163265306,0.01020408163265306,36.5,41.7037037037037,72,8544,0.008426966292134831
adult,age,42,99,1488,4,1,3,-1,0.010101010101010102,0.010101010101010098,39.0,42.78431372549019,60,8856,0.006775067750677507
adult,age,43,97,1414,4,1,2,-1,0.010309278350515465,0.010309278350515462,34.5,40.48148148148148,55,8496,0.006473634651600753
adult,age,44,102,1438,4,1,3,-1,0.009803921568627453,0.009803921568627449,34.0,40.232142857142854,49,8618,0.00568577396147598
adult,age,45,100,1383,4,1,2,-1,0.009999999999999998,0.010000000000000002,31.5,38.12,54,8470,0.006375442739079103
adult,age,46,99,1535,3,1,1,-1,0.010101010101010102,0.010101010101010102,34.0,41.6078431372549,59,8698,0.006783168544492987
adult,age,47,100,1520,3,1,2,-1,0.009999999999999998,0.009999999999999998,34.5,41.05555555555556,49,8788,0.005575785161583978
adult,age,48,102,1546,4,1,2,-1,0.009803921568627453,0.009803921568627453,38.0,42.0,53,8918,0.005943036555281453
adult,age,49,103,1457,4,1,3,-1,0.009708737864077669,0.009708737864077669,38.5,42.7,56,8854,0.006324824937881184
adult,age,50,97,1461,4,1,2,-1,0.010309278350515462,0.010309278350515465,34.0,40.588235294117645,60,8744,0.006861848124428179
adult,age,51,99,1439,4,1,2,-1,0.010101010101010102,0.0101010101010101,34.0,38.38297872340426,63,8730,0.007216494845360825
adult,age,52,99,1557,4,1,3,-1,0.010101010101010104,0.010101010101010102,38.0,43.58490566037736,56,8690,0.006444188722669736
adult,age,53,98,1493,4,1,2,-1,0.01020408163265306,0.010204081632653059,36.0,40.62264150943396,60,8526,0.007037297677691766
adult,age,54,100,1476,4,1,2,-1,0.010000000000000004,0.01,35.5,41.63461538461539,51,8802,0.005794137695978187
adult,age,55,100,1506,4,1,2,-1,0.01,0.009999999999999998,34.5,40.129629629629626,57,8606,0.006623286079479433
adult,age,56,102,1466,3,1,2,-1,0.009803921568627449,0.009803921568627453,31.0,37.264150943396224,58,8444,0.006868782567503553
adult,age,57,102,1425,5,1,4,-1,0.009803921568627453,0.009803921568627453,32.0,37.45614035087719,65,8516,0.007632691404415219
adult,age,58,103,1512,4,1,2,-1,0.009708737864077669,0.009708737864077673,32.0,40.50909090909091,65,8950,0.007262569832402235
adult,age,59,99,1606,3,1,2,-1,0.010101010101010102,0.010101010101010098,35.0,41.92727272727273,59,8902,0.00662772410694226
adult,age,60,95,1519,4,1,4,-1,0.010526315789473684,0.010526315789473686,34.5,40.982142857142854,56,8728,0.006416131989000917
adult,age,61,102,1563,4,1,3,-1,0.009803921568627449,0.009803921568627449,35.0,41.16981132075472,61,8936,0.0068263205013428824
adult,age,62,97,1511,4,1,3,-1,0.010309278350515465,0.010309278350515464,35.5,40.51851851851852,51,8594,0.005934372818245288
adult,age,63,101,1425,4,1,3,-1,0.0099009900990099,0.009900990099009898,33.0,39.94230769230769,62,8560,0.007242990654205608
adult,age,64,102,1467,3,1,2,-1,0.009803921568627449,0.009803921568627449,35.0,40.94230769230769,62,8880,0.006981981981981982
adult,age,65,98,1512,3,1,2,-1,0.01020408163265306,0.01020408163265306,34.5,41.87931034482759,54,8676,0.006224066390041493
adult,age,66,100,1391,4,1,2,-1,0.01,0.01,32.0,40.729166666666664,65,8844,0.007349615558570783
adult,age,67,102,1524,4,1,4,-1,0.00980392156862745,0.00980392156862745,29.5,37.55555555555556,71,9136,0.007771453590192644
adult,age,68,98,1551,3,1,3,-1,0.01020408163265306,0.01020408163265306,35.0,40.56363636363636,67,8724,0.007679963319578175
adult,age,69,100,1582,3,1,2,-1,0.010000000000000002,0.01,37.0,42.64150943396226,60,8826,0.006798096532970768
adult,age,70,100,1422,4,1,5,-1,0.010000000000000002,0.01,34.5,40.43478260869565,54,8452,0.006389020350212968
adult,age,71,100,1542,4,1,2,-1,0.01,0.01,33.5,40.964285714285715,49,8946,0.005477308294209703
adult,age,72,102,1473,4,1,2,-1,0.009803921568627453,0.009803921568627453,31.5,39.24074074074074,60,8568,0.0070028011204481795
adult,age,73,99,1474,3,1,1,-1,0.010101010101010102,0.010101010101010102,35.0,42.25,60,8482,0.007073803348266918
adult,age,74,100,1414,3,1,2,-1,0.01,0.009999999999999998,34.5,40.30769230769231,61,8644,0.007056918093475243
adult,age,75,99,1382,3,1,3,-1,0.010101010101010102,0.010101010101010102,32.0,38.301886792452834,63,8612,0.007315373896888063
adult,age,76,102,1482,3,1,3,-1,0.00980392156862745,0.009803921568627453,34.0,39.89795918367347,67,8888,0.007538253825382538
adult,age,77,95,1430,3,1,3,-1,0.010526315789473682,0.010526315789473686,38.0,41.886792452830186,50,8890,0.00562429696287964
adult,age,78,101,1468,4,1,3,-1,0.009900990099009903,0.0099009900990099,34.5,39.46153846153846,51,8624,0.005913729128014842
