dataset_name,feature_name,tree_id,nodes,edges,diameter,weak_components,strong_components,node_connectivity,mean_hub_score,mean_auth_score,median_degree,mean_degree,depth,total_length_of_branches,branching_ratio
auctionverification,process.b1.capacity,0,8,33,2,1,1,-1,0.125,0.125,8.0,7.6,11,120,0.09166666666666666
auctionverification,process.b1.capacity,1,8,43,2,1,1,-1,0.125,0.125,10.0,9.8,11,146,0.07534246575342465
auctionverification,process.b1.capacity,2,8,49,2,1,1,-1,0.12500000000000003,0.125,12.5,12.0,14,254,0.05511811023622047
auctionverification,process.b1.capacity,3,7,32,2,1,1,-1,0.14285714285714285,0.14285714285714285,10.0,10.0,10,118,0.0847457627118644
auctionverification,process.b1.capacity,4,8,32,2,1,1,-1,0.12499999999999997,0.12499999999999997,8.0,7.571428571428571,11,124,0.08870967741935484
auctionverification,process.b1.capacity,5,8,26,2,1,1,-1,0.125,0.12500000000000003,6.0,6.8,9,74,0.12162162162162163
auctionverification,process.b1.capacity,6,8,35,2,1,1,-1,0.12499999999999999,0.125,8.0,8.333333333333334,10,104,0.09615384615384616
auctionverification,process.b1.capacity,7,8,42,2,1,1,-1,0.12499999999999997,0.125,10.0,10.571428571428571,11,190,0.05789473684210526
auctionverification,process.b1.capacity,8,8,42,2,1,1,-1,0.125,0.125,10.0,10.2,13,146,0.08904109589041095
auctionverification,process.b1.capacity,9,8,43,2,1,1,-1,0.12499999999999999,0.125,9.0,10.2,14,166,0.08433734939759036
auctionverification,process.b1.capacity,10,8,47,2,1,1,-1,0.12500000000000003,0.125,11.0,11.4,15,214,0.07009345794392523
auctionverification,process.b1.capacity,11,8,47,2,1,1,-1,0.125,0.125,12.0,11.6,12,188,0.06382978723404255
auctionverification,process.b1.capacity,12,8,39,2,1,1,-1,0.12499999999999999,0.125,9.0,9.142857142857142,11,130,0.08461538461538462
auctionverification,process.b1.capacity,13,8,49,2,1,1,-1,0.125,0.125,11.5,11.666666666666666,12,182,0.06593406593406594
auctionverification,process.b1.capacity,14,8,41,2,1,1,-1,0.125,0.12499999999999999,10.5,10.833333333333334,14,146,0.0958904109589041
auctionverification,process.b1.capacity,15,8,45,2,1,1,-1,0.125,0.125,13.0,12.2,15,156,0.09615384615384616
auctionverification,process.b1.capacity,16,8,34,2,1,1,-1,0.125,0.125,8.0,8.714285714285714,14,122,0.11475409836065574
auctionverification,process.b1.capacity,17,8,38,2,1,1,-1,0.125,0.125,9.0,9.571428571428571,13,168,0.07738095238095238
auctionverification,process.b1.capacity,18,8,40,2,1,1,-1,0.125,0.12499999999999999,10.5,10.833333333333334,15,164,0.09146341463414634
auctionverification,process.b1.capacity,19,8,37,2,1,1,-1,0.125,0.125,9.5,8.833333333333334,12,122,0.09836065573770492
auctionverification,process.b1.capacity,20,8,38,2,1,2,-1,0.125,0.125,10.5,9.333333333333334,14,196,0.07142857142857142
auctionverification,process.b1.capacity,21,8,38,2,1,1,-1,0.125,0.125,9.5,9.0,13,146,0.08904109589041095
auctionverification,process.b1.capacity,22,8,31,2,1,2,-1,0.125,0.125,8.0,7.714285714285714,11,114,0.09649122807017543
auctionverification,process.b1.capacity,23,8,44,2,1,1,-1,0.125,0.125,11.5,10.5,12,176,0.06818181818181818
auctionverification,process.b1.capacity,24,8,46,2,1,1,-1,0.12500000000000003,0.125,11.5,10.833333333333334,12,180,0.06666666666666667
auctionverification,process.b1.capacity,25,8,38,2,1,2,-1,0.12499999999999999,0.125,9.0,9.142857142857142,13,174,0.07471264367816093
auctionverification,process.b1.capacity,26,8,42,2,1,1,-1,0.125,0.125,10.0,9.833333333333334,14,226,0.061946902654867256
auctionverification,process.b1.capacity,27,8,33,2,1,1,-1,0.125,0.125,8.0,8.4,10,126,0.07936507936507936
auctionverification,process.b1.capacity,28,8,39,2,1,1,-1,0.125,0.125,10.0,9.833333333333334,13,166,0.0783132530120482
auctionverification,process.b1.capacity,29,8,43,2,1,1,-1,0.12499999999999997,0.125,11.0,10.8,14,180,0.07777777777777778
auctionverification,process.b1.capacity,30,8,43,2,1,1,-1,0.125,0.125,10.0,10.4,12,212,0.05660377358490566
auctionverification,process.b1.capacity,31,8,35,2,1,1,-1,0.12499999999999999,0.12499999999999999,8.5,8.75,13,132,0.09848484848484848
auctionverification,process.b1.capacity,32,8,41,2,1,1,-1,0.125,0.12499999999999997,10.0,10.0,14,144,0.09722222222222222
auctionverification,process.b1.capacity,33,8,33,2,1,1,-1,0.125,0.125,8.0,7.571428571428571,12,146,0.0821917808219178
auctionverification,process.b1.capacity,34,8,42,2,1,1,-1,0.125,0.125,10.5,10.5,13,162,0.08024691358024691
auctionverification,process.b1.capacity,35,8,28,2,1,1,-1,0.125,0.125,6.5,6.666666666666667,17,122,0.13934426229508196
auctionverification,process.b1.capacity,36,8,46,2,1,1,-1,0.12499999999999999,0.12499999999999999,12.0,12.0,11,204,0.05392156862745098
auctionverification,process.b1.capacity,37,8,33,2,1,1,-1,0.12499999999999999,0.12500000000000003,7.5,8.25,11,112,0.09821428571428571
auctionverification,process.b1.capacity,38,8,32,2,1,1,-1,0.125,0.125,9.0,8.571428571428571,9,116,0.07758620689655173
auctionverification,process.b1.capacity,39,8,36,2,1,2,-1,0.12499999999999999,0.125,10.0,8.428571428571429,12,140,0.08571428571428572
auctionverification,process.b1.capacity,40,8,51,1,1,1,-1,0.125,0.125,13.0,12.8,11,244,0.045081967213114756
auctionverification,process.b1.capacity,41,8,38,2,1,1,-1,0.12499999999999997,0.125,10.0,9.5,13,166,0.0783132530120482
auctionverification,process.b1.capacity,42,8,45,2,1,1,-1,0.12499999999999999,0.125,11.5,11.5,11,210,0.05238095238095238
auctionverification,process.b1.capacity,43,8,39,2,1,1,-1,0.12500000000000003,0.12499999999999999,10.0,9.857142857142858,13,148,0.08783783783783784
auctionverification,process.b1.capacity,44,8,38,2,1,1,-1,0.125,0.125,9.0,9.2,13,186,0.06989247311827956
auctionverification,process.b1.capacity,45,8,40,2,1,1,-1,0.12499999999999997,0.125,10.0,9.4,12,150,0.08
auctionverification,process.b1.capacity,46,8,41,2,1,1,-1,0.125,0.125,9.5,9.5,12,154,0.07792207792207792
auctionverification,process.b1.capacity,47,8,36,2,1,1,-1,0.125,0.125,8.5,8.333333333333334,13,144,0.09027777777777778
auctionverification,process.b1.capacity,48,8,31,2,1,1,-1,0.125,0.125,7.0,8.142857142857142,12,104,0.11538461538461539
auctionverification,process.b1.capacity,49,8,35,2,1,1,-1,0.125,0.12499999999999999,8.5,8.75,12,132,0.09090909090909091
auctionverification,process.b1.capacity,50,8,43,2,1,1,-1,0.125,0.12499999999999999,11.5,10.833333333333334,13,158,0.08227848101265822
auctionverification,process.b1.capacity,51,8,39,2,1,1,-1,0.125,0.12499999999999997,11.0,10.285714285714286,11,180,0.06111111111111111
auctionverification,process.b1.capacity,52,8,38,2,1,1,-1,0.125,0.125,10.0,9.142857142857142,13,164,0.07926829268292683
auctionverification,process.b1.capacity,53,8,41,2,1,1,-1,0.125,0.12500000000000003,11.0,10.8,12,152,0.07894736842105263
auctionverification,process.b1.capacity,54,8,48,2,1,1,-1,0.125,0.125,12.0,11.6,13,174,0.07471264367816093
