dataset_name,feature_name,tree_id,nodes,edges,diameter,weak_components,strong_components,node_connectivity,mean_hub_score,mean_auth_score,median_degree,mean_degree,depth,total_length_of_branches,branching_ratio
avila,intercolumnar_distance,0,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,27,2512,0.010748407643312101
avila,intercolumnar_distance,1,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,28,2634,0.010630220197418374
avila,intercolumnar_distance,2,10,99,1,1,1,-1,0.1,0.1,19.5,19.5,28,2054,0.013631937682570594
avila,intercolumnar_distance,3,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,24,2254,0.01064773735581189
avila,intercolumnar_distance,4,10,98,1,1,1,-1,0.1,0.1,19.5,19.5,25,2376,0.010521885521885523
avila,intercolumnar_distance,5,10,99,1,1,1,-1,0.1,0.1,19.0,19.0,28,2174,0.012879484820607176
avila,intercolumnar_distance,6,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,26,2286,0.011373578302712161
avila,intercolumnar_distance,7,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,29,2592,0.011188271604938271
avila,intercolumnar_distance,8,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,27,2868,0.009414225941422594
avila,intercolumnar_distance,9,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,26,2454,0.010594947025264874
avila,intercolumnar_distance,10,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,25,2476,0.010096930533117932
avila,intercolumnar_distance,11,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,26,2374,0.010951979780960405
avila,intercolumnar_distance,12,10,98,2,1,1,-1,0.1,0.1,19.0,19.0,22,1662,0.013237063778580024
avila,intercolumnar_distance,13,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,26,2746,0.009468317552804079
avila,intercolumnar_distance,14,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,25,2036,0.012278978388998035
avila,intercolumnar_distance,15,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,24,2830,0.008480565371024734
avila,intercolumnar_distance,16,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,27,2382,0.011335012594458438
avila,intercolumnar_distance,17,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,27,2816,0.009588068181818182
avila,intercolumnar_distance,18,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,25,2450,0.01020408163265306
avila,intercolumnar_distance,19,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,28,2740,0.010218978102189781
avila,intercolumnar_distance,20,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,26,2740,0.00948905109489051
avila,intercolumnar_distance,21,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,28,2266,0.01235657546337158
avila,intercolumnar_distance,22,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,33,2576,0.01281055900621118
avila,intercolumnar_distance,23,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,25,2854,0.008759635599159075
avila,intercolumnar_distance,24,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,30,2372,0.012647554806070826
avila,intercolumnar_distance,25,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,24,2794,0.008589835361488905
avila,intercolumnar_distance,26,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,24,2156,0.011131725417439703
avila,intercolumnar_distance,27,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,25,2002,0.012487512487512488
avila,intercolumnar_distance,28,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,31,3008,0.010305851063829786
avila,intercolumnar_distance,29,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,25,2414,0.010356255178127589
avila,intercolumnar_distance,30,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,23,2788,0.00824964131994261
avila,intercolumnar_distance,31,10,99,1,1,1,-1,0.1,0.1,19.5,19.5,30,2478,0.012106537530266344
avila,intercolumnar_distance,32,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,26,2228,0.011669658886894075
avila,intercolumnar_distance,33,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,28,2244,0.012477718360071301
avila,intercolumnar_distance,34,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,25,2330,0.01072961373390558
avila,intercolumnar_distance,35,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,27,2068,0.013056092843326886
avila,intercolumnar_distance,36,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,28,2778,0.010079193664506839
avila,intercolumnar_distance,37,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,31,2498,0.012409927942353884
avila,intercolumnar_distance,38,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,25,2518,0.009928514694201748
avila,intercolumnar_distance,39,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,26,2702,0.009622501850481125
avila,intercolumnar_distance,40,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,26,2424,0.010726072607260726
avila,intercolumnar_distance,41,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,27,2308,0.01169844020797227
avila,intercolumnar_distance,42,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,28,1736,0.016129032258064516
avila,intercolumnar_distance,43,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,27,2580,0.010465116279069767
avila,intercolumnar_distance,44,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,28,2428,0.011532125205930808
avila,intercolumnar_distance,45,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,26,2900,0.00896551724137931
avila,intercolumnar_distance,46,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,26,1992,0.013052208835341365
avila,intercolumnar_distance,47,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,24,2958,0.008113590263691683
avila,intercolumnar_distance,48,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,27,2166,0.012465373961218837
avila,intercolumnar_distance,49,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,27,2606,0.010360706062931695
avila,intercolumnar_distance,50,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,25,2280,0.010964912280701754
avila,intercolumnar_distance,51,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,26,2540,0.010236220472440945
avila,intercolumnar_distance,52,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,28,2800,0.01
avila,intercolumnar_distance,53,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,28,2714,0.010316875460574797
avila,intercolumnar_distance,54,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,23,2198,0.010464058234758872
avila,intercolumnar_distance,55,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,24,1952,0.012295081967213115
avila,intercolumnar_distance,56,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,25,2380,0.01050420168067227
avila,intercolumnar_distance,57,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,29,3000,0.009666666666666667
avila,intercolumnar_distance,58,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,23,2166,0.01061865189289012
avila,intercolumnar_distance,59,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,24,1998,0.012012012012012012
avila,intercolumnar_distance,60,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,27,2664,0.010135135135135136
avila,intercolumnar_distance,61,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,29,2392,0.012123745819397994
avila,intercolumnar_distance,62,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,23,2360,0.009745762711864408
avila,intercolumnar_distance,63,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,27,2486,0.01086082059533387
avila,intercolumnar_distance,64,10,99,1,1,1,-1,0.1,0.1,19.5,19.5,28,2080,0.013461538461538462
avila,intercolumnar_distance,65,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,27,2392,0.0112876254180602
avila,intercolumnar_distance,66,10,99,1,1,1,-1,0.1,0.1,19.5,19.5,28,1926,0.014537902388369679
avila,intercolumnar_distance,67,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,26,2126,0.012229539040451553
avila,intercolumnar_distance,68,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,28,2286,0.012248468941382326
avila,intercolumnar_distance,69,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,21,2164,0.009704251386321626
avila,intercolumnar_distance,70,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,25,1978,0.012639029322548028
avila,intercolumnar_distance,71,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,29,2002,0.014485514485514486
avila,intercolumnar_distance,72,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,31,2710,0.011439114391143911
avila,intercolumnar_distance,73,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,27,2818,0.00958126330731015
avila,intercolumnar_distance,74,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,28,2636,0.010622154779969651
avila,intercolumnar_distance,75,10,99,1,1,1,-1,0.1,0.1,19.5,19.5,22,1954,0.011258955987717503
avila,intercolumnar_distance,76,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,24,2488,0.00964630225080386
avila,intercolumnar_distance,77,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,28,2330,0.01201716738197425
avila,intercolumnar_distance,78,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,29,2372,0.012225969645868466
avila,intercolumnar_distance,79,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,28,2422,0.011560693641618497
avila,intercolumnar_distance,80,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,23,1940,0.011855670103092783
avila,intercolumnar_distance,81,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,28,2836,0.009873060648801129
avila,intercolumnar_distance,82,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,23,2320,0.009913793103448277
avila,intercolumnar_distance,83,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,28,2302,0.01216333622936577
avila,intercolumnar_distance,84,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,23,2146,0.010717614165890028
avila,intercolumnar_distance,85,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,27,2416,0.011175496688741722
avila,intercolumnar_distance,86,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,27,2408,0.011212624584717609
avila,intercolumnar_distance,87,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,27,2656,0.01016566265060241
avila,intercolumnar_distance,88,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,24,2124,0.011299435028248588
avila,intercolumnar_distance,89,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,26,1938,0.013415892672858616
avila,intercolumnar_distance,90,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,27,2272,0.011883802816901408
avila,intercolumnar_distance,91,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,28,2346,0.011935208866155157
avila,intercolumnar_distance,92,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,26,2790,0.00931899641577061
avila,intercolumnar_distance,93,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,30,2230,0.013452914798206279
avila,intercolumnar_distance,94,10,99,1,1,1,-1,0.1,0.1,19.5,19.5,21,2230,0.009417040358744395
avila,intercolumnar_distance,95,10,99,1,1,1,-1,0.1,0.1,19.5,19.5,24,1870,0.012834224598930482
avila,intercolumnar_distance,96,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,31,2862,0.010831586303284416
avila,intercolumnar_distance,97,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,24,2528,0.00949367088607595
avila,intercolumnar_distance,98,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,25,2542,0.00983477576711251
avila,intercolumnar_distance,99,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,27,2786,0.009691313711414214
avila,intercolumnar_distance,100,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,25,2544,0.009827044025157232
avila,intercolumnar_distance,101,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,26,1966,0.013224821973550356
avila,intercolumnar_distance,102,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,25,2512,0.009952229299363057
avila,intercolumnar_distance,103,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,32,2218,0.014427412082957619
avila,intercolumnar_distance,104,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,28,2588,0.010819165378670788
avila,intercolumnar_distance,105,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,30,2364,0.012690355329949238
avila,intercolumnar_distance,106,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,26,2254,0.011535048802129548
avila,intercolumnar_distance,107,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,29,2630,0.011026615969581748
avila,intercolumnar_distance,108,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,25,2114,0.011825922421948912
avila,intercolumnar_distance,109,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,28,2406,0.011637572734829594
avila,intercolumnar_distance,110,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,29,2318,0.012510785159620362
avila,intercolumnar_distance,111,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,28,2384,0.01174496644295302
avila,intercolumnar_distance,112,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,23,2244,0.010249554367201427
avila,intercolumnar_distance,113,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,25,2824,0.008852691218130312
avila,intercolumnar_distance,114,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,26,2204,0.011796733212341199
avila,intercolumnar_distance,115,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,26,2062,0.012609117361784675
avila,intercolumnar_distance,116,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,26,2666,0.009752438109527382
avila,intercolumnar_distance,117,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,27,2362,0.01143099068585944
avila,intercolumnar_distance,118,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,30,2452,0.012234910277324634
avila,intercolumnar_distance,119,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,26,2896,0.008977900552486187
avila,intercolumnar_distance,120,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,27,1568,0.01721938775510204
avila,intercolumnar_distance,121,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,26,2552,0.01018808777429467
avila,intercolumnar_distance,122,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,26,2446,0.01062959934587081
avila,intercolumnar_distance,123,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,26,2514,0.010342084327764518
avila,intercolumnar_distance,124,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,29,2420,0.011983471074380166
avila,intercolumnar_distance,125,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,26,2452,0.010603588907014683
avila,intercolumnar_distance,126,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,29,2514,0.011535401750198886
avila,intercolumnar_distance,127,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,25,2876,0.008692628650904033
avila,intercolumnar_distance,128,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,27,2782,0.009705248023005032
avila,intercolumnar_distance,129,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,25,2224,0.011241007194244604
avila,intercolumnar_distance,130,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,24,2192,0.010948905109489052
avila,intercolumnar_distance,131,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,31,2586,0.011987625676720804
avila,intercolumnar_distance,132,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,24,2266,0.01059135039717564
avila,intercolumnar_distance,133,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,30,2932,0.010231923601637109
avila,intercolumnar_distance,134,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,29,2282,0.012708150744960562
avila,intercolumnar_distance,135,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,25,2530,0.009881422924901186
avila,intercolumnar_distance,136,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,34,2496,0.013621794871794872
avila,intercolumnar_distance,137,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,25,2620,0.009541984732824428
avila,intercolumnar_distance,138,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,27,2446,0.011038430089942763
avila,intercolumnar_distance,139,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,27,2238,0.012064343163538873
avila,intercolumnar_distance,140,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,30,2880,0.010416666666666666
avila,intercolumnar_distance,141,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,26,2244,0.011586452762923352
avila,intercolumnar_distance,142,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,25,1854,0.01348435814455232
avila,intercolumnar_distance,143,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,27,2368,0.011402027027027027
avila,intercolumnar_distance,144,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,26,2360,0.011016949152542373
avila,intercolumnar_distance,145,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,26,2062,0.012609117361784675
avila,intercolumnar_distance,146,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,26,1898,0.0136986301369863
