dataset_name,feature_name,tree_id,nodes,edges,diameter,weak_components,strong_components,node_connectivity,mean_hub_score,mean_auth_score,median_degree,mean_degree,depth,total_length_of_branches,branching_ratio
bankmarketing,age,0,61,1374,3,1,1,-1,0.01639344262295082,0.01639344262295082,45.0,45.51162790697674,34,6802,0.004998529844163481
bankmarketing,age,1,61,1367,3,1,1,-1,0.01639344262295082,0.016393442622950817,43.5,43.7,34,6254,0.005436520626798848
bankmarketing,age,2,62,1336,3,1,2,-1,0.016129032258064516,0.01612903225806451,43.0,43.73809523809524,33,6288,0.005248091603053435
bankmarketing,age,3,61,1399,3,1,1,-1,0.01639344262295082,0.01639344262295082,44.0,45.46511627906977,33,6644,0.004966887417218543
bankmarketing,age,4,62,1428,3,1,2,-1,0.016129032258064516,0.016129032258064516,45.0,46.325581395348834,40,6558,0.006099420555047271
bankmarketing,age,5,60,1378,3,1,1,-1,0.016666666666666666,0.016666666666666666,45.0,47.8780487804878,36,6004,0.005996002664890073
bankmarketing,age,6,62,1335,3,1,1,-1,0.016129032258064516,0.016129032258064516,42.0,43.78048780487805,31,6064,0.005112137203166227
bankmarketing,age,7,61,1356,4,1,2,-1,0.01639344262295082,0.016393442622950824,46.0,45.022222222222226,33,6878,0.00479790636813027
bankmarketing,age,8,60,1287,3,1,2,-1,0.01666666666666666,0.01666666666666667,40.5,43.54347826086956,33,5738,0.0057511327988846285
bankmarketing,age,9,61,1356,3,1,1,-1,0.016393442622950817,0.01639344262295082,46.0,48.266666666666666,31,6384,0.004855889724310777
bankmarketing,age,10,60,1357,3,1,2,-1,0.016666666666666666,0.016666666666666666,44.0,43.16279069767442,32,6544,0.004889975550122249
bankmarketing,age,11,62,1387,3,1,1,-1,0.016129032258064516,0.016129032258064516,48.0,46.285714285714285,34,6354,0.0053509600251809885
bankmarketing,age,12,62,1440,3,1,1,-1,0.016129032258064516,0.016129032258064516,42.0,46.255319148936174,39,7270,0.005364511691884457
bankmarketing,age,13,62,1383,3,1,2,-1,0.016129032258064516,0.016129032258064516,46.0,45.76744186046512,36,6300,0.005714285714285714
bankmarketing,age,14,61,1326,3,1,1,-1,0.01639344262295082,0.016393442622950817,43.5,45.07142857142857,30,5608,0.005349500713266762
bankmarketing,age,15,62,1369,3,1,3,-1,0.016129032258064516,0.01612903225806452,41.5,44.583333333333336,31,6088,0.005091984231274638
