dataset_name,feature_name,tree_id,nodes,edges,diameter,weak_components,strong_components,node_connectivity,mean_hub_score,mean_auth_score,median_degree,mean_degree,depth,total_length_of_branches,branching_ratio
biodegradation,V1,0,29,89,4,1,3,-1,0.034482758620689655,0.03448275862068964,7.0,7.545454545454546,13,182,0.07142857142857142
biodegradation,V1,1,33,91,5,1,3,-1,0.030303030303030304,0.0303030303030303,6.0,6.363636363636363,14,192,0.07291666666666667
biodegradation,V1,2,29,84,4,1,3,-1,0.034482758620689655,0.03448275862068966,7.0,7.090909090909091,13,178,0.07303370786516854
biodegradation,V1,3,28,67,5,1,7,-1,0.03571428571428571,0.03571428571428571,6.5,6.5,13,146,0.08904109589041095
biodegradation,V1,4,29,70,4,1,6,-1,0.034482758620689655,0.03448275862068965,6.0,6.545454545454546,15,154,0.09740259740259741
biodegradation,V1,5,31,82,4,1,5,-1,0.03225806451612904,0.03225806451612903,6.0,7.090909090909091,11,180,0.06111111111111111
biodegradation,V1,6,27,92,3,1,1,-1,0.037037037037037035,0.03703703703703703,6.5,6.9,13,202,0.06435643564356436
biodegradation,V1,7,30,83,4,1,4,-1,0.03333333333333333,0.03333333333333333,6.0,6.636363636363637,14,176,0.07954545454545454
biodegradation,V1,8,27,81,4,1,2,-1,0.03703703703703703,0.037037037037037035,7.5,7.583333333333333,13,170,0.07647058823529412
biodegradation,V1,9,30,78,4,1,3,-1,0.033333333333333326,0.03333333333333334,6.0,6.545454545454546,11,170,0.06470588235294118
biodegradation,V1,10,29,79,4,1,2,-1,0.034482758620689655,0.034482758620689655,5.5,6.5,14,170,0.08235294117647059
biodegradation,V1,11,29,84,4,1,6,-1,0.034482758620689655,0.03448275862068965,6.5,6.666666666666667,14,186,0.07526881720430108
biodegradation,V1,12,26,80,4,1,2,-1,0.038461538461538464,0.03846153846153844,7.0,7.384615384615385,12,168,0.07142857142857142
biodegradation,V1,13,26,74,4,1,3,-1,0.03846153846153846,0.03846153846153845,7.0,6.818181818181818,17,156,0.10897435897435898
biodegradation,V1,14,32,96,4,1,2,-1,0.03125,0.03125,6.0,6.090909090909091,14,204,0.06862745098039216
biodegradation,V1,15,31,83,4,1,6,-1,0.03225806451612903,0.032258064516129024,6.5,6.833333333333333,14,178,0.07865168539325842
biodegradation,V1,16,27,70,5,1,3,-1,0.037037037037037035,0.037037037037037035,7.5,7.1,13,152,0.08552631578947369
biodegradation,V1,17,29,79,4,1,6,-1,0.034482758620689655,0.03448275862068965,6.0,6.363636363636363,11,176,0.0625
biodegradation,V1,18,29,87,4,1,2,-1,0.03448275862068966,0.034482758620689655,6.5,6.5,13,186,0.06989247311827956
biodegradation,V1,19,31,90,5,1,5,-1,0.03225806451612903,0.03225806451612903,7.0,7.076923076923077,16,194,0.08247422680412371
biodegradation,V1,20,31,92,4,1,3,-1,0.03225806451612903,0.03225806451612903,7.5,7.25,15,188,0.0797872340425532
biodegradation,V1,21,30,90,6,1,7,-1,0.03333333333333333,0.03333333333333334,6.5,7.583333333333333,15,192,0.078125
biodegradation,V1,22,31,85,5,1,8,-1,0.032258064516129024,0.03225806451612903,6.0,6.454545454545454,12,184,0.06521739130434782
biodegradation,V1,23,27,79,4,1,2,-1,0.037037037037037035,0.037037037037037035,5.5,6.0,13,166,0.0783132530120482
biodegradation,V1,24,27,87,4,1,2,-1,0.037037037037037035,0.03703703703703704,6.5,7.583333333333333,14,188,0.07446808510638298
