dataset_name,feature_name,tree_id,nodes,edges,diameter,weak_components,strong_components,node_connectivity,mean_hub_score,mean_auth_score,median_degree,mean_degree,depth,total_length_of_branches,branching_ratio
defaultofcreditcardclient,LIMIT_BAL,0,23,476,2,1,1,-1,0.043478260869565216,0.04347826086956521,39.0,39.09090909090909,42,6468,0.006493506493506494
defaultofcreditcardclient,LIMIT_BAL,1,23,485,2,1,1,-1,0.043478260869565216,0.043478260869565216,40.0,39.1,49,6604,0.007419745608721987
defaultofcreditcardclient,LIMIT_BAL,2,23,470,2,1,1,-1,0.04347826086956521,0.04347826086956523,40.0,38.36363636363637,39,6606,0.005903723887375113
defaultofcreditcardclient,LIMIT_BAL,3,23,478,2,1,1,-1,0.04347826086956523,0.043478260869565216,39.5,38.9,42,6440,0.006521739130434782
defaultofcreditcardclient,LIMIT_BAL,4,23,487,2,1,1,-1,0.04347826086956523,0.04347826086956523,40.0,39.55555555555556,39,6470,0.006027820710973725
defaultofcreditcardclient,LIMIT_BAL,5,23,459,2,1,1,-1,0.04347826086956523,0.04347826086956523,38.0,37.54545454545455,42,6308,0.006658211794546607
defaultofcreditcardclient,LIMIT_BAL,6,23,479,2,1,1,-1,0.04347826086956523,0.043478260869565216,41.0,39.45454545454545,36,6438,0.005591798695246971
defaultofcreditcardclient,LIMIT_BAL,7,23,483,2,1,1,-1,0.04347826086956524,0.043478260869565216,39.0,39.55555555555556,46,6404,0.007183010618363523
defaultofcreditcardclient,LIMIT_BAL,8,23,482,2,1,1,-1,0.043478260869565216,0.04347826086956521,39.0,39.27272727272727,45,6630,0.006787330316742082
defaultofcreditcardclient,LIMIT_BAL,9,23,481,2,1,1,-1,0.04347826086956523,0.04347826086956521,41.0,39.666666666666664,39,6614,0.005896583005745389
defaultofcreditcardclient,LIMIT_BAL,10,23,479,2,1,1,-1,0.04347826086956521,0.04347826086956523,39.5,39.166666666666664,59,6510,0.009062980030721967
defaultofcreditcardclient,LIMIT_BAL,11,23,484,2,1,1,-1,0.04347826086956521,0.04347826086956521,38.5,38.8,41,6718,0.006103006847275975
defaultofcreditcardclient,LIMIT_BAL,12,23,475,2,1,1,-1,0.043478260869565216,0.04347826086956523,37.0,38.111111111111114,47,6666,0.007050705070507051
defaultofcreditcardclient,LIMIT_BAL,13,23,479,2,1,1,-1,0.043478260869565216,0.043478260869565216,39.5,39.5,41,6516,0.006292203806015961
defaultofcreditcardclient,LIMIT_BAL,14,23,479,2,1,1,-1,0.04347826086956523,0.043478260869565216,40.0,39.09090909090909,41,6624,0.006189613526570048
defaultofcreditcardclient,LIMIT_BAL,15,23,480,2,1,1,-1,0.04347826086956521,0.04347826086956521,40.5,40.1,38,6406,0.005931938807368093
defaultofcreditcardclient,LIMIT_BAL,16,23,479,2,1,1,-1,0.043478260869565216,0.043478260869565216,42.0,40.75,39,6554,0.00595056454073848
defaultofcreditcardclient,LIMIT_BAL,17,23,479,2,1,1,-1,0.04347826086956521,0.04347826086956523,39.5,39.2,45,6604,0.006814052089642641
defaultofcreditcardclient,LIMIT_BAL,18,23,479,2,1,1,-1,0.04347826086956523,0.04347826086956521,39.5,38.5,46,6462,0.007118539151965335
defaultofcreditcardclient,LIMIT_BAL,19,23,485,2,1,1,-1,0.04347826086956523,0.04347826086956524,39.0,39.72727272727273,40,6468,0.006184291898577613
defaultofcreditcardclient,LIMIT_BAL,20,23,473,2,1,1,-1,0.04347826086956521,0.043478260869565216,39.5,38.416666666666664,49,6512,0.007524570024570024
defaultofcreditcardclient,LIMIT_BAL,21,23,480,2,1,1,-1,0.043478260869565216,0.04347826086956521,40.5,39.8,46,6290,0.007313195548489666
defaultofcreditcardclient,LIMIT_BAL,22,23,477,2,1,1,-1,0.04347826086956521,0.04347826086956521,38.5,38.333333333333336,40,6486,0.006167129201356768
defaultofcreditcardclient,LIMIT_BAL,23,23,476,2,1,1,-1,0.04347826086956523,0.043478260869565216,38.0,38.72727272727273,51,6514,0.007829290758366594
defaultofcreditcardclient,LIMIT_BAL,24,23,476,2,1,1,-1,0.04347826086956521,0.04347826086956521,39.5,39.5,45,6520,0.006901840490797546
defaultofcreditcardclient,LIMIT_BAL,25,23,473,2,1,1,-1,0.04347826086956521,0.04347826086956521,40.0,39.1,37,6472,0.005716934487021014
defaultofcreditcardclient,LIMIT_BAL,26,23,482,2,1,1,-1,0.043478260869565216,0.04347826086956521,40.5,39.75,39,6590,0.005918057663125948
defaultofcreditcardclient,LIMIT_BAL,27,23,478,2,1,1,-1,0.04347826086956523,0.043478260869565216,41.0,39.7,45,6628,0.0067893783946891976
defaultofcreditcardclient,LIMIT_BAL,28,23,480,2,1,1,-1,0.043478260869565216,0.04347826086956521,41.0,39.81818181818182,46,6568,0.007003654080389768
defaultofcreditcardclient,LIMIT_BAL,29,23,482,2,1,1,-1,0.04347826086956521,0.043478260869565216,41.0,40.2,43,6498,0.006617420744844568
defaultofcreditcardclient,LIMIT_BAL,30,23,481,2,1,1,-1,0.04347826086956521,0.04347826086956523,42.0,40.333333333333336,42,6472,0.0064894932014833125
defaultofcreditcardclient,LIMIT_BAL,31,23,474,2,1,1,-1,0.043478260869565216,0.04347826086956521,40.5,39.2,40,6518,0.00613685179502915
defaultofcreditcardclient,LIMIT_BAL,32,23,481,2,1,1,-1,0.043478260869565195,0.04347826086956523,41.5,39.6,38,6590,0.005766312594840668
defaultofcreditcardclient,LIMIT_BAL,33,23,467,2,1,1,-1,0.043478260869565216,0.043478260869565216,40.0,37.916666666666664,51,6684,0.00763016157989228
