dataset_name,feature_name,tree_id,nodes,edges,diameter,weak_components,strong_components,node_connectivity,mean_hub_score,mean_auth_score,median_degree,mean_degree,depth,total_length_of_branches,branching_ratio
drybeandataset,Area,0,16,221,2,1,1,-1,0.0625,0.0625,27.5,27.4,23,1108,0.02075812274368231
drybeandataset,Area,1,16,213,2,1,1,-1,0.06249999999999999,0.0625,26.5,26.875,21,1070,0.019626168224299065
drybeandataset,Area,2,16,223,2,1,1,-1,0.0625,0.0625,28.0,28.142857142857142,19,1126,0.016873889875666074
drybeandataset,Area,3,16,222,1,1,1,-1,0.0625,0.0625,28.0,27.666666666666668,20,1104,0.018115942028985508
drybeandataset,Area,4,16,219,2,1,1,-1,0.0625,0.0625,26.5,26.6,20,1092,0.018315018315018316
drybeandataset,Area,5,16,221,2,1,1,-1,0.0625,0.0625,27.5,27.375,25,1150,0.021739130434782608
drybeandataset,Area,6,16,223,2,1,1,-1,0.0625,0.0625,27.5,27.0,22,1142,0.01926444833625219
drybeandataset,Area,7,16,225,2,1,1,-1,0.0625,0.0625,28.5,28.125,22,1188,0.018518518518518517
drybeandataset,Area,8,16,223,1,1,1,-1,0.0625,0.0625,27.0,26.571428571428573,20,1120,0.017857142857142856
drybeandataset,Area,9,16,217,2,1,1,-1,0.06250000000000001,0.06249999999999999,26.5,26.75,21,1136,0.018485915492957746
drybeandataset,Area,10,16,213,2,1,1,-1,0.0625,0.06249999999999999,26.5,26.5,23,1088,0.021139705882352942
drybeandataset,Area,11,16,226,2,1,1,-1,0.0625,0.06249999999999999,28.5,28.5,19,1124,0.016903914590747332
drybeandataset,Area,12,16,226,2,1,1,-1,0.0625,0.0625,28.5,28.166666666666668,21,1140,0.018421052631578946
drybeandataset,Area,13,16,221,2,1,1,-1,0.0625,0.0625,27.5,27.375,24,1106,0.0216998191681736
drybeandataset,Area,14,16,219,2,1,1,-1,0.0625,0.0625,28.0,27.285714285714285,23,1042,0.022072936660268713
drybeandataset,Area,15,16,217,2,1,1,-1,0.0625,0.0625,27.0,27.0,20,1088,0.01838235294117647
drybeandataset,Area,16,16,220,2,1,1,-1,0.06250000000000001,0.0625,28.0,26.714285714285715,22,1092,0.020146520146520148
drybeandataset,Area,17,16,220,2,1,1,-1,0.0625,0.0625,27.5,27.5,20,1110,0.018018018018018018
drybeandataset,Area,18,16,212,2,1,1,-1,0.0625,0.0625,25.5,25.8,21,1108,0.01895306859205776
drybeandataset,Area,19,16,226,2,1,1,-1,0.0625,0.0625,28.0,28.0,22,1072,0.020522388059701493
drybeandataset,Area,20,16,219,2,1,1,-1,0.0625,0.0625,27.0,27.11111111111111,22,1076,0.020446096654275093
drybeandataset,Area,21,16,225,2,1,1,-1,0.0625,0.0625,28.0,27.428571428571427,21,1102,0.019056261343012703
drybeandataset,Area,22,16,213,2,1,1,-1,0.062499999999999986,0.0625,26.0,26.428571428571427,23,1140,0.02017543859649123
drybeandataset,Area,23,16,222,2,1,1,-1,0.0625,0.0625,27.5,27.875,24,1052,0.022813688212927757
