dataset_name,feature_name,tree_id,nodes,edges,diameter,weak_components,strong_components,node_connectivity,mean_hub_score,mean_auth_score,median_degree,mean_degree,depth,total_length_of_branches,branching_ratio
firmteacherclavedirection,V1,0,16,182,3,1,3,-1,0.0625,0.0625,24.0,17.666666666666668,15,5028,0.0029832935560859188
firmteacherclavedirection,V1,1,16,208,2,1,2,-1,0.0625,0.0625,26.0,21.6,16,5024,0.0031847133757961785
firmteacherclavedirection,V1,2,16,206,2,1,2,-1,0.0625,0.06249999999999999,26.0,21.6,16,5014,0.0031910650179497405
firmteacherclavedirection,V1,3,16,209,2,1,2,-1,0.0625,0.0625,26.5,20.75,15,4916,0.0030512611879576893
firmteacherclavedirection,V1,4,16,209,2,1,2,-1,0.06249999999999999,0.06250000000000001,26.5,20.75,15,5096,0.0029434850863422294
firmteacherclavedirection,V1,5,16,203,2,1,2,-1,0.0625,0.062499999999999986,26.0,20.8,16,5018,0.0031885213232363493
firmteacherclavedirection,V1,6,16,205,2,1,2,-1,0.0625,0.0625,25.0,18.333333333333332,16,4960,0.0032258064516129032
firmteacherclavedirection,V1,7,16,186,3,1,3,-1,0.0625,0.06249999999999999,15.0,14.5,16,4962,0.0032245062474808546
firmteacherclavedirection,V1,8,16,205,2,1,2,-1,0.062499999999999986,0.0625,26.0,21.2,16,5026,0.0031834460803820135
firmteacherclavedirection,V1,9,16,207,2,1,2,-1,0.0625,0.0625,26.0,21.4,16,5052,0.003167062549485352
firmteacherclavedirection,V1,10,16,208,2,1,2,-1,0.062499999999999986,0.0625,26.0,21.6,16,4968,0.00322061191626409
firmteacherclavedirection,V1,11,16,185,3,1,3,-1,0.062499999999999986,0.0625,15.0,14.5,16,4920,0.0032520325203252032
firmteacherclavedirection,V1,12,16,187,3,1,3,-1,0.06250000000000001,0.0625,15.5,14.75,16,5080,0.0031496062992125984
firmteacherclavedirection,V1,13,16,205,2,1,2,-1,0.0625,0.0625,26.0,21.6,16,5062,0.0031608060055314103
firmteacherclavedirection,V1,14,16,196,2,1,2,-1,0.062499999999999986,0.0625,25.0,21.428571428571427,15,4862,0.0030851501439736733
firmteacherclavedirection,V1,15,16,207,2,1,2,-1,0.0625,0.0625,26.0,21.6,15,4828,0.0031068765534382767
firmteacherclavedirection,V1,16,16,208,2,1,2,-1,0.0625,0.06249999999999999,26.0,20.5,16,4934,0.0032428050263477908
firmteacherclavedirection,V1,17,16,186,3,1,3,-1,0.06249999999999999,0.06249999999999999,25.0,16.8,15,5000,0.003
firmteacherclavedirection,V1,18,16,209,2,1,2,-1,0.062499999999999986,0.0625,26.5,20.75,15,5102,0.0029400235201881616
