dataset_name,feature_name,tree_id,nodes,edges,diameter,weak_components,strong_components,node_connectivity,mean_hub_score,mean_auth_score,median_degree,mean_degree,depth,total_length_of_branches,branching_ratio
gendergap,C_api,0,22,234,3,1,2,-1,0.04545454545454545,0.045454545454545456,25.0,20.764705882352942,21,1014,0.020710059171597635
gendergap,C_api,1,22,236,2,1,1,-1,0.04545454545454546,0.04545454545454545,24.0,20.11764705882353,21,1074,0.019553072625698324
gendergap,C_api,2,21,221,3,1,1,-1,0.047619047619047616,0.047619047619047616,19.5,19.3125,21,828,0.025362318840579712
gendergap,C_api,3,22,234,3,1,1,-1,0.045454545454545456,0.04545454545454544,19.0,18.933333333333334,22,998,0.022044088176352707
gendergap,C_api,4,22,236,3,1,1,-1,0.04545454545454545,0.04545454545454548,20.0,19.88235294117647,20,866,0.023094688221709007
gendergap,C_api,5,22,270,3,1,1,-1,0.04545454545454546,0.04545454545454546,27.0,23.294117647058822,20,1072,0.018656716417910446
gendergap,C_api,6,22,245,2,1,1,-1,0.04545454545454546,0.045454545454545456,24.0,21.733333333333334,22,1088,0.02022058823529412
gendergap,C_api,7,22,202,3,1,2,-1,0.045454545454545435,0.045454545454545456,19.5,18.1875,23,766,0.030026109660574413
gendergap,C_api,8,22,265,3,1,2,-1,0.045454545454545456,0.04545454545454544,24.5,21.071428571428573,20,1168,0.017123287671232876
gendergap,C_api,9,22,264,2,1,1,-1,0.04545454545454545,0.04545454545454546,25.0,22.266666666666666,24,1130,0.021238938053097345
gendergap,C_api,10,22,217,2,1,1,-1,0.04545454545454545,0.045454545454545456,20.5,18.625,21,794,0.02644836272040302
gendergap,C_api,11,22,240,3,1,1,-1,0.045454545454545456,0.04545454545454544,23.5,20.25,21,938,0.022388059701492536
gendergap,C_api,12,22,226,3,1,1,-1,0.045454545454545456,0.045454545454545456,21.5,21.11111111111111,33,942,0.03503184713375796
gendergap,C_api,13,22,237,2,1,1,-1,0.045454545454545435,0.04545454545454546,23.5,20.214285714285715,21,852,0.02464788732394366
