dataset_name,feature_name,tree_id,nodes,edges,diameter,weak_components,strong_components,node_connectivity,mean_hub_score,mean_auth_score,median_degree,mean_degree,depth,total_length_of_branches,branching_ratio
gesturephase,lhx,0,19,95,3,1,1,-1,0.05263157894736842,0.05263157894736842,10.0,10.545454545454545,19,212,0.08962264150943396
gesturephase,lhx,1,19,90,3,1,1,-1,0.05263157894736842,0.05263157894736842,9.5,9.416666666666666,14,210,0.06666666666666667
gesturephase,lhx,2,19,95,3,1,1,-1,0.05263157894736842,0.05263157894736843,10.0,10.2,21,232,0.09051724137931035
gesturephase,lhx,3,19,96,3,1,1,-1,0.05263157894736842,0.05263157894736842,10.5,10.25,14,230,0.06086956521739131
gesturephase,lhx,4,19,101,3,1,1,-1,0.05263157894736842,0.05263157894736842,11.0,10.454545454545455,18,222,0.08108108108108109
gesturephase,lhx,5,19,95,3,1,1,-1,0.05263157894736842,0.05263157894736842,10.0,10.272727272727273,17,222,0.07657657657657657
gesturephase,lhx,6,19,81,3,1,2,-1,0.05263157894736841,0.05263157894736842,8.0,8.444444444444445,15,186,0.08064516129032258
gesturephase,lhx,7,18,92,2,1,1,-1,0.05555555555555555,0.05555555555555555,11.0,11.222222222222221,21,220,0.09545454545454546
gesturephase,lhx,8,19,91,3,1,1,-1,0.05263157894736842,0.05263157894736842,10.5,10.6,19,212,0.08962264150943396
gesturephase,lhx,9,19,98,2,1,1,-1,0.05263157894736842,0.05263157894736842,11.0,10.555555555555555,18,218,0.08256880733944955
gesturephase,lhx,10,19,102,3,1,1,-1,0.05263157894736843,0.05263157894736842,10.0,10.5,18,240,0.075
gesturephase,lhx,11,18,90,3,1,1,-1,0.05555555555555555,0.05555555555555555,9.5,9.75,19,218,0.0871559633027523
gesturephase,lhx,12,18,83,3,1,2,-1,0.055555555555555566,0.05555555555555555,8.5,8.4,17,192,0.08854166666666667
gesturephase,lhx,13,19,102,3,1,1,-1,0.05263157894736842,0.05263157894736842,9.5,10.2,19,248,0.07661290322580645
gesturephase,lhx,14,19,91,3,1,2,-1,0.05263157894736842,0.05263157894736842,9.0,9.454545454545455,13,232,0.05603448275862069
