dataset_name,feature_name,tree_id,nodes,edges,diameter,weak_components,strong_components,node_connectivity,mean_hub_score,mean_auth_score,median_degree,mean_degree,depth,total_length_of_branches,branching_ratio
hepatisisc,Age ,0,28,225,3,1,2,-1,0.03571428571428571,0.03571428571428572,18.0,16.2,23,618,0.0372168284789644
hepatisisc,Age ,1,28,239,3,1,1,-1,0.03571428571428572,0.03571428571428572,18.0,17.294117647058822,17,636,0.026729559748427674
hepatisisc,Age ,2,28,239,3,1,1,-1,0.03571428571428571,0.03571428571428571,19.0,16.647058823529413,19,646,0.029411764705882353
hepatisisc,Age ,3,28,239,3,1,3,-1,0.03571428571428571,0.03571428571428571,17.5,17.0,19,656,0.028963414634146343
hepatisisc,Age ,4,28,230,3,1,1,-1,0.03571428571428571,0.03571428571428571,18.0,16.823529411764707,21,612,0.03431372549019608
hepatisisc,Age ,5,28,236,3,1,1,-1,0.03571428571428571,0.03571428571428571,17.0,16.470588235294116,22,604,0.03642384105960265
hepatisisc,Age ,6,28,226,3,1,2,-1,0.03571428571428571,0.03571428571428571,18.0,16.894736842105264,22,610,0.036065573770491806
hepatisisc,Age ,7,28,239,3,1,2,-1,0.035714285714285705,0.03571428571428571,18.5,17.85,18,608,0.029605263157894735
hepatisisc,Age ,8,28,231,3,1,1,-1,0.03571428571428571,0.03571428571428572,19.0,17.375,19,598,0.03177257525083612
hepatisisc,Age ,9,28,233,3,1,1,-1,0.03571428571428572,0.03571428571428571,18.5,17.38888888888889,21,622,0.03376205787781351
hepatisisc,Age ,10,28,237,3,1,1,-1,0.03571428571428571,0.03571428571428571,17.0,16.166666666666668,20,590,0.03389830508474576
hepatisisc,Age ,11,28,236,3,1,2,-1,0.03571428571428572,0.03571428571428571,15.0,14.105263157894736,18,644,0.027950310559006212
hepatisisc,Age ,12,26,238,3,1,2,-1,0.038461538461538464,0.038461538461538464,17.5,16.88888888888889,20,624,0.03205128205128205
hepatisisc,Age ,13,28,239,3,1,2,-1,0.03571428571428572,0.03571428571428571,16.0,16.823529411764707,21,614,0.03420195439739414
hepatisisc,Age ,14,27,238,3,1,1,-1,0.03703703703703704,0.03703703703703704,18.0,17.842105263157894,18,604,0.029801324503311258
hepatisisc,Age ,15,28,232,3,1,1,-1,0.03571428571428571,0.03571428571428571,17.0,16.666666666666668,17,600,0.028333333333333332
hepatisisc,Age ,16,28,244,3,1,1,-1,0.03571428571428571,0.03571428571428571,18.0,16.833333333333332,25,620,0.04032258064516129
hepatisisc,Age ,17,28,242,3,1,2,-1,0.03571428571428572,0.03571428571428571,16.0,16.318181818181817,17,608,0.027960526315789474
hepatisisc,Age ,18,28,239,3,1,2,-1,0.03571428571428571,0.03571428571428572,16.5,16.0,18,596,0.030201342281879196
hepatisisc,Age ,19,28,239,3,1,1,-1,0.035714285714285705,0.03571428571428571,16.0,14.529411764705882,21,614,0.03420195439739414
hepatisisc,Age ,20,28,236,3,1,1,-1,0.03571428571428572,0.03571428571428571,17.5,16.11111111111111,23,616,0.037337662337662336
hepatisisc,Age ,21,28,225,3,1,5,-1,0.03571428571428571,0.03571428571428571,17.5,15.38888888888889,23,616,0.037337662337662336
