dataset_name,feature_name,tree_id,nodes,edges,diameter,weak_components,strong_components,node_connectivity,mean_hub_score,mean_auth_score,median_degree,mean_degree,depth,total_length_of_branches,branching_ratio
letterrecognition,x-box,0,16,256,1,1,1,-1,0.0625,0.0625,32.0,32.0,25,3880,0.006443298969072165
letterrecognition,x-box,1,16,256,1,1,1,-1,0.0625,0.0625,32.0,32.0,27,4122,0.006550218340611353
letterrecognition,x-box,2,16,256,1,1,1,-1,0.0625,0.0625,32.0,32.0,26,3952,0.006578947368421052
letterrecognition,x-box,3,16,256,1,1,1,-1,0.0625,0.0625,32.0,32.0,26,4022,0.006464445549477871
letterrecognition,x-box,4,16,256,1,1,1,-1,0.0625,0.0625,32.0,32.0,29,4172,0.006951102588686481
letterrecognition,x-box,5,16,254,1,1,1,-1,0.06249999999999999,0.0625,31.0,31.0,25,4138,0.006041565973900435
letterrecognition,x-box,6,16,254,1,1,1,-1,0.0625,0.0625,31.0,31.0,27,4084,0.006611165523996082
letterrecognition,x-box,7,16,254,1,1,1,-1,0.0625,0.0625,31.0,31.0,31,4084,0.0075905974534769835
letterrecognition,x-box,8,16,254,1,1,1,-1,0.0625,0.0625,31.0,31.0,33,4302,0.007670850767085077
letterrecognition,x-box,9,16,255,1,1,1,-1,0.0625,0.0625,31.0,31.0,26,3912,0.0066462167689161555
letterrecognition,x-box,10,16,256,1,1,1,-1,0.0625,0.0625,32.0,32.0,30,4128,0.007267441860465116
letterrecognition,x-box,11,16,255,1,1,1,-1,0.0625,0.0625,31.0,31.0,27,4030,0.006699751861042184
letterrecognition,x-box,12,16,256,1,1,1,-1,0.0625,0.0625,32.0,32.0,29,3944,0.007352941176470588
letterrecognition,x-box,13,16,255,1,1,1,-1,0.0625,0.0625,31.5,31.5,29,4044,0.0071711177052423344
letterrecognition,x-box,14,16,255,1,1,1,-1,0.0625,0.0625,31.0,31.0,30,4238,0.0070788107597923545
letterrecognition,x-box,15,16,255,1,1,1,-1,0.0625,0.0625,31.5,31.5,28,3860,0.007253886010362694
letterrecognition,x-box,16,16,254,1,1,1,-1,0.0625,0.0625,31.0,31.0,25,4132,0.006050338818973862
letterrecognition,x-box,17,16,256,1,1,1,-1,0.0625,0.0625,32.0,32.0,28,4042,0.006927263730826323
letterrecognition,x-box,18,16,256,1,1,1,-1,0.0625,0.0625,32.0,32.0,29,4032,0.007192460317460317
letterrecognition,x-box,19,16,256,1,1,1,-1,0.0625,0.0625,32.0,32.0,24,4096,0.005859375
letterrecognition,x-box,20,16,254,1,1,1,-1,0.0625,0.0625,31.0,31.0,25,3934,0.006354855109303508
letterrecognition,x-box,21,16,253,1,1,1,-1,0.0625,0.06249999999999999,31.0,31.0,24,3914,0.0061318344404701075
letterrecognition,x-box,22,16,256,1,1,1,-1,0.0625,0.0625,32.0,32.0,28,4088,0.00684931506849315
letterrecognition,x-box,23,16,256,1,1,1,-1,0.0625,0.0625,32.0,32.0,29,3974,0.007297433316557625
letterrecognition,x-box,24,16,254,1,1,1,-1,0.0625,0.0625,31.5,31.5,28,4030,0.006947890818858561
letterrecognition,x-box,25,16,255,1,1,1,-1,0.0625,0.0625,31.5,31.5,27,3768,0.007165605095541401
letterrecognition,x-box,26,16,255,1,1,1,-1,0.0625,0.0625,31.5,31.5,25,3928,0.006364562118126273
letterrecognition,x-box,27,16,255,1,1,1,-1,0.0625,0.0625,31.5,31.5,29,4058,0.007146377525874815
letterrecognition,x-box,28,16,256,1,1,1,-1,0.0625,0.0625,32.0,32.0,26,3994,0.006509764646970456
letterrecognition,x-box,29,16,256,1,1,1,-1,0.0625,0.0625,32.0,32.0,27,4058,0.00665352390340069
letterrecognition,x-box,30,16,254,1,1,1,-1,0.0625,0.0625,31.0,31.0,27,4014,0.006726457399103139
letterrecognition,x-box,31,16,255,1,1,1,-1,0.0625,0.0625,31.5,31.5,30,3966,0.007564296520423601
letterrecognition,x-box,32,16,255,1,1,1,-1,0.0625,0.0625,31.5,31.5,28,3970,0.007052896725440806
letterrecognition,x-box,33,16,256,1,1,1,-1,0.0625,0.0625,32.0,32.0,27,4096,0.006591796875
letterrecognition,x-box,34,16,256,1,1,1,-1,0.0625,0.0625,32.0,32.0,29,3982,0.007282772476142642
letterrecognition,x-box,35,16,256,1,1,1,-1,0.0625,0.0625,32.0,32.0,25,3982,0.006278252134605726
letterrecognition,x-box,36,16,253,1,1,1,-1,0.0625,0.0625,31.0,31.0,30,4024,0.007455268389662028
letterrecognition,x-box,37,16,255,1,1,1,-1,0.0625,0.0625,31.5,31.5,26,3812,0.006820566631689402
letterrecognition,x-box,38,16,254,1,1,1,-1,0.0625,0.0625,31.0,31.0,27,4122,0.006550218340611353
letterrecognition,x-box,39,16,254,1,1,1,-1,0.0625,0.0625,31.0,31.0,32,4196,0.0076263107721639654
letterrecognition,x-box,40,16,256,1,1,1,-1,0.0625,0.0625,32.0,32.0,30,3972,0.0075528700906344415
letterrecognition,x-box,41,16,254,1,1,1,-1,0.06249999999999999,0.06249999999999999,31.0,30.666666666666668,28,4222,0.006631927996210327
letterrecognition,x-box,42,16,256,1,1,1,-1,0.0625,0.0625,32.0,32.0,30,4058,0.007392804337111878
letterrecognition,x-box,43,16,254,1,1,1,-1,0.0625,0.06249999999999999,31.0,30.666666666666668,30,4112,0.007295719844357977
letterrecognition,x-box,44,16,256,1,1,1,-1,0.0625,0.0625,32.0,32.0,29,4068,0.0071288102261553585
letterrecognition,x-box,45,16,253,1,1,1,-1,0.0625,0.0625,31.0,31.0,30,3834,0.00782472613458529
letterrecognition,x-box,46,16,254,1,1,1,-1,0.0625,0.06249999999999999,31.0,30.666666666666668,26,3816,0.006813417190775681
letterrecognition,x-box,47,16,255,1,1,1,-1,0.0625,0.0625,31.5,31.5,28,3990,0.007017543859649123
letterrecognition,x-box,48,16,254,1,1,1,-1,0.0625,0.0625,31.0,31.0,30,4010,0.007481296758104738
letterrecognition,x-box,49,16,253,1,1,1,-1,0.0625,0.0625,30.5,30.5,27,4140,0.006521739130434782
letterrecognition,x-box,50,16,254,1,1,1,-1,0.0625,0.0625,31.5,31.5,27,4208,0.006416349809885932
letterrecognition,x-box,51,16,256,1,1,1,-1,0.0625,0.0625,32.0,32.0,27,3946,0.006842372022301064
letterrecognition,x-box,52,16,256,1,1,1,-1,0.0625,0.0625,32.0,32.0,28,4004,0.006993006993006993
letterrecognition,x-box,53,16,255,1,1,1,-1,0.0625,0.0625,31.5,31.5,28,4310,0.0064965197215777265
letterrecognition,x-box,54,16,255,1,1,1,-1,0.0625,0.0625,31.0,31.0,27,3898,0.006926629040533607
letterrecognition,x-box,55,16,254,1,1,1,-1,0.0625,0.0625,31.0,31.0,30,4036,0.007433102081268583
letterrecognition,x-box,56,16,255,1,1,1,-1,0.0625,0.0625,31.0,31.0,31,3884,0.007981462409886715
letterrecognition,x-box,57,16,255,1,1,1,-1,0.0625,0.0625,31.0,31.0,32,4126,0.007755695588948134
letterrecognition,x-box,58,16,255,1,1,1,-1,0.0625,0.0625,31.5,31.5,28,4062,0.006893156080748399
letterrecognition,x-box,59,16,254,1,1,1,-1,0.0625,0.0625,31.0,31.0,25,3954,0.006322711178553364
letterrecognition,x-box,60,16,255,1,1,1,-1,0.0625,0.0625,31.5,31.5,25,3918,0.006380806533945891
letterrecognition,x-box,61,16,255,1,1,1,-1,0.0625,0.0625,31.0,31.0,25,4134,0.006047411707789066
letterrecognition,x-box,62,16,255,1,1,1,-1,0.0625,0.0625,31.0,31.0,25,3892,0.006423432682425488
