dataset_name,feature_name,tree_id,nodes,edges,diameter,weak_components,strong_components,node_connectivity,mean_hub_score,mean_auth_score,median_degree,mean_degree,depth,total_length_of_branches,branching_ratio
magicgammatelescope,fLength,0,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,33,2704,0.01220414201183432
magicgammatelescope,fLength,1,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,35,2652,0.013197586726998492
magicgammatelescope,fLength,2,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,30,2608,0.011503067484662576
magicgammatelescope,fLength,3,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,32,2764,0.011577424023154847
magicgammatelescope,fLength,4,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,29,2704,0.010724852071005916
magicgammatelescope,fLength,5,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,31,2768,0.011199421965317919
magicgammatelescope,fLength,6,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,30,2642,0.011355034065102196
magicgammatelescope,fLength,7,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,33,2716,0.012150220913107511
magicgammatelescope,fLength,8,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,30,2652,0.011312217194570135
magicgammatelescope,fLength,9,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,28,2712,0.01032448377581121
magicgammatelescope,fLength,10,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,40,2588,0.015455950540958269
magicgammatelescope,fLength,11,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,41,2690,0.015241635687732341
magicgammatelescope,fLength,12,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,30,2704,0.011094674556213017
magicgammatelescope,fLength,13,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,37,2684,0.013785394932935917
magicgammatelescope,fLength,14,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,33,2690,0.012267657992565056
magicgammatelescope,fLength,15,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,31,2790,0.011111111111111112
magicgammatelescope,fLength,16,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,31,2674,0.011593118922961856
magicgammatelescope,fLength,17,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,30,2692,0.011144130757800892
magicgammatelescope,fLength,18,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,31,2778,0.011159107271418287
magicgammatelescope,fLength,19,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,32,2668,0.01199400299850075
magicgammatelescope,fLength,20,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,36,2672,0.01347305389221557
magicgammatelescope,fLength,21,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,33,2762,0.011947863866763215
magicgammatelescope,fLength,22,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,35,2672,0.01309880239520958
magicgammatelescope,fLength,23,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,34,2640,0.012878787878787878
magicgammatelescope,fLength,24,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,33,2622,0.012585812356979404
magicgammatelescope,fLength,25,10,100,1,1,1,-1,0.1,0.1,20.0,20.0,37,2768,0.013367052023121388
