dataset_name,feature_name,tree_id,nodes,edges,diameter,weak_components,strong_components,node_connectivity,mean_hub_score,mean_auth_score,median_degree,mean_degree,depth,total_length_of_branches,branching_ratio
maternalhealthrisk,Age,0,6,34,1,1,1,-1,0.16666666666666666,0.16666666666666663,11.0,10.666666666666666,21,406,0.05172413793103448
maternalhealthrisk,Age,1,6,31,2,1,1,-1,0.16666666666666666,0.16666666666666666,9.5,9.5,20,390,0.05128205128205128
maternalhealthrisk,Age,2,6,36,1,1,1,-1,0.16666666666666663,0.16666666666666663,12.0,12.0,17,368,0.04619565217391304
maternalhealthrisk,Age,3,6,33,1,1,1,-1,0.16666666666666666,0.16666666666666663,11.0,10.333333333333334,25,358,0.06983240223463687
maternalhealthrisk,Age,4,6,35,1,1,1,-1,0.16666666666666666,0.1666666666666667,11.5,11.5,26,402,0.06467661691542288
maternalhealthrisk,Age,5,6,35,1,1,1,-1,0.1666666666666667,0.1666666666666667,11.0,11.0,19,392,0.04846938775510204
maternalhealthrisk,Age,6,6,35,1,1,1,-1,0.16666666666666666,0.16666666666666666,11.5,11.5,17,384,0.044270833333333336
maternalhealthrisk,Age,7,6,33,1,1,1,-1,0.1666666666666667,0.16666666666666666,11.0,10.333333333333334,21,378,0.05555555555555555
maternalhealthrisk,Age,8,6,32,1,1,1,-1,0.16666666666666666,0.16666666666666666,11.0,10.0,22,374,0.058823529411764705
maternalhealthrisk,Age,9,6,34,1,1,1,-1,0.16666666666666666,0.16666666666666666,11.0,10.666666666666666,22,344,0.06395348837209303
maternalhealthrisk,Age,10,6,36,1,1,1,-1,0.16666666666666663,0.16666666666666663,12.0,12.0,19,350,0.054285714285714284
maternalhealthrisk,Age,11,6,32,2,1,1,-1,0.16666666666666666,0.16666666666666666,10.5,10.5,21,394,0.0532994923857868
maternalhealthrisk,Age,12,6,34,1,1,1,-1,0.16666666666666666,0.1666666666666667,11.0,10.666666666666666,21,390,0.05384615384615385
maternalhealthrisk,Age,13,6,29,2,1,1,-1,0.16666666666666666,0.16666666666666666,10.0,8.666666666666666,22,348,0.06321839080459771
maternalhealthrisk,Age,14,6,32,2,1,1,-1,0.16666666666666666,0.1666666666666667,10.5,10.0,17,402,0.04228855721393035
maternalhealthrisk,Age,15,6,35,1,1,1,-1,0.16666666666666666,0.16666666666666666,11.0,11.0,20,378,0.05291005291005291
maternalhealthrisk,Age,16,6,33,2,1,1,-1,0.16666666666666666,0.16666666666666666,10.0,10.0,23,418,0.05502392344497608
maternalhealthrisk,Age,17,6,34,1,1,1,-1,0.16666666666666666,0.16666666666666666,11.0,11.0,20,378,0.05291005291005291
maternalhealthrisk,Age,18,6,32,1,1,1,-1,0.16666666666666666,0.16666666666666666,11.0,10.0,18,336,0.05357142857142857
maternalhealthrisk,Age,19,6,32,1,1,1,-1,0.16666666666666666,0.16666666666666666,11.0,10.0,22,400,0.055
maternalhealthrisk,Age,20,6,30,2,1,1,-1,0.16666666666666666,0.16666666666666666,10.5,9.5,20,368,0.05434782608695652
maternalhealthrisk,Age,21,6,33,1,1,1,-1,0.16666666666666666,0.16666666666666666,11.0,10.333333333333334,21,394,0.0532994923857868
maternalhealthrisk,Age,22,6,34,1,1,1,-1,0.16666666666666666,0.16666666666666666,11.0,10.666666666666666,26,368,0.07065217391304347
maternalhealthrisk,Age,23,6,35,1,1,1,-1,0.16666666666666666,0.1666666666666667,11.5,11.5,17,396,0.04292929292929293
maternalhealthrisk,Age,24,6,33,1,1,1,-1,0.16666666666666663,0.16666666666666666,10.5,10.5,20,414,0.04830917874396135
maternalhealthrisk,Age,25,6,30,1,1,1,-1,0.16666666666666666,0.16666666666666666,10.0,9.5,18,404,0.04455445544554455
maternalhealthrisk,Age,26,6,34,1,1,1,-1,0.16666666666666666,0.16666666666666666,11.0,11.0,19,382,0.049738219895287955
maternalhealthrisk,Age,27,6,34,2,1,1,-1,0.16666666666666666,0.16666666666666666,11.0,11.0,19,406,0.046798029556650245
maternalhealthrisk,Age,28,6,36,1,1,1,-1,0.16666666666666663,0.16666666666666663,12.0,12.0,24,422,0.05687203791469194
maternalhealthrisk,Age,29,6,35,1,1,1,-1,0.16666666666666666,0.16666666666666666,11.0,11.0,20,356,0.056179775280898875
maternalhealthrisk,Age,30,6,33,1,1,1,-1,0.16666666666666666,0.16666666666666666,11.0,10.333333333333334,23,412,0.055825242718446605
maternalhealthrisk,Age,31,6,33,1,1,1,-1,0.16666666666666663,0.16666666666666666,11.0,10.333333333333334,21,406,0.05172413793103448
maternalhealthrisk,Age,32,6,35,1,1,1,-1,0.1666666666666667,0.16666666666666666,11.5,11.5,18,408,0.04411764705882353
maternalhealthrisk,Age,33,6,36,1,1,1,-1,0.16666666666666663,0.16666666666666663,12.0,12.0,21,390,0.05384615384615385
maternalhealthrisk,Age,34,6,33,1,1,1,-1,0.16666666666666666,0.16666666666666666,11.0,10.333333333333334,22,408,0.05392156862745098
