dataset_name,feature_name,tree_id,nodes,edges,diameter,weak_components,strong_components,node_connectivity,mean_hub_score,mean_auth_score,median_degree,mean_degree,depth,total_length_of_branches,branching_ratio
mushroom,cap-shape,0,73,720,5,1,12,-1,0.0136986301369863,0.0136986301369863,26.0,26.96969696969697,26,3074,0.008458035133376708
mushroom,cap-shape,1,64,659,5,1,16,-1,0.015625,0.015625,27.0,29.833333333333332,20,3032,0.006596306068601583
mushroom,cap-shape,2,68,650,6,1,5,-1,0.014705882352941175,0.014705882352941176,25.5,26.470588235294116,20,2988,0.006693440428380187
mushroom,cap-shape,3,71,691,5,1,12,-1,0.014084507042253521,0.01408450704225352,27.0,27.5,20,3032,0.006596306068601583
mushroom,cap-shape,4,65,658,6,1,12,-1,0.015384615384615385,0.015384615384615382,26.5,28.035714285714285,18,2954,0.006093432633716994
mushroom,cap-shape,5,70,681,6,1,7,-1,0.014285714285714285,0.014285714285714285,23.5,25.5,19,3032,0.006266490765171504
mushroom,cap-shape,6,70,662,5,1,8,-1,0.014285714285714282,0.014285714285714285,24.5,26.875,18,3006,0.005988023952095809
mushroom,cap-shape,7,64,660,6,1,9,-1,0.015624999999999998,0.015625000000000003,25.0,26.12121212121212,17,3000,0.005666666666666667
mushroom,cap-shape,8,68,724,6,1,4,-1,0.01470588235294118,0.014705882352941175,25.0,27.566666666666666,19,3160,0.006012658227848101
mushroom,cap-shape,9,68,692,4,1,6,-1,0.014705882352941176,0.014705882352941175,27.0,28.096774193548388,20,3142,0.006365372374283896
mushroom,cap-shape,10,65,682,5,1,10,-1,0.015384615384615385,0.015384615384615385,25.5,27.13888888888889,17,2996,0.005674232309746329
mushroom,cap-shape,11,65,683,6,1,7,-1,0.015384615384615384,0.015384615384615385,24.5,24.58823529411765,19,3010,0.006312292358803987
mushroom,cap-shape,12,63,667,6,1,12,-1,0.015873015873015876,0.015873015873015876,25.5,27.470588235294116,19,3056,0.006217277486910994
mushroom,cap-shape,13,69,703,5,1,8,-1,0.014492753623188406,0.014492753623188404,28.0,28.606060606060606,20,3046,0.006565988181221274
mushroom,cap-shape,14,66,697,6,1,7,-1,0.015151515151515155,0.015151515151515155,29.0,28.242424242424242,19,3052,0.006225425950196592
mushroom,cap-shape,15,68,677,5,1,3,-1,0.014705882352941176,0.014705882352941176,26.5,27.970588235294116,19,3004,0.0063249001331557924
mushroom,cap-shape,16,65,686,4,1,7,-1,0.015384615384615385,0.015384615384615382,25.5,27.05263157894737,20,3022,0.0066181336863004635
mushroom,cap-shape,17,60,701,5,1,11,-1,0.01666666666666667,0.016666666666666666,27.0,27.83783783783784,19,3106,0.006117192530585963
mushroom,cap-shape,18,60,659,5,1,6,-1,0.016666666666666666,0.016666666666666666,24.0,25.516129032258064,17,3000,0.005666666666666667
mushroom,cap-shape,19,62,670,7,1,8,-1,0.016129032258064512,0.016129032258064516,25.0,27.142857142857142,18,2986,0.006028131279303416
mushroom,cap-shape,20,65,633,7,1,12,-1,0.015384615384615384,0.015384615384615385,25.0,27.483870967741936,19,2980,0.0063758389261744965
mushroom,cap-shape,21,67,692,5,1,4,-1,0.014925373134328358,0.014925373134328356,23.0,25.641025641025642,18,3120,0.0057692307692307696
mushroom,cap-shape,22,72,705,5,1,3,-1,0.013888888888888886,0.013888888888888888,26.5,27.263157894736842,21,3074,0.0068314899154196486
