dataset_name,feature_name,tree_id,nodes,edges,diameter,weak_components,strong_components,node_connectivity,mean_hub_score,mean_auth_score,median_degree,mean_degree,depth,total_length_of_branches,branching_ratio
nursery,parents,0,27,405,3,1,6,-1,0.03703703703703703,0.03703703703703703,34.0,24.615384615384617,19,3288,0.005778588807785888
nursery,parents,1,27,464,3,1,2,-1,0.037037037037037035,0.037037037037037035,35.0,29.9375,18,3330,0.005405405405405406
nursery,parents,2,27,514,3,1,3,-1,0.037037037037037035,0.037037037037037035,39.5,33.714285714285715,18,3624,0.004966887417218543
nursery,parents,3,27,495,3,1,2,-1,0.03703703703703704,0.037037037037037035,36.0,31.846153846153847,19,3634,0.005228398458998349
nursery,parents,4,27,468,4,1,3,-1,0.037037037037037035,0.037037037037037035,35.0,30.470588235294116,19,3226,0.005889646621202728
nursery,parents,5,26,459,4,1,3,-1,0.03846153846153846,0.038461538461538464,38.0,29.846153846153847,19,3428,0.005542590431738623
nursery,parents,6,26,452,2,1,2,-1,0.038461538461538464,0.038461538461538464,37.0,32.333333333333336,19,3564,0.005331088664421998
nursery,parents,7,27,462,4,1,3,-1,0.03703703703703704,0.037037037037037035,38.0,30.8,19,3352,0.0056682577565632455
nursery,parents,8,27,455,4,1,3,-1,0.03703703703703704,0.03703703703703704,33.0,28.333333333333332,19,3446,0.005513639001741149
nursery,parents,9,27,468,4,1,3,-1,0.037037037037037035,0.037037037037037035,37.0,30.571428571428573,19,3468,0.005478662053056517
nursery,parents,10,27,515,3,1,2,-1,0.037037037037037035,0.037037037037037035,41.0,33.76923076923077,19,3574,0.005316172355903749
nursery,parents,11,27,414,4,1,3,-1,0.03703703703703703,0.03703703703703704,27.5,25.0625,19,3432,0.005536130536130536
nursery,parents,12,26,433,4,1,3,-1,0.038461538461538464,0.03846153846153846,36.0,30.0,19,3244,0.005856966707768188
nursery,parents,13,27,466,3,1,2,-1,0.037037037037037035,0.03703703703703704,38.0,32.07142857142857,19,3366,0.00564468211527035
nursery,parents,14,27,476,2,1,2,-1,0.037037037037037035,0.03703703703703703,35.0,32.5625,19,3362,0.005651397977394408
nursery,parents,15,27,401,3,1,2,-1,0.037037037037037035,0.03703703703703704,33.0,25.6,18,3344,0.005382775119617225
nursery,parents,16,26,446,3,1,3,-1,0.03846153846153846,0.038461538461538464,38.5,33.642857142857146,19,3440,0.005523255813953488
nursery,parents,17,27,486,3,1,2,-1,0.037037037037037035,0.03703703703703704,36.5,33.92857142857143,19,3588,0.005295429208472687
nursery,parents,18,26,440,3,1,3,-1,0.038461538461538464,0.03846153846153846,37.0,32.15384615384615,18,3280,0.00548780487804878
nursery,parents,19,27,463,4,1,4,-1,0.037037037037037035,0.03703703703703704,34.5,29.375,19,3364,0.005648038049940547
nursery,parents,20,27,440,4,1,3,-1,0.037037037037037035,0.03703703703703704,31.5,27.375,19,3422,0.005552308591466978
nursery,parents,21,27,457,3,1,3,-1,0.037037037037037035,0.037037037037037035,35.0,31.647058823529413,19,3446,0.005513639001741149
nursery,parents,22,27,449,4,1,3,-1,0.03703703703703703,0.037037037037037035,36.5,28.9375,19,3396,0.0055948174322732625
nursery,parents,23,27,508,3,1,2,-1,0.037037037037037035,0.03703703703703703,39.0,34.8,19,3658,0.00519409513395298
nursery,parents,24,27,439,3,1,3,-1,0.037037037037037035,0.037037037037037035,35.0,30.133333333333333,19,3432,0.005536130536130536
nursery,parents,25,27,485,2,1,2,-1,0.03703703703703704,0.03703703703703704,36.0,31.266666666666666,19,3512,0.00541002277904328
nursery,parents,26,26,420,3,1,3,-1,0.038461538461538464,0.038461538461538464,34.0,28.53846153846154,18,3330,0.005405405405405406
nursery,parents,27,27,469,3,1,2,-1,0.037037037037037035,0.037037037037037035,36.0,30.41176470588235,19,3680,0.005163043478260869
nursery,parents,28,27,424,3,1,5,-1,0.037037037037037035,0.037037037037037035,33.0,27.333333333333332,19,3392,0.005601415094339622
nursery,parents,29,27,440,3,1,3,-1,0.037037037037037035,0.03703703703703703,35.0,30.42105263157895,19,3386,0.005611340815121087
nursery,parents,30,26,441,4,1,3,-1,0.03846153846153847,0.03846153846153846,36.5,28.5,19,3422,0.005552308591466978
nursery,parents,31,27,427,4,1,3,-1,0.037037037037037035,0.037037037037037035,28.0,24.5,19,3320,0.00572289156626506
nursery,parents,32,27,498,3,1,3,-1,0.03703703703703703,0.037037037037037035,39.0,34.35294117647059,19,3636,0.005225522552255226
nursery,parents,33,27,493,3,1,2,-1,0.037037037037037035,0.037037037037037035,38.0,33.529411764705884,18,3486,0.0051635111876075735
nursery,parents,34,27,479,3,1,3,-1,0.037037037037037035,0.037037037037037035,38.5,32.25,19,3390,0.005604719764011799
nursery,parents,35,26,422,3,1,5,-1,0.038461538461538464,0.03846153846153847,36.0,28.615384615384617,18,3492,0.005154639175257732
nursery,parents,36,27,532,3,1,2,-1,0.037037037037037035,0.037037037037037035,40.5,36.3125,19,3450,0.0055072463768115944
nursery,parents,37,27,523,3,1,2,-1,0.037037037037037035,0.037037037037037035,39.5,36.111111111111114,19,3780,0.0050264550264550265
nursery,parents,38,27,413,4,1,4,-1,0.03703703703703703,0.037037037037037035,34.0,26.058823529411764,19,3358,0.005658129839189994
nursery,parents,39,27,499,3,1,2,-1,0.037037037037037035,0.03703703703703704,37.0,34.26315789473684,19,3480,0.005459770114942529
