dataset_name,feature_name,tree_id,nodes,edges,diameter,weak_components,strong_components,node_connectivity,mean_hub_score,mean_auth_score,median_degree,mean_degree,depth,total_length_of_branches,branching_ratio
obesitydataset,Gender,0,26,182,3,1,3,-1,0.03846153846153847,0.03846153846153847,15.0,16.57894736842105,17,624,0.027243589743589744
obesitydataset,Gender,1,29,192,3,1,1,-1,0.034482758620689655,0.03448275862068964,14.5,15.38888888888889,19,554,0.03429602888086643
obesitydataset,Gender,2,27,175,3,1,2,-1,0.03703703703703704,0.03703703703703704,12.0,14.15,18,540,0.03333333333333333
obesitydataset,Gender,3,28,178,3,1,2,-1,0.03571428571428571,0.035714285714285705,14.0,15.666666666666666,19,624,0.030448717948717948
obesitydataset,Gender,4,27,157,3,1,2,-1,0.037037037037037035,0.037037037037037035,10.0,13.411764705882353,16,450,0.035555555555555556
obesitydataset,Gender,5,27,162,3,1,3,-1,0.037037037037037035,0.03703703703703704,11.0,13.764705882352942,19,542,0.03505535055350553
obesitydataset,Gender,6,28,177,3,1,2,-1,0.03571428571428572,0.03571428571428571,12.0,15.157894736842104,16,604,0.026490066225165563
obesitydataset,Gender,7,27,175,4,1,2,-1,0.037037037037037035,0.037037037037037035,12.5,13.833333333333334,17,528,0.032196969696969696
obesitydataset,Gender,8,27,167,3,1,1,-1,0.037037037037037035,0.037037037037037035,13.5,14.11111111111111,19,550,0.034545454545454546
obesitydataset,Gender,9,29,170,4,1,2,-1,0.034482758620689655,0.034482758620689655,13.0,14.31578947368421,19,542,0.03505535055350553
obesitydataset,Gender,10,29,184,3,1,4,-1,0.034482758620689655,0.034482758620689655,11.5,14.555555555555555,21,530,0.03962264150943396
obesitydataset,Gender,11,28,188,4,1,5,-1,0.03571428571428571,0.035714285714285705,11.5,14.25,17,634,0.026813880126182965
obesitydataset,Gender,12,28,184,3,1,3,-1,0.03571428571428571,0.035714285714285705,13.5,14.722222222222221,21,636,0.0330188679245283
obesitydataset,Gender,13,29,160,3,1,3,-1,0.03448275862068965,0.03448275862068966,12.0,14.470588235294118,17,480,0.035416666666666666
obesitydataset,Gender,14,25,171,4,1,3,-1,0.04,0.04,13.0,14.176470588235293,19,506,0.037549407114624504
obesitydataset,Gender,15,27,151,3,1,2,-1,0.03703703703703704,0.037037037037037035,16.0,14.529411764705882,17,432,0.03935185185185185
obesitydataset,Gender,16,28,186,3,1,2,-1,0.035714285714285705,0.03571428571428571,13.5,14.3,17,514,0.033073929961089495
obesitydataset,Gender,17,27,200,3,1,1,-1,0.037037037037037035,0.03703703703703704,15.0,15.789473684210526,17,614,0.02768729641693811
obesitydataset,Gender,18,27,188,3,1,5,-1,0.03703703703703703,0.03703703703703704,12.0,14.285714285714286,17,590,0.0288135593220339
obesitydataset,Gender,19,26,146,3,1,1,-1,0.038461538461538464,0.03846153846153847,10.0,12.647058823529411,19,478,0.0397489539748954
obesitydataset,Gender,20,27,164,3,1,3,-1,0.037037037037037035,0.037037037037037035,13.0,13.285714285714286,21,584,0.03595890410958904
obesitydataset,Gender,21,29,174,3,1,3,-1,0.03448275862068966,0.034482758620689655,15.0,14.88888888888889,15,524,0.02862595419847328
obesitydataset,Gender,22,27,167,3,1,2,-1,0.03703703703703704,0.037037037037037035,12.0,14.647058823529411,17,506,0.03359683794466403
obesitydataset,Gender,23,27,170,3,1,2,-1,0.037037037037037035,0.03703703703703703,13.0,14.31578947368421,19,538,0.03531598513011153
obesitydataset,Gender,24,28,172,4,1,3,-1,0.03571428571428571,0.03571428571428571,10.5,12.666666666666666,16,492,0.032520325203252036
obesitydataset,Gender,25,28,186,3,1,4,-1,0.03571428571428573,0.03571428571428571,12.0,13.68421052631579,17,548,0.03102189781021898
obesitydataset,Gender,26,29,168,4,1,4,-1,0.034482758620689655,0.034482758620689655,12.0,13.578947368421053,19,520,0.03653846153846154
obesitydataset,Gender,27,27,178,3,1,2,-1,0.037037037037037035,0.037037037037037035,12.0,15.117647058823529,17,596,0.028523489932885907
obesitydataset,Gender,28,29,159,3,1,2,-1,0.034482758620689655,0.034482758620689655,12.0,13.666666666666666,16,470,0.03404255319148936
obesitydataset,Gender,29,28,162,4,1,4,-1,0.03571428571428571,0.03571428571428572,11.5,13.666666666666666,18,530,0.033962264150943396
obesitydataset,Gender,30,29,168,3,1,1,-1,0.03448275862068965,0.03448275862068966,10.5,12.928571428571429,16,556,0.02877697841726619
obesitydataset,Gender,31,25,169,3,1,2,-1,0.04,0.04000000000000001,14.5,15.166666666666666,19,532,0.03571428571428571
obesitydataset,Gender,32,29,182,5,1,4,-1,0.034482758620689655,0.034482758620689655,13.5,14.65,20,638,0.03134796238244514
