dataset_name,feature_name,tree_id,nodes,edges,diameter,weak_components,strong_components,node_connectivity,mean_hub_score,mean_auth_score,median_degree,mean_degree,depth,total_length_of_branches,branching_ratio
occupancydetection,S1_Temp,0,15,61,3,1,1,-1,0.06666666666666668,0.06666666666666664,8.5,8.875,12,138,0.08695652173913043
occupancydetection,S1_Temp,1,14,45,3,1,1,-1,0.07142857142857142,0.07142857142857144,6.0,6.0,11,100,0.11
occupancydetection,S1_Temp,2,12,34,3,1,1,-1,0.08333333333333333,0.08333333333333333,5.5,6.333333333333333,10,78,0.1282051282051282
occupancydetection,S1_Temp,3,15,53,3,1,1,-1,0.06666666666666667,0.06666666666666667,6.5,6.8,10,116,0.08620689655172414
occupancydetection,S1_Temp,4,15,47,4,1,3,-1,0.06666666666666667,0.06666666666666668,6.0,6.555555555555555,10,116,0.08620689655172414
occupancydetection,S1_Temp,5,16,57,3,1,2,-1,0.0625,0.0625,7.5,7.7,12,128,0.09375
occupancydetection,S1_Temp,6,13,42,3,1,2,-1,0.07692307692307694,0.07692307692307693,6.0,6.4,12,104,0.11538461538461539
occupancydetection,S1_Temp,7,15,49,3,1,1,-1,0.06666666666666668,0.06666666666666668,7.0,7.285714285714286,10,116,0.08620689655172414
occupancydetection,S1_Temp,8,16,53,3,1,1,-1,0.0625,0.0625,5.5,6.75,11,128,0.0859375
occupancydetection,S1_Temp,9,15,39,4,1,4,-1,0.06666666666666667,0.06666666666666667,5.5,5.7,12,90,0.13333333333333333
occupancydetection,S1_Temp,10,14,41,4,1,2,-1,0.07142857142857141,0.07142857142857142,5.5,6.3,11,96,0.11458333333333333
occupancydetection,S1_Temp,11,16,49,3,1,1,-1,0.0625,0.06249999999999999,6.0,6.222222222222222,11,108,0.10185185185185185
occupancydetection,S1_Temp,12,14,51,3,1,1,-1,0.07142857142857142,0.07142857142857144,7.0,7.444444444444445,12,118,0.1016949152542373
occupancydetection,S1_Temp,13,13,51,3,1,1,-1,0.07692307692307694,0.07692307692307691,9.0,8.142857142857142,12,130,0.09230769230769231
