dataset_name,feature_name,tree_id,nodes,edges,diameter,weak_components,strong_components,node_connectivity,mean_hub_score,mean_auth_score,median_degree,mean_degree,depth,total_length_of_branches,branching_ratio
recognitionhandwrittendigits,0,0,49,256,4,1,3,-1,0.020408163265306128,0.02040816326530612,12.5,12.25,16,560,0.02857142857142857
recognitionhandwrittendigits,0,1,51,240,4,1,5,-1,0.019607843137254898,0.0196078431372549,10.5,10.61111111111111,15,518,0.02895752895752896
recognitionhandwrittendigits,0,2,48,249,4,1,3,-1,0.020833333333333332,0.020833333333333332,10.0,10.31578947368421,14,538,0.026022304832713755
recognitionhandwrittendigits,0,3,48,243,4,1,5,-1,0.020833333333333332,0.020833333333333332,10.5,10.38888888888889,15,534,0.028089887640449437
recognitionhandwrittendigits,0,4,51,239,4,1,5,-1,0.0196078431372549,0.019607843137254898,11.0,11.285714285714286,15,522,0.028735632183908046
recognitionhandwrittendigits,0,5,49,261,3,1,3,-1,0.020408163265306128,0.020408163265306117,11.5,12.0,15,562,0.026690391459074734
recognitionhandwrittendigits,0,6,48,259,3,1,1,-1,0.020833333333333332,0.020833333333333332,11.5,11.444444444444445,15,568,0.02640845070422535
recognitionhandwrittendigits,0,7,50,292,4,1,3,-1,0.02,0.02,13.0,12.91304347826087,16,632,0.02531645569620253
recognitionhandwrittendigits,0,8,48,259,4,1,5,-1,0.020833333333333332,0.020833333333333332,12.0,12.368421052631579,17,562,0.030249110320284697
recognitionhandwrittendigits,0,9,49,262,5,1,3,-1,0.02040816326530612,0.020408163265306128,10.5,11.05,16,564,0.028368794326241134
recognitionhandwrittendigits,0,10,50,286,4,1,3,-1,0.019999999999999997,0.02,11.0,11.666666666666666,15,634,0.02365930599369085
recognitionhandwrittendigits,0,11,51,251,4,1,5,-1,0.0196078431372549,0.019607843137254898,11.5,11.85,17,534,0.031835205992509365
recognitionhandwrittendigits,0,12,50,276,4,1,3,-1,0.02,0.02,12.0,12.142857142857142,16,594,0.026936026936026935
recognitionhandwrittendigits,0,13,51,260,4,1,2,-1,0.019607843137254898,0.0196078431372549,11.5,11.727272727272727,14,552,0.025362318840579712
recognitionhandwrittendigits,0,14,49,248,4,1,3,-1,0.02040816326530612,0.02040816326530612,11.5,11.75,17,548,0.03102189781021898
recognitionhandwrittendigits,0,15,48,286,5,1,2,-1,0.020833333333333332,0.020833333333333332,11.5,12.090909090909092,16,624,0.02564102564102564
recognitionhandwrittendigits,0,16,51,283,4,1,5,-1,0.0196078431372549,0.019607843137254898,11.5,11.3,13,604,0.02152317880794702
recognitionhandwrittendigits,0,17,52,247,4,1,4,-1,0.019230769230769232,0.019230769230769232,11.5,11.65,16,534,0.0299625468164794
recognitionhandwrittendigits,0,18,47,236,5,1,3,-1,0.02127659574468084,0.02127659574468085,10.5,10.5,16,516,0.031007751937984496
recognitionhandwrittendigits,0,19,49,274,4,1,2,-1,0.02040816326530612,0.020408163265306128,12.5,12.722222222222221,15,594,0.025252525252525252
recognitionhandwrittendigits,0,20,52,256,5,1,6,-1,0.019230769230769232,0.019230769230769235,11.5,11.681818181818182,17,548,0.03102189781021898
recognitionhandwrittendigits,0,21,55,251,4,1,4,-1,0.01818181818181818,0.01818181818181818,9.5,9.3125,16,538,0.02973977695167286
recognitionhandwrittendigits,0,22,50,244,4,1,2,-1,0.02,0.02,10.5,10.65,16,526,0.030418250950570342
recognitionhandwrittendigits,0,23,50,279,3,1,2,-1,0.019999999999999997,0.019999999999999997,11.0,11.368421052631579,16,602,0.026578073089700997
recognitionhandwrittendigits,0,24,52,294,4,1,4,-1,0.019230769230769232,0.019230769230769235,13.0,12.666666666666666,16,624,0.02564102564102564
recognitionhandwrittendigits,0,25,49,263,4,1,2,-1,0.02040816326530612,0.02040816326530612,12.0,12.578947368421053,15,562,0.026690391459074734
recognitionhandwrittendigits,0,26,47,260,3,1,2,-1,0.021276595744680847,0.021276595744680857,11.5,12.166666666666666,15,578,0.025951557093425604
recognitionhandwrittendigits,0,27,49,265,4,1,3,-1,0.02040816326530612,0.02040816326530612,10.5,11.05,15,580,0.02586206896551724
recognitionhandwrittendigits,0,28,48,262,4,1,2,-1,0.020833333333333332,0.020833333333333332,11.0,10.941176470588236,14,572,0.024475524475524476
recognitionhandwrittendigits,0,29,48,254,4,1,2,-1,0.020833333333333332,0.020833333333333332,10.5,10.5,16,566,0.028268551236749116
recognitionhandwrittendigits,0,30,50,254,4,1,5,-1,0.02,0.020000000000000004,11.5,11.45,14,540,0.025925925925925925
recognitionhandwrittendigits,0,31,51,257,5,1,5,-1,0.019607843137254905,0.019607843137254898,9.5,9.88888888888889,14,562,0.02491103202846975
recognitionhandwrittendigits,0,32,51,250,4,1,1,-1,0.0196078431372549,0.0196078431372549,10.0,10.764705882352942,14,524,0.026717557251908396
recognitionhandwrittendigits,0,33,51,250,4,1,4,-1,0.0196078431372549,0.0196078431372549,11.0,11.31578947368421,16,546,0.029304029304029304
recognitionhandwrittendigits,0,34,50,257,4,1,3,-1,0.02,0.020000000000000004,10.0,10.882352941176471,17,568,0.02992957746478873
recognitionhandwrittendigits,0,35,52,279,4,1,2,-1,0.019230769230769235,0.019230769230769232,11.0,11.526315789473685,15,600,0.025
recognitionhandwrittendigits,0,36,52,263,4,1,4,-1,0.019230769230769232,0.019230769230769232,12.5,12.636363636363637,15,572,0.026223776223776224
recognitionhandwrittendigits,0,37,50,266,4,1,4,-1,0.02,0.02,11.5,12.0,16,584,0.0273972602739726
recognitionhandwrittendigits,0,38,50,233,4,1,4,-1,0.02,0.02,9.5,9.722222222222221,15,510,0.029411764705882353
recognitionhandwrittendigits,0,39,49,228,4,1,6,-1,0.02040816326530612,0.02040816326530612,9.5,10.0,14,492,0.028455284552845527
recognitionhandwrittendigits,0,40,49,266,4,1,3,-1,0.02040816326530612,0.02040816326530612,11.0,12.047619047619047,14,566,0.024734982332155476
recognitionhandwrittendigits,0,41,49,294,4,1,2,-1,0.02040816326530612,0.02040816326530612,12.0,11.842105263157896,14,630,0.022222222222222223
recognitionhandwrittendigits,0,42,49,251,4,1,2,-1,0.02040816326530612,0.02040816326530612,11.5,11.45,15,538,0.027881040892193308
recognitionhandwrittendigits,0,43,51,253,4,1,4,-1,0.019607843137254898,0.019607843137254905,11.0,11.31578947368421,13,538,0.024163568773234202
recognitionhandwrittendigits,0,44,49,250,4,1,2,-1,0.02040816326530612,0.02040816326530612,11.0,11.095238095238095,13,538,0.024163568773234202
recognitionhandwrittendigits,0,45,49,271,4,1,3,-1,0.02040816326530612,0.02040816326530612,11.5,11.5,14,586,0.023890784982935155
recognitionhandwrittendigits,0,46,50,276,4,1,5,-1,0.020000000000000004,0.02,11.0,11.952380952380953,16,596,0.026845637583892617
recognitionhandwrittendigits,0,47,49,271,4,1,1,-1,0.02040816326530612,0.020408163265306117,12.5,12.8,15,602,0.024916943521594685
recognitionhandwrittendigits,0,48,50,276,4,1,2,-1,0.020000000000000004,0.02,10.5,11.05,16,582,0.027491408934707903
recognitionhandwrittendigits,0,49,48,246,4,1,2,-1,0.020833333333333332,0.020833333333333332,12.0,12.0,14,526,0.026615969581749048
recognitionhandwrittendigits,0,50,51,278,4,1,2,-1,0.0196078431372549,0.0196078431372549,12.0,11.68421052631579,14,600,0.023333333333333334
recognitionhandwrittendigits,0,51,48,239,3,1,2,-1,0.020833333333333332,0.020833333333333332,10.0,11.210526315789474,16,530,0.03018867924528302
recognitionhandwrittendigits,0,52,49,249,4,1,4,-1,0.02040816326530612,0.02040816326530612,10.5,10.5,17,532,0.03195488721804511
recognitionhandwrittendigits,0,53,50,269,4,1,2,-1,0.02,0.02,10.5,10.5,16,582,0.027491408934707903
