dataset_name,feature_name,tree_id,nodes,edges,diameter,weak_components,strong_components,node_connectivity,mean_hub_score,mean_auth_score,median_degree,mean_degree,depth,total_length_of_branches,branching_ratio
spambase,word_freq_make,0,47,226,4,1,1,-1,0.021276595744680847,0.021276595744680857,12.0,12.761904761904763,35,502,0.0697211155378486
spambase,word_freq_make,1,50,243,5,1,5,-1,0.02,0.019999999999999997,10.5,12.7,26,584,0.04452054794520548
spambase,word_freq_make,2,49,234,4,1,5,-1,0.02040816326530612,0.02040816326530612,13.0,13.736842105263158,40,540,0.07407407407407407
spambase,word_freq_make,3,49,261,4,1,2,-1,0.02040816326530612,0.02040816326530612,13.0,14.391304347826088,24,624,0.038461538461538464
spambase,word_freq_make,4,48,239,4,1,1,-1,0.020833333333333332,0.02083333333333333,12.0,13.68421052631579,26,528,0.04924242424242424
spambase,word_freq_make,5,48,240,4,1,1,-1,0.020833333333333332,0.020833333333333332,12.0,13.0,34,560,0.060714285714285714
spambase,word_freq_make,6,48,240,4,1,5,-1,0.020833333333333332,0.020833333333333332,11.5,13.363636363636363,33,546,0.06043956043956044
spambase,word_freq_make,7,49,228,4,1,4,-1,0.020408163265306117,0.02040816326530612,10.0,12.0,25,538,0.046468401486988845
spambase,word_freq_make,8,49,234,4,1,3,-1,0.02040816326530612,0.02040816326530612,11.5,12.363636363636363,38,544,0.06985294117647059
spambase,word_freq_make,9,45,229,4,1,2,-1,0.022222222222222223,0.02222222222222222,10.5,12.7,30,580,0.05172413793103448
spambase,word_freq_make,10,47,222,5,1,4,-1,0.021276595744680847,0.021276595744680844,10.5,12.722222222222221,23,522,0.044061302681992334
spambase,word_freq_make,11,45,242,4,1,4,-1,0.022222222222222216,0.02222222222222222,11.0,12.6,29,564,0.051418439716312055
spambase,word_freq_make,12,48,221,5,1,5,-1,0.02083333333333333,0.020833333333333332,10.0,13.473684210526315,34,500,0.068
spambase,word_freq_make,13,48,227,4,1,5,-1,0.020833333333333332,0.020833333333333332,12.0,13.142857142857142,26,546,0.047619047619047616
spambase,word_freq_make,14,51,244,5,1,4,-1,0.019607843137254898,0.019607843137254905,11.5,13.88888888888889,33,554,0.05956678700361011
spambase,word_freq_make,15,50,262,4,1,2,-1,0.02,0.02,11.0,13.421052631578947,28,586,0.04778156996587031
spambase,word_freq_make,16,49,231,5,1,2,-1,0.02040816326530612,0.02040816326530612,11.0,12.857142857142858,40,536,0.07462686567164178
spambase,word_freq_make,17,48,219,5,1,3,-1,0.020833333333333332,0.020833333333333332,11.5,12.772727272727273,24,536,0.04477611940298507
spambase,word_freq_make,18,46,225,4,1,3,-1,0.021739130434782605,0.021739130434782608,10.5,12.8,41,528,0.07765151515151515
spambase,word_freq_make,19,46,215,4,1,2,-1,0.021739130434782605,0.021739130434782605,11.0,11.904761904761905,25,484,0.05165289256198347
spambase,word_freq_make,20,50,250,4,1,3,-1,0.02,0.02,11.5,14.0,24,588,0.04081632653061224
spambase,word_freq_make,21,52,210,4,1,2,-1,0.019230769230769232,0.019230769230769232,11.0,13.047619047619047,39,482,0.08091286307053942
