dataset_name,feature_name,tree_id,nodes,edges,diameter,weak_components,strong_components,node_connectivity,mean_hub_score,mean_auth_score,median_degree,mean_degree,depth,total_length_of_branches,branching_ratio
statelog,V1,0,36,250,3,1,1,-1,0.027777777777777776,0.027777777777777776,16.0,16.266666666666666,20,560,0.03571428571428571
statelog,V1,1,36,250,3,1,1,-1,0.027777777777777783,0.027777777777777783,13.5,14.4375,23,558,0.04121863799283154
statelog,V1,2,36,259,3,1,1,-1,0.027777777777777776,0.027777777777777776,14.0,13.8,18,588,0.030612244897959183
statelog,V1,3,36,246,3,1,1,-1,0.027777777777777776,0.027777777777777776,14.0,13.933333333333334,18,564,0.031914893617021274
statelog,V1,4,36,249,3,1,1,-1,0.027777777777777776,0.027777777777777776,14.5,14.3,18,552,0.03260869565217391
statelog,V1,5,36,253,3,1,2,-1,0.027777777777777776,0.027777777777777766,14.5,14.7,19,566,0.03356890459363958
statelog,V1,6,36,230,3,1,1,-1,0.027777777777777776,0.027777777777777773,14.0,13.615384615384615,16,522,0.03065134099616858
statelog,V1,7,36,247,3,1,1,-1,0.027777777777777776,0.027777777777777776,14.5,14.3125,18,548,0.032846715328467155
statelog,V1,8,36,237,3,1,2,-1,0.027777777777777776,0.027777777777777783,12.5,13.3125,20,532,0.03759398496240601
statelog,V1,9,36,248,3,1,1,-1,0.027777777777777776,0.027777777777777776,13.5,14.375,20,546,0.03663003663003663
statelog,V1,10,36,242,3,1,1,-1,0.027777777777777773,0.027777777777777776,13.5,13.375,19,534,0.035580524344569285
statelog,V1,11,36,249,3,1,1,-1,0.027777777777777776,0.027777777777777776,15.0,14.8,16,570,0.028070175438596492
statelog,V1,12,36,250,3,1,2,-1,0.027777777777777773,0.027777777777777773,14.0,15.105263157894736,18,550,0.03272727272727273
statelog,V1,13,36,237,3,1,2,-1,0.027777777777777776,0.027777777777777776,15.0,15.235294117647058,19,528,0.03598484848484849
statelog,V1,14,36,247,3,1,1,-1,0.027777777777777783,0.027777777777777776,13.5,13.61111111111111,19,548,0.03467153284671533
statelog,V1,15,36,251,3,1,1,-1,0.027777777777777776,0.027777777777777773,13.5,13.61111111111111,21,564,0.03723404255319149
statelog,V1,16,36,243,3,1,1,-1,0.027777777777777773,0.027777777777777776,13.5,13.555555555555555,18,548,0.032846715328467155
statelog,V1,17,36,224,3,1,2,-1,0.027777777777777776,0.027777777777777773,13.0,12.6,18,518,0.03474903474903475
statelog,V1,18,36,260,3,1,1,-1,0.027777777777777776,0.027777777777777776,14.0,14.0,19,578,0.0328719723183391
statelog,V1,19,36,243,3,1,1,-1,0.027777777777777776,0.027777777777777776,13.0,13.466666666666667,16,538,0.02973977695167286
statelog,V1,20,36,250,3,1,1,-1,0.027777777777777783,0.027777777777777776,13.5,14.5,22,578,0.03806228373702422
statelog,V1,21,36,249,3,1,1,-1,0.027777777777777783,0.027777777777777783,14.5,14.214285714285714,17,550,0.03090909090909091
statelog,V1,22,36,250,3,1,1,-1,0.027777777777777783,0.027777777777777776,13.0,13.588235294117647,19,564,0.03368794326241135
statelog,V1,23,36,254,3,1,1,-1,0.027777777777777783,0.027777777777777776,15.0,15.153846153846153,19,558,0.034050179211469536
statelog,V1,24,36,245,3,1,1,-1,0.027777777777777776,0.02777777777777777,13.5,14.055555555555555,17,560,0.030357142857142857
statelog,V1,25,36,257,3,1,1,-1,0.027777777777777776,0.027777777777777783,15.0,15.176470588235293,23,556,0.04136690647482014
statelog,V1,26,36,235,3,1,2,-1,0.027777777777777773,0.027777777777777776,13.5,13.222222222222221,21,546,0.038461538461538464
statelog,V1,27,36,240,3,1,1,-1,0.027777777777777773,0.027777777777777783,13.0,13.0,18,530,0.033962264150943396
statelog,V1,28,36,217,3,1,3,-1,0.027777777777777773,0.027777777777777783,12.5,12.4375,15,474,0.03164556962025317
statelog,V1,29,36,247,3,1,1,-1,0.027777777777777776,0.027777777777777776,13.5,14.071428571428571,18,562,0.03202846975088968
statelog,V1,30,36,240,3,1,1,-1,0.027777777777777776,0.02777777777777777,13.0,13.384615384615385,20,538,0.03717472118959108
statelog,V1,31,36,245,3,1,2,-1,0.027777777777777773,0.02777777777777779,13.5,13.8125,18,544,0.03308823529411765
statelog,V1,32,36,242,3,1,1,-1,0.027777777777777776,0.027777777777777776,15.0,14.733333333333333,19,560,0.033928571428571426
