dataset_name,feature_name,tree_id,nodes,edges,diameter,weak_components,strong_components,node_connectivity,mean_hub_score,mean_auth_score,median_degree,mean_degree,depth,total_length_of_branches,branching_ratio
turkyiestudentevaluation,instr,0,32,633,2,1,1,-1,0.031249999999999997,0.031249999999999997,39.0,40.285714285714285,31,2920,0.010616438356164383
turkyiestudentevaluation,instr,1,32,648,2,1,1,-1,0.03125,0.03125,39.5,40.22222222222222,33,2990,0.011036789297658863
turkyiestudentevaluation,instr,2,32,658,2,1,1,-1,0.03125000000000001,0.03125,40.0,41.1,32,2960,0.010810810810810811
turkyiestudentevaluation,instr,3,32,650,2,1,1,-1,0.03125,0.03125,40.5,41.0,33,2968,0.011118598382749326
turkyiestudentevaluation,instr,4,32,625,2,1,1,-1,0.03125,0.03125,39.5,40.75,37,2794,0.013242662848962061
turkyiestudentevaluation,instr,5,32,672,2,1,1,-1,0.03125,0.031249999999999997,43.0,42.94117647058823,31,2928,0.01058743169398907
turkyiestudentevaluation,instr,6,32,647,2,1,1,-1,0.03125,0.03125000000000001,40.0,40.52173913043478,36,2904,0.012396694214876033
turkyiestudentevaluation,instr,7,32,637,2,1,1,-1,0.03125,0.03125,42.0,41.526315789473685,34,2968,0.011455525606469003
turkyiestudentevaluation,instr,8,32,672,2,1,1,-1,0.03125,0.03125,43.0,42.42857142857143,34,2920,0.011643835616438357
turkyiestudentevaluation,instr,9,32,669,2,1,1,-1,0.031249999999999997,0.03125,41.5,41.7,35,2994,0.01169004676018704
turkyiestudentevaluation,instr,10,32,667,2,1,1,-1,0.031249999999999997,0.03125,41.0,42.04761904761905,31,2928,0.01058743169398907
turkyiestudentevaluation,instr,11,32,637,2,1,1,-1,0.03125000000000001,0.03125,39.5,39.96153846153846,33,2934,0.011247443762781187
turkyiestudentevaluation,instr,12,32,630,2,1,1,-1,0.031249999999999997,0.03125,39.5,39.85,31,2970,0.010437710437710438
turkyiestudentevaluation,instr,13,32,614,2,1,1,-1,0.03125,0.03125,38.0,38.52173913043478,35,2882,0.012144344205412909
turkyiestudentevaluation,instr,14,32,684,2,1,1,-1,0.03125000000000001,0.03125,41.0,42.76470588235294,32,2978,0.010745466756212223
turkyiestudentevaluation,instr,15,32,649,2,1,1,-1,0.03125,0.031249999999999997,39.0,40.421052631578945,34,2902,0.01171605789110958
turkyiestudentevaluation,instr,16,32,677,2,1,1,-1,0.03125,0.03125,43.5,44.09090909090909,33,2908,0.011348005502063274
turkyiestudentevaluation,instr,17,32,647,2,1,1,-1,0.031249999999999997,0.03125,40.0,41.0,35,2996,0.011682242990654205
turkyiestudentevaluation,instr,18,32,656,2,1,1,-1,0.03125,0.03125,44.0,43.78947368421053,30,2984,0.010053619302949061
turkyiestudentevaluation,instr,19,32,658,2,1,1,-1,0.03125,0.03125,42.5,42.25,35,2906,0.012044046799724708
turkyiestudentevaluation,instr,20,32,667,2,1,1,-1,0.03125,0.03125,42.0,42.88235294117647,31,2950,0.010508474576271187
turkyiestudentevaluation,instr,21,32,641,2,1,1,-1,0.03125,0.03125,40.0,41.333333333333336,30,3010,0.009966777408637873
turkyiestudentevaluation,instr,22,32,632,2,1,1,-1,0.03125,0.03125000000000001,38.0,40.19047619047619,36,2956,0.012178619756427604
turkyiestudentevaluation,instr,23,32,665,2,1,1,-1,0.03125000000000001,0.031249999999999993,40.0,41.64705882352941,31,2902,0.010682288077188146
turkyiestudentevaluation,instr,24,32,668,2,1,1,-1,0.03125,0.03125,41.0,41.45454545454545,31,2924,0.010601915184678522
turkyiestudentevaluation,instr,25,32,687,2,1,1,-1,0.031249999999999997,0.031249999999999993,44.5,44.333333333333336,35,2904,0.012052341597796144
turkyiestudentevaluation,instr,26,32,665,2,1,1,-1,0.03125,0.03125,42.0,41.89473684210526,30,2962,0.01012829169480081
turkyiestudentevaluation,instr,27,32,639,2,1,1,-1,0.03125000000000001,0.03125,38.5,39.35,26,2954,0.008801624915368992
turkyiestudentevaluation,instr,28,32,634,2,1,1,-1,0.031249999999999993,0.031249999999999997,40.5,40.55,34,2860,0.011888111888111888
turkyiestudentevaluation,instr,29,32,621,2,1,1,-1,0.031249999999999993,0.03125,39.0,39.76190476190476,30,2898,0.010351966873706004
turkyiestudentevaluation,instr,30,32,652,2,1,1,-1,0.03125,0.03125,38.5,40.25,32,2866,0.011165387299371946
turkyiestudentevaluation,instr,31,32,647,2,1,1,-1,0.03125,0.031249999999999997,39.5,41.611111111111114,30,2916,0.0102880658436214
turkyiestudentevaluation,instr,32,32,649,2,1,1,-1,0.03125,0.031249999999999997,41.0,42.095238095238095,34,2970,0.011447811447811448
turkyiestudentevaluation,instr,33,32,645,2,1,1,-1,0.03125,0.03125,39.5,40.13636363636363,34,2898,0.011732229123533472
turkyiestudentevaluation,instr,34,32,674,2,1,1,-1,0.03125,0.03125,42.5,43.611111111111114,35,2932,0.011937244201909959
turkyiestudentevaluation,instr,35,32,640,2,1,1,-1,0.03125,0.03125,41.0,41.26315789473684,33,2864,0.011522346368715084
turkyiestudentevaluation,instr,36,32,670,2,1,1,-1,0.03125,0.03125,41.0,42.26315789473684,34,2974,0.011432414256893073
turkyiestudentevaluation,instr,37,32,663,2,1,1,-1,0.03125,0.03125,41.5,42.214285714285715,33,2976,0.011088709677419355
turkyiestudentevaluation,instr,38,32,633,2,1,1,-1,0.03125,0.03125,39.0,40.05263157894737,35,2882,0.012144344205412909
turkyiestudentevaluation,instr,39,32,666,2,1,1,-1,0.03125,0.03125,42.5,42.25,33,2884,0.01144244105409154
turkyiestudentevaluation,instr,40,32,654,2,1,1,-1,0.031249999999999997,0.03125,41.0,41.142857142857146,33,2940,0.011224489795918367
turkyiestudentevaluation,instr,41,32,663,2,1,1,-1,0.03125,0.031249999999999993,39.5,40.5625,34,2980,0.011409395973154362
turkyiestudentevaluation,instr,42,32,673,2,1,1,-1,0.03125,0.03125,43.0,42.473684210526315,33,2942,0.011216859279401768
turkyiestudentevaluation,instr,43,32,655,2,1,1,-1,0.03125,0.03125,40.0,41.473684210526315,32,2930,0.010921501706484642
turkyiestudentevaluation,instr,44,32,673,2,1,1,-1,0.03125,0.03125,41.5,41.85,34,2984,0.011394101876675604
turkyiestudentevaluation,instr,45,32,614,2,1,1,-1,0.03125,0.03125,38.0,37.8421052631579,29,2904,0.009986225895316805
turkyiestudentevaluation,instr,46,32,655,2,1,1,-1,0.03125,0.03125,40.5,41.44444444444444,29,2938,0.009870660313138189
turkyiestudentevaluation,instr,47,32,662,2,1,1,-1,0.03125,0.03125,41.0,42.473684210526315,36,2930,0.012286689419795221
turkyiestudentevaluation,instr,48,32,679,2,1,1,-1,0.03125,0.03125,42.5,43.166666666666664,34,2966,0.011463250168577209
turkyiestudentevaluation,instr,49,32,649,2,1,1,-1,0.03125,0.03125,40.5,41.5,31,2958,0.010480054090601758
turkyiestudentevaluation,instr,50,32,681,2,1,1,-1,0.03125,0.03125,43.0,43.68421052631579,32,2960,0.010810810810810811
turkyiestudentevaluation,instr,51,32,630,2,1,1,-1,0.03125,0.03125,38.5,39.13636363636363,38,2962,0.012829169480081027
turkyiestudentevaluation,instr,52,32,647,2,1,1,-1,0.03125,0.03125000000000001,40.0,41.857142857142854,29,2906,0.009979353062629044
turkyiestudentevaluation,instr,53,32,644,2,1,1,-1,0.03125,0.031249999999999997,40.0,41.73684210526316,32,2948,0.010854816824966078
turkyiestudentevaluation,instr,54,32,650,2,1,1,-1,0.031249999999999997,0.03125,41.5,42.13636363636363,32,2914,0.01098146877144818
turkyiestudentevaluation,instr,55,32,640,2,1,1,-1,0.03125,0.03125,39.0,39.421052631578945,31,2898,0.01069703243616287
