dataset_name,feature_name,tree_id,nodes,edges,diameter,weak_components,strong_components,node_connectivity,mean_hub_score,mean_auth_score,median_degree,mean_degree,depth,total_length_of_branches,branching_ratio
yeast,mcq,0,8,47,2,1,1,-1,0.12500000000000003,0.12499999999999999,12.5,11.0,27,728,0.03708791208791209
yeast,mcq,1,8,46,2,1,1,-1,0.125,0.125,12.5,10.833333333333334,27,748,0.03609625668449198
yeast,mcq,2,8,45,2,1,1,-1,0.12500000000000003,0.12499999999999999,9.0,9.0,19,742,0.025606469002695417
yeast,mcq,3,8,42,3,1,1,-1,0.125,0.125,12.0,9.0,20,760,0.02631578947368421
yeast,mcq,4,8,43,2,1,1,-1,0.125,0.125,12.0,9.2,24,724,0.03314917127071823
yeast,mcq,5,8,43,2,1,1,-1,0.125,0.125,12.5,10.166666666666666,25,708,0.03531073446327684
yeast,mcq,6,8,44,2,1,1,-1,0.125,0.125,12.5,11.0,25,690,0.036231884057971016
yeast,mcq,7,8,42,2,1,2,-1,0.125,0.125,12.0,9.2,22,730,0.030136986301369864
yeast,mcq,8,8,40,3,1,1,-1,0.125,0.125,12.5,10.25,24,734,0.0326975476839237
yeast,mcq,9,8,48,2,1,1,-1,0.125,0.125,12.5,11.166666666666666,20,752,0.026595744680851064
yeast,mcq,10,8,46,2,1,1,-1,0.125,0.125,13.0,11.8,28,674,0.04154302670623145
yeast,mcq,11,8,42,2,1,1,-1,0.125,0.125,12.0,9.0,23,728,0.03159340659340659
yeast,mcq,12,8,43,2,1,1,-1,0.125,0.125,12.0,9.2,22,742,0.029649595687331536
yeast,mcq,13,8,44,2,1,1,-1,0.12499999999999999,0.125,13.0,11.6,21,728,0.028846153846153848
yeast,mcq,14,8,43,2,1,1,-1,0.125,0.125,12.0,9.4,23,668,0.0344311377245509
yeast,mcq,15,8,45,2,1,1,-1,0.125,0.12499999999999999,12.0,9.8,21,716,0.029329608938547486
yeast,mcq,16,8,44,2,1,1,-1,0.125,0.125,12.5,10.75,18,736,0.024456521739130436
yeast,mcq,17,8,43,2,1,1,-1,0.125,0.125,12.5,10.166666666666666,20,688,0.029069767441860465
yeast,mcq,18,8,44,2,1,1,-1,0.125,0.125,12.5,10.333333333333334,24,790,0.030379746835443037
yeast,mcq,19,8,40,2,1,1,-1,0.125,0.125,12.5,10.25,26,754,0.034482758620689655
yeast,mcq,20,8,45,2,1,1,-1,0.125,0.125,13.0,10.2,19,694,0.027377521613832854
yeast,mcq,21,8,45,2,1,1,-1,0.12499999999999999,0.125,13.0,11.0,22,730,0.030136986301369864
yeast,mcq,22,8,40,2,1,2,-1,0.125,0.125,7.5,7.5,22,758,0.029023746701846966
yeast,mcq,23,8,48,2,1,1,-1,0.125,0.12499999999999999,13.0,11.0,21,738,0.028455284552845527
yeast,mcq,24,8,40,3,1,2,-1,0.12499999999999997,0.125,12.0,9.0,24,728,0.03296703296703297
yeast,mcq,25,8,48,2,1,1,-1,0.12499999999999999,0.12499999999999999,12.0,10.6,22,752,0.02925531914893617
yeast,mcq,26,8,46,2,1,1,-1,0.12500000000000003,0.12499999999999999,12.5,10.833333333333334,18,720,0.025
yeast,mcq,27,8,48,2,1,1,-1,0.125,0.125,13.0,12.0,21,716,0.029329608938547486
