,dataset_name,feature_name,tree_id,nodes,edges,diameter,weak_components,strong_components,node_connectivity,mean_hub_score,mean_auth_score,median_degree,mean_degree,depth,num_of_branches,branching_ratio
0,adult,age,0,46,81,7,1,13,-1,0.021739130434782605,0.021739130434782608,5.5,6.8,28,170,0.16470588235294117
1,adult,age,1,42,72,6,1,7,-1,0.023809523809523808,0.023809523809523808,5.5,5.9,24,148,0.16216216216216217
2,adult,age,2,44,79,5,1,9,-1,0.022727272727272724,0.022727272727272728,5.5,6.7,23,160,0.14375
3,adult,age,3,40,81,5,1,4,-1,0.024999999999999994,0.025,6.0,6.454545454545454,21,164,0.12804878048780488
4,adult,age,4,42,67,6,1,13,-1,0.023809523809523808,0.023809523809523808,5.0,6.111111111111111,22,140,0.15714285714285714
5,adult,age,5,45,78,6,1,6,-1,0.022222222222222223,0.022222222222222223,5.0,5.666666666666667,30,162,0.18518518518518517
6,adult,age,6,46,81,6,1,10,-1,0.0217391304347826,0.021739130434782615,5.5,6.2,26,168,0.15476190476190477
7,adult,age,7,37,74,7,1,2,-1,0.02702702702702703,0.027027027027027025,6.0,6.333333333333333,32,152,0.21052631578947367
8,adult,age,8,46,88,6,1,14,-1,0.021739130434782605,0.021739130434782605,5.5,6.4,23,188,0.12234042553191489
9,adult,age,9,48,86,6,1,6,-1,0.02083333333333333,0.020833333333333332,5.0,5.444444444444445,22,178,0.12359550561797752
10,adult,age,10,37,70,4,1,3,-1,0.027027027027027018,0.027027027027027025,5.5,6.0,21,144,0.14583333333333334
11,adult,age,11,37,69,7,1,7,-1,0.027027027027027032,0.027027027027027025,6.0,6.0,24,148,0.16216216216216217
12,adult,age,12,46,79,8,1,11,-1,0.0217391304347826,0.021739130434782608,4.5,5.625,26,168,0.15476190476190477
13,adult,age,13,45,87,5,1,11,-1,0.022222222222222223,0.02222222222222222,5.5,6.1,28,178,0.15730337078651685
14,adult,age,14,42,88,6,1,5,-1,0.023809523809523805,0.023809523809523808,6.0,6.454545454545454,27,184,0.14673913043478262
15,adult,age,15,45,72,6,1,14,-1,0.022222222222222216,0.02222222222222222,5.0,6.0,35,148,0.23648648648648649
16,adult,age,16,49,89,7,1,2,-1,0.02040816326530612,0.02040816326530612,6.0,6.111111111111111,30,180,0.16666666666666666
17,adult,age,17,43,69,9,1,7,-1,0.023255813953488372,0.02325581395348837,5.0,5.222222222222222,32,142,0.22535211267605634
18,adult,age,18,43,83,7,1,7,-1,0.023255813953488372,0.023255813953488372,5.5,5.8,19,168,0.1130952380952381
19,adult,age,19,47,92,6,1,4,-1,0.021276595744680847,0.02127659574468085,6.5,7.0,17,192,0.08854166666666667
20,adult,age,20,46,88,6,1,2,-1,0.021739130434782615,0.021739130434782608,6.5,7.1,30,180,0.16666666666666666
21,adult,age,21,43,82,6,1,6,-1,0.02325581395348837,0.023255813953488372,5.5,6.9,29,170,0.17058823529411765
22,adult,age,22,42,76,6,1,17,-1,0.023809523809523808,0.023809523809523815,4.0,6.0,23,158,0.14556962025316456
23,adult,age,23,44,82,6,1,7,-1,0.022727272727272724,0.02272727272727273,5.0,6.333333333333333,32,184,0.17391304347826086
24,adult,age,24,46,87,6,1,2,-1,0.021739130434782615,0.021739130434782608,6.0,6.545454545454546,32,182,0.17582417582417584
25,adult,age,25,51,97,6,1,5,-1,0.0196078431372549,0.019607843137254898,6.0,7.1,24,198,0.12121212121212122
26,adult,age,26,44,76,6,1,5,-1,0.02272727272727273,0.022727272727272724,5.0,5.444444444444445,34,162,0.20987654320987653
27,adult,age,27,39,79,5,1,6,-1,0.02564102564102564,0.025641025641025637,5.0,6.111111111111111,27,166,0.16265060240963855
28,adult,age,28,43,83,5,1,5,-1,0.023255813953488372,0.023255813953488372,5.5,7.7,26,174,0.14942528735632185
29,adult,age,29,44,97,5,1,5,-1,0.022727272727272728,0.022727272727272728,6.0,6.636363636363637,28,198,0.1414141414141414
30,adult,age,30,42,70,7,1,5,-1,0.023809523809523815,0.023809523809523808,5.0,5.222222222222222,30,144,0.20833333333333334
31,adult,age,31,48,85,6,1,8,-1,0.020833333333333332,0.020833333333333332,6.0,6.181818181818182,24,176,0.13636363636363635
