dataset_name,feature_name,tree_id,nodes,edges,diameter,weak_components,strong_components,node_connectivity,mean_hub_score,mean_auth_score,median_degree,mean_degree,depth,total_length_of_branches,branching_ratio
adult,age,0,43,72,7,1,7,-1,0.02325581395348837,0.023255813953488372,4.5,4.625,32,148,0.21621621621621623
adult,age,1,46,63,11,1,14,-1,0.021739130434782608,0.021739130434782615,3.5,3.8333333333333335,33,128,0.2578125
adult,age,2,44,66,10,1,17,-1,0.02272727272727273,0.022727272727272724,4.5,5.375,34,134,0.2537313432835821
adult,age,3,39,60,9,1,14,-1,0.025641025641025637,0.02564102564102564,4.0,4.285714285714286,23,122,0.1885245901639344
adult,age,4,47,69,10,1,13,-1,0.021276595744680857,0.021276595744680857,3.5,4.0,25,144,0.1736111111111111
adult,age,5,39,56,7,1,6,-1,0.025641025641025637,0.025641025641025637,4.5,4.5,25,116,0.21551724137931033
adult,age,6,44,65,7,1,5,-1,0.022727272727272724,0.022727272727272728,4.5,4.5,31,136,0.22794117647058823
adult,age,7,44,71,6,1,14,-1,0.022727272727272728,0.022727272727272724,5.5,5.5,29,144,0.2013888888888889
adult,age,8,50,69,9,1,9,-1,0.02,0.02,4.0,4.0,22,140,0.15714285714285714
adult,age,9,50,80,8,1,13,-1,0.019999999999999997,0.02,5.0,5.666666666666667,31,162,0.19135802469135801
adult,age,10,41,54,9,1,9,-1,0.024390243902439025,0.024390243902439025,4.5,4.5,29,110,0.2636363636363636
adult,age,11,41,66,8,1,22,-1,0.024390243902439022,0.02439024390243902,4.5,5.0,22,134,0.16417910447761194
adult,age,12,38,61,8,1,7,-1,0.02631578947368421,0.02631578947368421,5.0,5.125,24,126,0.19047619047619047
adult,age,13,39,67,6,1,6,-1,0.025641025641025637,0.025641025641025637,4.0,4.571428571428571,28,138,0.2028985507246377
adult,age,14,39,56,7,1,9,-1,0.02564102564102564,0.025641025641025637,4.5,4.875,30,118,0.2542372881355932
adult,age,15,41,70,6,1,8,-1,0.02439024390243903,0.02439024390243902,5.5,5.7,27,142,0.19014084507042253
adult,age,16,45,71,9,1,9,-1,0.022222222222222223,0.022222222222222223,4.5,4.875,25,146,0.17123287671232876
adult,age,17,41,73,6,1,2,-1,0.024390243902439025,0.024390243902439025,5.0,5.0,24,148,0.16216216216216217
adult,age,18,44,65,9,1,14,-1,0.022727272727272728,0.022727272727272728,4.5,4.875,27,136,0.19852941176470587
adult,age,19,48,78,9,1,11,-1,0.020833333333333332,0.020833333333333332,5.0,5.333333333333333,27,158,0.17088607594936708
adult,age,20,41,70,6,1,6,-1,0.02439024390243903,0.024390243902439025,5.0,5.666666666666667,25,142,0.176056338028169
adult,age,21,43,59,9,1,12,-1,0.023255813953488372,0.023255813953488372,4.0,4.142857142857143,24,122,0.19672131147540983
adult,age,22,49,74,8,1,14,-1,0.02040816326530612,0.02040816326530612,4.0,4.0,33,152,0.21710526315789475
adult,age,23,39,66,6,1,6,-1,0.025641025641025637,0.025641025641025637,5.5,6.3,24,134,0.1791044776119403
adult,age,24,42,66,7,1,9,-1,0.023809523809523808,0.023809523809523805,5.0,5.222222222222222,20,138,0.14492753623188406
adult,age,25,38,63,6,1,8,-1,0.02631578947368421,0.026315789473684216,5.0,5.444444444444445,32,130,0.24615384615384617
adult,age,26,42,65,7,1,8,-1,0.023809523809523808,0.023809523809523808,4.0,4.142857142857143,27,132,0.20454545454545456
adult,age,27,42,57,9,1,6,-1,0.023809523809523808,0.023809523809523808,4.0,4.428571428571429,23,116,0.19827586206896552
adult,age,28,42,64,7,1,6,-1,0.023809523809523808,0.023809523809523808,5.0,5.333333333333333,20,136,0.14705882352941177
adult,age,29,47,78,9,1,10,-1,0.021276595744680857,0.02127659574468085,5.0,5.222222222222222,23,160,0.14375
adult,age,30,47,79,11,1,14,-1,0.021276595744680844,0.021276595744680847,5.5,5.7,18,162,0.1111111111111111
adult,age,31,36,50,10,1,15,-1,0.027777777777777776,0.027777777777777776,4.0,4.142857142857143,17,104,0.16346153846153846
adult,age,32,39,65,8,1,11,-1,0.025641025641025647,0.025641025641025654,5.0,5.444444444444445,25,140,0.17857142857142858
adult,age,33,41,63,8,1,15,-1,0.024390243902439022,0.024390243902439022,4.5,5.125,22,130,0.16923076923076924
adult,age,34,39,61,7,1,8,-1,0.025641025641025637,0.02564102564102564,5.0,5.0,29,132,0.2196969696969697
adult,age,35,43,65,9,1,11,-1,0.02325581395348837,0.023255813953488372,4.0,4.142857142857143,25,136,0.18382352941176472
adult,age,36,45,70,7,1,8,-1,0.022222222222222227,0.022222222222222227,5.0,5.444444444444445,23,144,0.1597222222222222
adult,age,37,47,73,7,1,10,-1,0.021276595744680847,0.02127659574468085,4.5,5.0,25,150,0.16666666666666666
