dataset_name,feature_name,tree_id,nodes,edges,diameter,weak_components,strong_components,node_connectivity,mean_hub_score,mean_auth_score,median_degree,mean_degree,depth,total_length_of_branches,branching_ratio
chesskingrookvsking,White King file,0,23,90,4,1,3,-1,0.043478260869565216,0.043478260869565216,8.0,8.733333333333333,16,208,0.07692307692307693
chesskingrookvsking,White King file,1,23,95,3,1,3,-1,0.04347826086956523,0.043478260869565216,7.5,8.916666666666666,17,232,0.07327586206896551
chesskingrookvsking,White King file,2,23,106,3,1,2,-1,0.04347826086956523,0.04347826086956523,9.5,9.142857142857142,16,234,0.06837606837606838
chesskingrookvsking,White King file,3,23,108,3,1,1,-1,0.04347826086956521,0.0434782608695652,9.5,10.714285714285714,16,256,0.0625
chesskingrookvsking,White King file,4,23,98,3,1,2,-1,0.04347826086956521,0.04347826086956523,8.5,9.416666666666666,15,240,0.0625
chesskingrookvsking,White King file,5,23,98,3,1,2,-1,0.043478260869565216,0.04347826086956521,8.5,9.214285714285714,17,238,0.07142857142857142
chesskingrookvsking,White King file,6,23,96,3,1,1,-1,0.043478260869565216,0.04347826086956521,9.0,9.727272727272727,16,230,0.06956521739130435
chesskingrookvsking,White King file,7,23,109,3,1,1,-1,0.04347826086956523,0.04347826086956523,9.5,10.833333333333334,17,246,0.06910569105691057
chesskingrookvsking,White King file,8,23,103,3,1,2,-1,0.04347826086956523,0.04347826086956523,10.0,10.307692307692308,15,250,0.06
chesskingrookvsking,White King file,9,23,100,3,1,2,-1,0.043478260869565216,0.04347826086956523,8.5,9.583333333333334,17,242,0.07024793388429752
chesskingrookvsking,White King file,10,23,90,3,1,2,-1,0.04347826086956523,0.04347826086956523,8.5,9.583333333333334,15,224,0.06696428571428571
chesskingrookvsking,White King file,11,23,98,4,1,3,-1,0.04347826086956521,0.04347826086956521,8.5,10.0,16,240,0.06666666666666667
chesskingrookvsking,White King file,12,22,91,3,1,2,-1,0.045454545454545456,0.045454545454545456,8.0,9.153846153846153,15,234,0.0641025641025641
chesskingrookvsking,White King file,13,23,91,3,1,2,-1,0.043478260869565216,0.043478260869565216,7.5,9.916666666666666,15,234,0.0641025641025641
chesskingrookvsking,White King file,14,23,98,3,1,1,-1,0.04347826086956523,0.043478260869565216,8.0,10.545454545454545,15,228,0.06578947368421052
chesskingrookvsking,White King file,15,23,89,3,1,4,-1,0.043478260869565216,0.043478260869565216,7.5,8.25,16,226,0.07079646017699115
chesskingrookvsking,White King file,16,23,94,4,1,4,-1,0.043478260869565216,0.043478260869565216,8.0,9.23076923076923,18,238,0.07563025210084033
chesskingrookvsking,White King file,17,23,108,4,1,3,-1,0.043478260869565216,0.04347826086956521,8.5,9.5,17,252,0.06746031746031746
chesskingrookvsking,White King file,18,23,102,3,1,3,-1,0.043478260869565216,0.04347826086956521,9.0,9.461538461538462,17,234,0.07264957264957266
chesskingrookvsking,White King file,19,23,95,3,1,2,-1,0.043478260869565216,0.04347826086956524,8.0,9.307692307692308,18,232,0.07758620689655173
chesskingrookvsking,White King file,20,22,100,3,1,1,-1,0.04545454545454546,0.045454545454545456,9.0,10.153846153846153,14,232,0.0603448275862069
chesskingrookvsking,White King file,21,23,93,3,1,1,-1,0.043478260869565216,0.04347826086956521,8.5,10.083333333333334,16,228,0.07017543859649122
chesskingrookvsking,White King file,22,22,90,3,1,3,-1,0.045454545454545456,0.04545454545454545,8.5,9.3,14,228,0.06140350877192982
chesskingrookvsking,White King file,23,23,102,3,1,1,-1,0.04347826086956521,0.043478260869565216,9.0,9.923076923076923,19,234,0.0811965811965812
chesskingrookvsking,White King file,24,23,94,3,1,2,-1,0.04347826086956521,0.04347826086956521,8.5,9.166666666666666,15,242,0.06198347107438017
chesskingrookvsking,White King file,25,23,106,3,1,1,-1,0.04347826086956521,0.043478260869565216,9.0,10.777777777777779,16,250,0.064
chesskingrookvsking,White King file,26,23,94,3,1,2,-1,0.04347826086956521,0.04347826086956523,8.5,9.5,19,234,0.0811965811965812
chesskingrookvsking,White King file,27,23,100,3,1,1,-1,0.043478260869565216,0.043478260869565216,8.5,9.666666666666666,16,240,0.06666666666666667
chesskingrookvsking,White King file,28,23,111,3,1,2,-1,0.04347826086956521,0.043478260869565216,9.0,9.538461538461538,16,252,0.06349206349206349
chesskingrookvsking,White King file,29,23,91,3,1,3,-1,0.043478260869565216,0.043478260869565216,8.0,8.818181818181818,16,224,0.07142857142857142
chesskingrookvsking,White King file,30,23,105,4,1,2,-1,0.043478260869565216,0.04347826086956523,8.5,9.071428571428571,16,252,0.06349206349206349
chesskingrookvsking,White King file,31,23,100,3,1,1,-1,0.043478260869565216,0.04347826086956521,9.0,11.272727272727273,16,238,0.06722689075630252
chesskingrookvsking,White King file,32,23,101,3,1,1,-1,0.043478260869565216,0.04347826086956523,9.5,11.1,16,242,0.06611570247933884
chesskingrookvsking,White King file,33,23,99,3,1,2,-1,0.043478260869565216,0.043478260869565216,8.0,10.0,15,240,0.0625
chesskingrookvsking,White King file,34,23,100,3,1,5,-1,0.04347826086956521,0.04347826086956521,10.5,10.833333333333334,16,244,0.06557377049180328
chesskingrookvsking,White King file,35,23,100,3,1,1,-1,0.04347826086956523,0.04347826086956523,9.0,11.181818181818182,17,242,0.07024793388429752
chesskingrookvsking,White King file,36,22,93,3,1,2,-1,0.045454545454545456,0.045454545454545456,9.0,10.090909090909092,15,224,0.06696428571428571
chesskingrookvsking,White King file,37,23,103,3,1,1,-1,0.043478260869565216,0.04347826086956521,8.0,8.555555555555555,15,234,0.0641025641025641
chesskingrookvsking,White King file,38,23,103,3,1,1,-1,0.04347826086956521,0.043478260869565216,9.0,10.181818181818182,16,252,0.06349206349206349
chesskingrookvsking,White King file,39,23,98,3,1,2,-1,0.043478260869565216,0.04347826086956523,9.0,10.0,18,236,0.07627118644067797
chesskingrookvsking,White King file,40,23,89,3,1,3,-1,0.043478260869565216,0.04347826086956521,8.0,9.538461538461538,16,240,0.06666666666666667
chesskingrookvsking,White King file,41,23,98,3,1,1,-1,0.043478260869565216,0.04347826086956521,8.5,8.8,17,250,0.068
chesskingrookvsking,White King file,42,23,103,3,1,1,-1,0.04347826086956521,0.04347826086956523,8.0,9.0,15,242,0.06198347107438017
chesskingrookvsking,White King file,43,23,97,3,1,5,-1,0.04347826086956521,0.0434782608695652,8.5,9.5,16,246,0.06504065040650407
chesskingrookvsking,White King file,44,23,100,3,1,1,-1,0.04347826086956521,0.043478260869565216,8.5,9.416666666666666,17,236,0.07203389830508475
chesskingrookvsking,White King file,45,22,90,3,1,1,-1,0.045454545454545456,0.045454545454545456,8.5,8.9,17,220,0.07727272727272727
chesskingrookvsking,White King file,46,23,90,4,1,3,-1,0.043478260869565216,0.043478260869565216,7.5,9.416666666666666,16,218,0.07339449541284404
chesskingrookvsking,White King file,47,23,105,3,1,1,-1,0.04347826086956521,0.04347826086956521,9.0,10.272727272727273,14,238,0.058823529411764705
chesskingrookvsking,White King file,48,23,92,3,1,4,-1,0.04347826086956521,0.04347826086956523,7.0,8.307692307692308,16,240,0.06666666666666667
chesskingrookvsking,White King file,49,21,88,3,1,1,-1,0.047619047619047616,0.04761904761904763,8.5,9.666666666666666,13,218,0.05963302752293578
chesskingrookvsking,White King file,50,23,88,4,1,5,-1,0.043478260869565216,0.04347826086956521,8.0,9.692307692307692,14,218,0.06422018348623854
chesskingrookvsking,White King file,51,23,103,3,1,1,-1,0.04347826086956521,0.04347826086956521,8.5,9.75,15,268,0.055970149253731345
chesskingrookvsking,White King file,52,23,109,3,1,1,-1,0.04347826086956521,0.043478260869565216,10.0,10.538461538461538,16,256,0.0625
chesskingrookvsking,White King file,53,23,93,3,1,2,-1,0.04347826086956521,0.043478260869565216,8.0,9.545454545454545,15,222,0.06756756756756757
chesskingrookvsking,White King file,54,23,100,3,1,1,-1,0.04347826086956521,0.04347826086956523,9.5,10.333333333333334,16,240,0.06666666666666667
chesskingrookvsking,White King file,55,23,101,3,1,1,-1,0.0434782608695652,0.04347826086956523,8.0,9.909090909090908,16,256,0.0625
chesskingrookvsking,White King file,56,23,94,3,1,2,-1,0.04347826086956521,0.043478260869565216,7.5,8.75,16,230,0.06956521739130435
chesskingrookvsking,White King file,57,23,106,3,1,1,-1,0.04347826086956521,0.04347826086956523,8.5,9.3,15,254,0.05905511811023622
chesskingrookvsking,White King file,58,23,94,4,1,3,-1,0.04347826086956524,0.04347826086956523,8.0,7.909090909090909,18,228,0.07894736842105263
chesskingrookvsking,White King file,59,23,93,3,1,2,-1,0.04347826086956524,0.04347826086956521,7.5,9.0,16,230,0.06956521739130435
chesskingrookvsking,White King file,60,23,102,3,1,2,-1,0.043478260869565216,0.043478260869565216,9.0,10.23076923076923,19,252,0.07539682539682539
chesskingrookvsking,White King file,61,22,98,3,1,3,-1,0.045454545454545456,0.04545454545454545,9.0,10.133333333333333,16,230,0.06956521739130435
chesskingrookvsking,White King file,62,23,100,3,1,2,-1,0.043478260869565216,0.04347826086956521,8.0,9.818181818181818,14,230,0.06086956521739131
chesskingrookvsking,White King file,63,23,110,3,1,1,-1,0.04347826086956521,0.04347826086956521,9.0,10.181818181818182,18,254,0.07086614173228346
chesskingrookvsking,White King file,64,23,105,4,1,5,-1,0.043478260869565216,0.04347826086956523,9.5,10.5,16,240,0.06666666666666667
chesskingrookvsking,White King file,65,23,95,3,1,4,-1,0.043478260869565216,0.04347826086956523,8.5,9.642857142857142,17,230,0.07391304347826087
chesskingrookvsking,White King file,66,23,100,3,1,1,-1,0.04347826086956521,0.04347826086956521,9.5,9.5,14,240,0.058333333333333334
chesskingrookvsking,White King file,67,22,102,3,1,1,-1,0.04545454545454546,0.04545454545454546,9.0,10.307692307692308,16,230,0.06956521739130435
chesskingrookvsking,White King file,68,23,99,3,1,3,-1,0.04347826086956521,0.043478260869565216,7.5,8.333333333333334,15,240,0.0625
chesskingrookvsking,White King file,69,23,102,3,1,1,-1,0.04347826086956523,0.04347826086956523,8.5,9.833333333333334,15,236,0.0635593220338983
chesskingrookvsking,White King file,70,23,101,3,1,1,-1,0.04347826086956521,0.043478260869565216,10.0,10.153846153846153,15,238,0.06302521008403361
chesskingrookvsking,White King file,71,23,100,3,1,2,-1,0.043478260869565216,0.04347826086956523,10.0,10.090909090909092,15,224,0.06696428571428571
chesskingrookvsking,White King file,72,23,102,3,1,2,-1,0.043478260869565216,0.043478260869565216,8.0,9.636363636363637,16,244,0.06557377049180328
chesskingrookvsking,White King file,73,23,96,3,1,1,-1,0.043478260869565216,0.043478260869565216,9.0,10.636363636363637,17,242,0.07024793388429752
chesskingrookvsking,White King file,74,23,103,3,1,3,-1,0.04347826086956521,0.04347826086956521,8.0,8.307692307692308,16,240,0.06666666666666667
chesskingrookvsking,White King file,75,22,92,3,1,3,-1,0.04545454545454546,0.045454545454545456,8.5,9.571428571428571,18,220,0.08181818181818182
chesskingrookvsking,White King file,76,23,106,3,1,1,-1,0.04347826086956521,0.04347826086956524,8.5,9.166666666666666,19,252,0.07539682539682539
chesskingrookvsking,White King file,77,23,108,3,1,2,-1,0.043478260869565216,0.043478260869565216,9.0,10.307692307692308,15,248,0.06048387096774194
chesskingrookvsking,White King file,78,23,119,3,1,2,-1,0.04347826086956521,0.043478260869565216,9.5,11.142857142857142,16,258,0.06201550387596899
chesskingrookvsking,White King file,79,23,101,3,1,3,-1,0.043478260869565216,0.04347826086956521,8.0,10.692307692307692,15,252,0.05952380952380952
chesskingrookvsking,White King file,80,23,93,4,1,4,-1,0.04347826086956521,0.043478260869565216,9.0,10.0,16,236,0.06779661016949153
