dataset_name,feature_name,tree_id,nodes,edges,diameter,weak_components,strong_components,node_connectivity,mean_hub_score,mean_auth_score,median_degree,mean_degree,depth,total_length_of_branches,branching_ratio
mushroom,cap-shape,0,37,48,8,1,29,-1,0.02702702702702703,0.027027027027027025,3.5,3.6666666666666665,11,98,0.11224489795918367
mushroom,cap-shape,1,34,48,7,1,23,-1,0.029411764705882353,0.029411764705882353,3.5,3.5,12,98,0.12244897959183673
mushroom,cap-shape,2,36,47,8,1,30,-1,0.027777777777777776,0.027777777777777783,4.0,4.0,12,98,0.12244897959183673
mushroom,cap-shape,3,34,42,11,1,30,-1,0.029411764705882353,0.02941176470588235,4.0,4.0,11,88,0.125
mushroom,cap-shape,4,32,43,8,1,24,-1,0.03125000000000001,0.031249999999999997,3.0,3.0,10,90,0.1111111111111111
mushroom,cap-shape,5,38,43,12,1,38,-1,0.02631578947368421,0.02631578947368421,3.0,3.2,12,90,0.13333333333333333
mushroom,cap-shape,6,37,47,10,1,21,-1,0.027027027027027032,0.02702702702702703,3.5,3.6666666666666665,12,98,0.12244897959183673
mushroom,cap-shape,7,41,44,13,1,41,-1,0.02439024390243902,0.024390243902439025,3.0,3.0,12,96,0.125
mushroom,cap-shape,8,35,42,11,1,35,-1,0.028571428571428567,0.02857142857142857,3.0,3.0,10,86,0.11627906976744186
mushroom,cap-shape,9,35,49,7,1,19,-1,0.02857142857142857,0.028571428571428577,4.0,4.0,11,100,0.11
mushroom,cap-shape,10,33,45,7,1,33,-1,0.03030303030303031,0.030303030303030304,3.0,3.0,11,92,0.11956521739130435
mushroom,cap-shape,11,30,41,7,1,16,-1,0.03333333333333333,0.03333333333333333,3.5,4.0,11,88,0.125
mushroom,cap-shape,12,34,39,13,1,29,-1,0.029411764705882353,0.029411764705882353,2.5,2.5,10,82,0.12195121951219512
mushroom,cap-shape,13,36,42,10,1,31,-1,0.027777777777777776,0.027777777777777773,3.0,4.0,11,88,0.125
