dataset_name,feature_name,tree_id,nodes,edges,diameter,weak_components,strong_components,node_connectivity,mean_hub_score,mean_auth_score,median_degree,mean_degree,depth,total_length_of_branches,branching_ratio
nursery,parents,0,26,61,5,1,4,-1,0.038461538461538464,0.03846153846153845,5.0,5.142857142857143,11,130,0.08461538461538462
nursery,parents,1,27,68,4,1,4,-1,0.037037037037037035,0.037037037037037035,6.0,6.181818181818182,11,146,0.07534246575342465
nursery,parents,2,26,75,4,1,6,-1,0.03846153846153846,0.038461538461538464,6.0,6.363636363636363,12,158,0.0759493670886076
nursery,parents,3,24,59,5,1,4,-1,0.041666666666666664,0.041666666666666664,4.5,4.5,10,124,0.08064516129032258
nursery,parents,4,24,58,4,1,4,-1,0.041666666666666664,0.041666666666666664,6.0,6.142857142857143,11,122,0.09016393442622951
nursery,parents,5,26,66,5,1,5,-1,0.038461538461538464,0.038461538461538464,6.0,6.0,11,146,0.07534246575342465
nursery,parents,6,26,60,4,1,7,-1,0.03846153846153845,0.038461538461538464,5.0,5.0,9,134,0.06716417910447761
nursery,parents,7,26,54,6,1,8,-1,0.03846153846153847,0.03846153846153846,4.0,4.285714285714286,11,116,0.09482758620689655
nursery,parents,8,27,71,5,1,7,-1,0.037037037037037035,0.037037037037037035,5.5,5.5,10,152,0.06578947368421052
nursery,parents,9,27,63,5,1,6,-1,0.037037037037037035,0.037037037037037035,5.5,5.6,11,134,0.08208955223880597
nursery,parents,10,26,72,4,1,8,-1,0.03846153846153846,0.03846153846153846,5.5,5.9,11,156,0.07051282051282051
nursery,parents,11,27,64,4,1,3,-1,0.037037037037037035,0.03703703703703703,5.5,5.5,10,134,0.07462686567164178
nursery,parents,12,25,55,6,1,8,-1,0.04,0.04,4.5,4.5,11,118,0.09322033898305085
nursery,parents,13,26,58,5,1,9,-1,0.038461538461538464,0.03846153846153847,4.5,4.625,11,132,0.08333333333333333
nursery,parents,14,27,66,4,1,6,-1,0.037037037037037035,0.037037037037037035,4.5,4.875,10,148,0.06756756756756757
nursery,parents,15,26,61,5,1,6,-1,0.03846153846153845,0.038461538461538464,5.5,5.6,12,134,0.08955223880597014
nursery,parents,16,26,62,4,1,6,-1,0.03846153846153846,0.038461538461538464,5.5,5.5,11,136,0.08088235294117647
nursery,parents,17,27,65,4,1,8,-1,0.037037037037037035,0.037037037037037035,5.0,5.142857142857143,10,136,0.07352941176470588
nursery,parents,18,25,59,4,1,3,-1,0.04,0.039999999999999994,5.0,5.0,11,126,0.0873015873015873
nursery,parents,19,26,70,4,1,3,-1,0.038461538461538464,0.03846153846153845,6.0,6.0,11,148,0.07432432432432433
nursery,parents,20,25,60,5,1,6,-1,0.04,0.039999999999999994,5.0,5.333333333333333,10,134,0.07462686567164178
nursery,parents,21,24,61,4,1,6,-1,0.041666666666666664,0.041666666666666664,6.0,6.0,10,140,0.07142857142857142
nursery,parents,22,25,63,4,1,7,-1,0.04000000000000001,0.04,5.5,5.5,12,136,0.08823529411764706
nursery,parents,23,25,59,5,1,9,-1,0.04,0.04000000000000001,5.5,5.7,10,130,0.07692307692307693
nursery,parents,24,23,53,4,1,4,-1,0.04347826086956521,0.04347826086956523,5.0,5.666666666666667,10,112,0.08928571428571429
nursery,parents,25,27,59,5,1,6,-1,0.037037037037037035,0.03703703703703704,5.0,5.444444444444445,11,128,0.0859375
nursery,parents,26,26,64,4,1,4,-1,0.03846153846153847,0.03846153846153846,5.0,5.666666666666667,11,144,0.0763888888888889
nursery,parents,27,27,68,5,1,6,-1,0.037037037037037035,0.037037037037037035,5.5,5.5,11,146,0.07534246575342465
nursery,parents,28,25,55,4,1,5,-1,0.039999999999999994,0.039999999999999994,5.0,5.0,11,116,0.09482758620689655
nursery,parents,29,26,60,5,1,7,-1,0.038461538461538464,0.038461538461538464,4.5,4.75,10,132,0.07575757575757576
nursery,parents,30,26,69,4,1,5,-1,0.038461538461538464,0.038461538461538464,5.5,5.8,11,152,0.07236842105263158
nursery,parents,31,27,69,6,1,5,-1,0.037037037037037035,0.03703703703703704,5.0,5.444444444444445,11,156,0.07051282051282051
nursery,parents,32,24,61,4,1,3,-1,0.041666666666666664,0.041666666666666664,6.0,6.0,11,140,0.07857142857142857
nursery,parents,33,25,62,5,1,4,-1,0.039999999999999994,0.04,6.0,5.888888888888889,10,136,0.07352941176470588
nursery,parents,34,27,64,4,1,6,-1,0.03703703703703704,0.03703703703703704,5.0,5.111111111111111,13,138,0.09420289855072464
nursery,parents,35,24,64,4,1,3,-1,0.041666666666666664,0.041666666666666664,6.5,6.7,12,138,0.08695652173913043
nursery,parents,36,27,79,4,1,3,-1,0.037037037037037035,0.037037037037037035,6.5,7.0,11,170,0.06470588235294118
