dataset_name,feature_name,tree_id,nodes,edges,diameter,weak_components,strong_components,node_connectivity,mean_hub_score,mean_auth_score,median_degree,mean_degree,depth,total_length_of_branches,branching_ratio
spambase,word_freq_make,0,22,42,4,1,4,-1,0.04545454545454546,0.04545454545454545,6.0,6.666666666666667,15,88,0.17045454545454544
spambase,word_freq_make,1,22,40,6,1,3,-1,0.04545454545454546,0.04545454545454546,4.0,4.285714285714286,13,82,0.15853658536585366
spambase,word_freq_make,2,31,48,6,1,9,-1,0.03225806451612903,0.03225806451612903,3.5,3.5,16,100,0.16
spambase,word_freq_make,3,29,54,4,1,1,-1,0.03448275862068966,0.03448275862068966,5.5,5.625,15,112,0.13392857142857142
spambase,word_freq_make,4,22,35,5,1,4,-1,0.045454545454545456,0.045454545454545456,4.0,4.0,15,74,0.20270270270270271
spambase,word_freq_make,5,27,44,5,1,7,-1,0.03703703703703703,0.037037037037037035,4.0,4.0,16,92,0.17391304347826086
spambase,word_freq_make,6,25,42,4,1,4,-1,0.04,0.04,4.0,4.714285714285714,15,86,0.1744186046511628
spambase,word_freq_make,7,25,41,5,1,3,-1,0.04000000000000001,0.04,4.0,4.285714285714286,12,84,0.14285714285714285
spambase,word_freq_make,8,29,45,7,1,14,-1,0.034482758620689655,0.034482758620689655,4.0,4.857142857142857,18,92,0.1956521739130435
spambase,word_freq_make,9,25,45,5,1,5,-1,0.04000000000000001,0.04,5.0,5.0,13,94,0.13829787234042554
spambase,word_freq_make,10,28,55,5,1,4,-1,0.03571428571428571,0.03571428571428571,4.5,4.5,20,112,0.17857142857142858
spambase,word_freq_make,11,30,45,7,1,16,-1,0.03333333333333333,0.03333333333333333,4.0,4.428571428571429,15,94,0.1595744680851064
spambase,word_freq_make,12,30,47,6,1,4,-1,0.03333333333333333,0.03333333333333333,4.0,4.285714285714286,15,98,0.15306122448979592
spambase,word_freq_make,13,32,62,6,1,4,-1,0.03125000000000001,0.03125,5.0,5.444444444444445,18,126,0.14285714285714285
