Dataset,Accuracy,Entropy
CarEvaluation,0.9653179190751445,1.0491474835471029
AuctionVerification,0.9975550122249389,0.40240149667352293
CouponRecommendation,0.7512810405991328,1.226937531405217
FirmTeacherClaveDirection,0.8148148148148148,1.6396396584245818
ObesityDataSet,0.9574468085106383,2.11744381060866
EyeState,0.9332443257676902,0.9259340146076098
DefaultOfCreditCardClient,0.816,0.8375448691138656
CrowdsourcedMapping,0.9426268373636795,1.1715587014850457
Biodegradation,0.8957345971563981,0.9509584901764184
Postures,0.9789999359754146,1.7256885078385304
MiceProteinExpression,1.0,2.071567061544675
ShillBidding,0.9960474308300395,0.36257190679802065
GenderGap,1.0,0.8786887446554095
SteelPlateFault,0.794344473007712,2.298848569161509
SensorlessDriveDiagnosis,0.9981199794906853,2.4109801374165913
PolishCompaniesBankruptcy,0.984352773826458,0.17808691094086188
PhishingWebsites,0.9701492537313433,0.8182251899736517
Diabetes,0.5939373096197308,1.4989169468969212
StateLog,0.9188275084554679,2.0371038506184505
Yeast,0.6094276094276094,2.6020623617995344
RecognitionHandWrittenDigits,0.984313725490196,2.37313246493934
WineQuality,0.686734693877551,2.0173405930659474
BankMarketing,0.9140568099053168,0.5734346513979793
Avila,0.9789069990412272,1.9625619088784456
DryBeanDataset,0.9280205655526992,2.117112643247244
MaternalHealthRisk,0.8325123152709359,1.5861008380254962
ElectricalGrid,1.0,0.663818821800982
GesturePhase,0.9457142857142857,1.4993440837887841
HepatisisC,0.27075812274368233,2.7361606855904683
LetterRecognition,0.9645,3.4482228914368216
MagicGammaTelescope,0.8788117770767613,0.9828964046689453
OccupancyDetection,0.9965449160908193,0.7057763159595898
OnlineShoppers,0.8994322789943228,0.6910151477172588
OzoneLevelDetection,0.9487179487179487,0.23619783565695568
SeismicBumps,0.9264990328820116,0.26260213905498414
TurkyieStudentEvaluation,0.3548109965635739,3.6769413843115917
Adult,0.8542914171656687,0.9105029942700156
ChessKingRookvsKing,0.832679971489665,3.1085510702587023
Mushroom,0.47815384615384615,2.6192691235749486
Nursery,0.9868827160493827,1.2527302144638208
Spambase,0.9663409337676439,0.8187634669717029
